id,title,price,location,size,size_unit,bedrooms,bathrooms
4066943,شقة مصيفية للبيع,"240,000",ابو تلات - العجمي - الإسكندرية,80,متر²,2,1
4042924,روف علي البحر مباشره,"300,000",شارع ابو تلات علي شاطئ ابوتلات,250,متر²,4,1
4061623,شقة لقطة للبيع لظروف السفر,"490,000",ابو تلات ، كمباوند جاسمين ٤ ، شارع الزنكلوني المتفرع من شارع الأهرام,85,متر²,2,1
3887581,شقه للبيع غرفتين وصاله,"250,000",ابو تلات,70,متر²,2,1
4073780,الكيلو 23 أبو تلات طريق الساحل الشمالي,"120,000",الكيلو 23 أبو تلات طريق الساحل الشمالي أمام مظلوم للسيراميك الكيلو 23 شارع الدكتور محمد خفاجي,55,متر²,1,1
3835610,ستديو في ابو تلات الاسكندرية - تالت صف علي البحر,"120,000",ش الاهرام بجوار نقطة حي ابو تلات,56,متر²,1,1
4133124,شقه ٨٠ متر للبيع علي الطوب,"150,000",شاطئ الصفا بجوار فيلا ابراهيم نافع,80,متر²,2,1
4127913,شقه دوبلكس 160 م سوبر لوكس بالعفش,"950,000","أبو تلات, الإسكندرية",160,متر²,3,2
4120943,شقة للبيع,"175,000",الاسكندريه ابو تلات,80,متر²,2,1
4121862,لسرعة البيع بسعر لقطة شقة اول صف علي البحر,"550,000",الاسكندريه أبوتلات,100,متر²,2,1
4121849,اشترى واستلم فورا من المالك شقة مصيفية او سكنية للبيع,"175,000",الاسكندريه أبوتلات,80,متر²,2,1
4097431,شقة للبيع ابو تلات الاسكندرية من المالك مباشر,"300,000",ابو تلات,85,متر²,2,1
4097437,- ادفع مقدم 176الف واستلم فورا شقة مصيفية سوبر سوبر لوكس اقوي عروض الساحل الشمال,"350,000",ابو تلات,76,متر²,2,1
4097457,شقه بانوراما سوبر لوكس الدور الثامن وليس الاخير تصلح لتكون ،٣غرف وهى حاليا غرفتي,"500,000",ابو تلات,100,متر²,2,2
4097450,حجرة و صالة مطبخ امريكاني وحمام يري البحر من الجنب ١٥ متر من بوابة الشاطيء الدور,"120,000",ابو تلات,50,متر²,1,1
4087586,شقه لقطه للبيع  اسكندريه أبو تلات,"380,000",اسكندريه أبو تلات,85,متر²,2,1
4061815,شقة للبيع بالاسكندرية ابو تلات 85 متر,"200,000",الاسكندرية ابوتلات,85,متر²,2,1
4069703,شقة فرصة لسرعة البيع مطلوب 450 الف للبيع بها رخصة و عداد كهرباء في العجمي ابوتلا,"450,000",ابو تلات,160,متر²,2,1
4039956,شقه تشطيب لوكس بالساحل ك23 ابو تلات عماير لافيدا,"500,000",ابو تلات-الاسكندرية,80,متر²,2,1
4039622,شقه تشطيب لوكس بالساحل ك23 ابو تلات,"500,000",ابو تلات,80,متر²,2,1
3951493,روف للبيع او البدل,"750,000",ابو تلات,250,متر²,3,3
3951488,روف يرى البحر متشطب بالعفش والأجهزة عماره باسانسير ودور تاني في اوضه,"700,000",ابو تلات,175,متر²,3,2
3941720,شقتين للبيع في ابو تلات على الرئيسي,"1,800,000",ابو تلات,240,متر²,6,2
3956088,شقة ارضى بالسيلفر بيتش,"1,000,000",أبو تلات، الاسكندرية,100,متر²,2,2
3887586,شقة للبيع بأبو تلات 70م,"300,000","الاسكندرية , ابو تلات",70,متر²,2,1
3855002,شقه للبيع,"700,000",ابو تلات,110,متر²,3,2
3844192,شقه للبيع,"315,000",ابو تلات الاسكندريه,100,متر²,2,1
3839912,شقه للبيع,"210,000",ف بداية الساحل الشمالي منطقة ابو تلات,70,متر²,2,1
3949380,دوبلكس 452 متر² للبيع فى أبو تلات,"1,850,000",الكيلو ٢٦ ابو تلات شارع سيلفر بيتش,452,متر²,10,6
3991246,شقه مفروشه تمليك للبيع,"435,000",أبو تلات، الاسكندرية,190,متر²,4,2
3986773,ستوديو للبيع  بحي أبو تلات,"120,000",ابو تلات,54,متر²,1,1
3964661,موجود شقة للبيع في الكيلو ٢٣ بابو تلات اول الساحل الشمالي ترى البحر مباشرتا 75م,"290,000",الاسكندريه ابو تلات,75,متر²,2,1
3960672,شقه مصيفيه بأبو تلات تري البحر بوضوح,"280,000",العجمي-الاسكندرية,80,متر²,2,1
3937960,شقة للبيع 80 م علي البحر الساحل,"450,000","أبو تلات , الاسكندرية",80,متر²,2,2
3926632,شقه تشطيب لوكس بالساحل ك23 ابو تلات,"500,000",الاسكندرية,80,متر²,2,1
3909179,بالعجمى ابو تلات... شقة 75 م.. 3 غرف و صاله و مطبخ مقفول و حمام,"200,000",الاسكندريه ابو تلات,75,متر²,3,1
3901462,بالعجمى ابو تلات... شقة 75 م.. 3 غرف و صاله و مطبخ مقفول و حمام,"200,000",الاسكندريه ابو تلات,75,متر²,3,1
3849282,شقه للبيع فى موقع مميز,"800,000",ابو تلات,200,متر²,4,2
3856157,شقه للبيع,"400,000",ابو تلات الاسكندريه,80,متر²,2,1
3855245,شقه مصيفيه للبيع,"250,000",ابو تلات,72,متر²,2,1
