id,title,price,location,size,size_unit,bedrooms,bathrooms
4131002,شقة للبيع فى شارع 25 الرئيسي,"750,000",Street 25، Abo Qir,110,متر²,3,1
4124278,طوسون متاح شقه تمليك للبيع,"900,000",طوسون مساكن الضباط,90,متر²,2,1
4128100,شقة فى شارع 25 المستشارين شارع  سوبر ماركت ابن البد سوبر لوكس,"530,000",شارع 25 المستشارين قريبة من فتح الله و فرع بى تك,85,متر²,2,1
4105986,شقه للبيع بشارع الجمهورية أبو قير الاسكندرية ثاني نمرة على البحر,"850,000",شارع الجمهورية أبو قير بالاسكندرية,100,متر²,3,1
4079673,شقه للبيع بطوسن,"590,000",ش 10متفرع من ش 25 طوسون,100,متر²,3,1
4042915,"شقة بابوقير 
٢ غرفة وريسيبشن قطعتين وحمام ومطبخ
مساحة ١٠٠ م 
٢ اسانسير 
باب مصفح
اسقف جيبسوم بوردز كامل الشقة 
الوميتال مطبخ كام","620,000",شارع طوسون، أبو قير,100,متر²,1,1
3863398,شقه تشطيب سوبرلوكس,"820,000",حى المستشارين طوسون ابوقير,140,متر²,3,1
3870868,مساكن طوسون الصناعية أمام القسم,"600,000",مساكن طوسون ، أمام القسم,85,متر²,3,1
3930942,شقة بطوسون,"1,100,000",طوسون، أبوقير,185,متر²,1,1
3913880,شقه في برج اول نمره علي بحر الاسكندرية,"1,000,000",طوسون، أبوقير,105,متر²,2,2
3958648,ابو قير اسكندريه,"400,000",شارع رقم 16 طريق قطار رشيد، أبو قير,75,متر²,2,1
4097129,طوسون شقة سوبر لوكس للبيع,"600,000",طوسن,100,متر²,3,1
4008967,شقة للبيع بطوسون المستشارين طريق الجبل,"510,000",شارع 25، أبو قير,110,متر²,1,1
3877842,فيلا دوبلكس سوبر لوكس بجنينه,"3,800,000",شارع طوسون، أبو قير,350,متر²,4,5
4036697,للبيع من المالك شقه سوبر لوكس بشارع ٢٥ الرئيسي,"630,000",طوسون شارع ٢٥الرئيسي,125,متر²,3,1
3940824,شقة صف اول بحر دورين للبيع في ابوقير,"1,650,000",برج الاطباء،ش الجيش متفرع من شارع الوحده ،براديس,204,متر²,4,3
3948938,شقة للبيع فى طوسون خطوات من ادارة المرور وقسم المنتزة,"499,000",طوسون تقاطع شارع 16 مع 25 بجوار ادارة المرور والقسم,100,متر²,3,1
3903087,شقة رائعة بمساكن ضباط طوسون,"800,000",مساكن ضباط طوسون - امام الاكادمية العربية,110,متر²,2,1
3967745,شقتين مفتوحين سوبر لوكس بمدينة الضباط طوسون,"1,350,000",الإسكندرية مدينة ضباط طوسون عمارة ٣٨ج أمام المزلقان المقفول,177,متر²,5,2
4077620,شقة للبيع طوسون بجوار الاكاديمية البحرية,"900,000",طوسون,140,متر²,3,1
4011653,شقة مساحة 90 متر غرفتين و ريسيبشن 3 قطع ترى البحر بوضوح,"450,000",شارع الظاهر بيبرس، أبو قير,90,متر²,2,1
4012181,شقة تمليك للبيع,"510,000",شارع 25، أبو قير,110,متر²,1,1
3944293,شقه للبيع فى ابو قير شارع عبدالعزيز,"420,000",شارع الظاهر بيبرس، أبو قير,110,متر²,3,1
3888740,شقه علي البحر ب ابو قير اسكندرية,"500,000",شارع الألفي، أبو قير,70,متر²,2,1
3910423,شقة مميزة لعشاق السكن الراقى والهدوء,"874,950",شارع المستشارين طوسون أمام فتح الله ماركت مباشرة,150,متر²,3,2
3990720,شقة للبيع الاسكندرية,"500,000",شارع بورسعيد أبوقير,80,متر²,2,1
3963172,شقة للبيع في طوسون الاسكندرية بسعر مغري,"450,000",طوسون المعمورة البلد,90,متر²,3,1
