id,title,price,location,size,size_unit,bedrooms,bathrooms
4124276,شقه للبيع ..,"300,000",الاسكندريه ابيس,90,متر²,2,1
4083675,شقه للبيع ١٢٠ متر دور اول علوي كامله العدادات مياه كهربا غاز عدادات قديمه,"580,000",الاسكندريه - ابيس,120,متر²,3,1
4060246,للبيع - شقق سوبر لوكس فى أبيس,"300,000",مدخل اسكندريه الزراعي الموظفين شارع خالد بن الوليد من المدينه المنوره,85,متر²,2,1
3998813,شقه للبيع الظاهرية علي الشارع العمومي الدور الثامن سلم اخير سطح معزول 85متر,"350,000",الاسكندريه - ابيس,85,متر²,2,1
3998824,شقه للبيع الظاهرية الدور السادس سلم 60متر 2غرفه وصاله ومطبخ وحمام متشطبه,"170,000",الاسكندريه - ابيس,60,متر²,2,1
3998785,شقه الظاهرية خلف مسجد الفولى,"125,000",الاسكندريه - ابيس,40,متر²,1,1
3987399,شقه للبيع في حي المهندسين بالمراغي بعد مجمع القاعات شارع جوتن للبويات,"350,000",الاسكندريه - أبيس,80,متر²,2,1
3982121,روف  شارع ( الدرايسة) تاني نمره من شارع الرئيسي,"640,000",الاسكندريه - ابيس,180,متر²,3,1
3909328,شقة للبيع ف مكان حيوي جدا شارع العلم المصري,"420,000",الاسكندريه - حجر النواتيه,90,متر²,3,1
3908886,شقه في الطاهريه دور سابع,"185,000",الاسكندريه - الظاهريه,85,متر²,2,1
3928199,متواجد شقه للبيع تمليك الدور الثالث,"180,000",الاسكندرية - المواظفين خلف كبري ابيس,50,متر²,2,1
3913987,الطريق السريع بعد نادي التحاد الرابعه الناصريه المدخل الاول,"150,000",ابيس,60,متر²,1,1
3910569,شقه ٢٠٠متر علي شارع جميله بوحريد الدور التاني  ٣ غرف حمامين وريسبشن ٣ قطع,"1,200,000",اسكندريه \ابيس\شارع جميله بوحريد علي شارع رئيسي اخر كوبري ابيس قريبه جدا من الجامعه الاهليه,200,متر²,3,2
3905661,شققة في الظاهرية بحري السكة,"160,000",الاسكندريه _ الظاهرية,59,متر²,2,1
3871090,شقه للبيع  بالاسكندريه  شارع الشركه العربيه,"650,000",الاسكندريه  شارع الشركه العربيه -  احمد ابو سليمان,130,متر²,3,1
3940753,شقه للبيع في الزوايده,"230,000",الاسكندريه _ ابيس,60,متر²,2,1
3957293,شقه للبيع تلات غرف و رسبشن قطعتين و حمام و مطبخ... مساحه ١١٥ متر,"700,000",الاسكندريه - ابيس,115,متر²,3,1
3940749,شقه للبيع بحجر النواتيه شارع العلم,"160,000",الاسكندريه _ ابويوسف,80,متر²,3,1
3912188,شقه ٢٠٠متر علي شارع جميله بوحريد الدور التاني  ٣ غرف حمامين وريسبشن ٣ قطع,"1,200,000",اسكندريه\ابيس\شارع جميله بوحريد علي شارع رئيسي اخر كوبري ابيس,200,متر²,3,2
3927531,شقه  تمليك تصلح لعريس في الرحمه بعد العوايد بجوار الموقف وجميع الخدمات 65 متر,"140,000",ابيس,65,متر²,2,1
3919364,الطريق السريع بعد نادي التحاد الرابعه,"150,000",ابيس,60,متر²,1,1
3901456,شقه لقطه قرب كوبري الناموس ومجمع الكليات الجديد مساحه72 متر غرفتين دور رابع,"300,000",اسكندريه \ابيس\كوبرى الناموس,72,متر²,2,1
3883573,شقه للبيع بمنطقه ابيس العاشره,"600,000",بمنطقه ابيس العاشره,113,متر²,3,1
3826485,شقه للبيع,"1,100,000",الاسكندرية,105,متر²,2,1
4000315,شقة بالمراغى الجديدة دور ٢ غرفتين وصالة ٥٥ م   عداد كهرباء وغاز قديم والمياه,"150,000",الاسكندريه - ابيس,55,متر²,2,1
3974542,الشقة الدور الرابع ليس الاخير,"240,000",الاسكندريه - غبريال,95,متر²,2,1
3963237,شقه في المراغي القديمة شارع الجامع بجوار سنترال العمده,"150,000",الاسكندريه - المراغي,70,متر²,2,1
3963336,فرصه شقه ١٢٠متر ٣غرف وريسيبشن قطعتين تحفه,"550,000",الاسكندريه - ابيس,120,متر²,3,1
3905420,شقة3غرف ورسيبشن 3عداد خاص,"300,000",الاسكندريه - كوبري الناموس,85,متر²,3,1
3941353,شقه  بشرق سموحة بجوار نادى الاتحادالجديد,"580,000",الاسكندريه _ ابيس,108,متر²,2,1
3921679,شقه للبيع تمليك لدواعي السفر السريع,"380,000",الاسكندريه _ ابيس,95,متر²,3,1
3920545,شقة  للبيع 90م,"380,000",الاسكندريه_أبيس,90,متر²,3,1
3902007,شقة للبيع 70 متر - أبيس الرابعة,"250,000",العوايد,70,متر²,2,1
3905646,شقه تمليك للبيع.. حجر النواتيه,"280,000",الاسكندريه -حجر النواتيه,85,متر²,2,1
3971766,شقة  للبيع 90م,"250,000",الاسكندريه_أبيس,90,متر²,2,1
