id,title,price,location,size,size_unit,bedrooms,bathrooms
2838898,شقة 339م للبيع في كليوباترا بلازا - الاسكندرية,"8,994,000",الإسكندرية,339,متر²,1,1
4130343,شقة للبيع 204 م الازاريطة (ش شامبليون),"5,500,000",الازاريطة (ش شامبليون),204,متر²,3,3
4130072,شقة للبيع 85م الازريطة  ( خطوات من الترام),"1,600,000",الازريطة  ( خطوات من الترام),85,متر²,2,1
4043997,شقة للبيع في الازاريطة – بالقرب من الترام TMZ6910 خطوات للبحر و شارع سوتر,"3,600,000",الأزريطة,182,متر²,3,2
3950935,شقة للبيع في الازاريطة  بالقرب من الترام خطوات للبحر و شارع سوتر – 182 م TMZ6910,"3,600,000",الازريطة شامبليون,182,متر²,3,2
3991719,شقة للبيع فى الأزاريطة 341 م - - خطوات من حدائق الشلالات TMZ5939,"7,558,000",الأزريطة,341,متر²,3,3
3948534,للبيع - شقق 181 متر² super_lux,"3,300,000",الأزاريطة، الاسكندرية,181,متر²,1,1
4005905,الشلالات كليوباترا بلازا  مداخل فاخره و تكييف مركزى شقة للبيع,"8,500,000",الشلالات كمبوند كليوباترا بلازا,336,متر²,3,2
3929188,شقة 210 متر ببرج كليوباترا بلازا فيو بحر- امكانية تقسيط 4  سنوات,"6,005,000",كليوباترا بلازا الأزاريطة,210,متر²,3,3
3895393,شقه للبيع 210م في منطقه الازريطه فيو مفتوح للبحر,"7,261,380",الازاريطه,210,متر²,3,3
3797895,شقة 276م للبيع في كليوباترا بلازا - الاسكندرية,"10,134,000",الإسكندرية,276,متر²,1,1
3797894,شقة 341م للبيع في كليوباترا بلازا - الاسكندرية,"11,640,000",الإسكندرية,341,متر²,1,1
3797893,شقة 383م للبيع في كليوباترا بلازا - الاسكندرية,"12,652,000",الإسكندرية,383,متر²,1,1
3797892,شقة 302م للبيع في كليوباترا بلازا - الاسكندرية,"10,800,000",الإسكندرية,302,متر²,1,1
2838916,شقة 265م للبيع في كليوباترا بلازا - الاسكندرية,"9,470,000",الإسكندرية,265,متر²,1,1
3948199,شقة للبيع بالاسكندرسة الازريطة فيو بحر ٥٠٠ م,"3,500,000",الازريطة,500,متر²,5,3
2838915,شقة 297م للبيع في كليوباترا بلازا - الاسكندرية,"10,300,555",الإسكندرية,297,متر²,1,1
2838899,شقة 327م للبيع في كليوباترا بلازا - الاسكندرية,"10,998,000",الإسكندرية,327,متر²,1,1
3851544,شقة للبيع 100م بـــ بالازاريطة بين الترام والبحر مطلات مفتـــوحة (بالاسكندرية),"1,650,000",الشاطبئ شارع سوتر بين الترام والبحر,100,متر²,3,1
3959306,شقة للبيع 260م صـــــافي بـــ الازاريطة ثاني نمرة من البحـر (بالاسكندرية),"3,200,000",الازاريطة تاني نمرة من البحر,260,متر²,4,2
3852787,شقة للبيع بـــ 100م بـــ الازاريطة امام كليـــة الطب مـــطلات مفـــتوحة,"1,250,000",الازاريطة,100,متر²,2,1
3825368,شقة للبيع 100م بـــ الازاريطة خطوات من البحـــر مـــطلات مفـــتوحة (بالاسكندرية),"1,250,000",الازاريطة خطوات من البحر,100,متر²,2,1
3942857,شقة ٣٠٠ متر تانى نمرة من البحر بالازاريطة الدور السابع و ليس الاخير  اسانسير و عدادات مياه و كهرباء و غاز طبيعى . الشقة مجدده با,"3,200,000",كليوباترا بلازا، كمبوند بالأزاريطة,300,متر²,4,2
4069427,شقة للبيع الازاريطة 2 نمره من محطة سوتر بجوار الكليات وشارع سوتر بحرى الترام,"3,500,000",الاسكندريه - الأزاريطه,181,متر²,3,2
4036830,شقة للبيع الازاريطة,"2,700,000",الازاريطة شارع بن شجاع قريبة من البحر و تراه البحر,170,متر²,3,2
2838898,شقة 339م للبيع في كليوباترا بلازا - الاسكندرية,"8,994,000",الإسكندرية,339,متر²,1,1
4130343,شقة للبيع 204 م الازاريطة (ش شامبليون),"5,500,000",الازاريطة (ش شامبليون),204,متر²,3,3
4130072,شقة للبيع 85م الازريطة  ( خطوات من الترام),"1,600,000",الازريطة  ( خطوات من الترام),85,متر²,2,1
4043997,شقة للبيع في الازاريطة – بالقرب من الترام TMZ6910 خطوات للبحر و شارع سوتر,"3,600,000",الأزريطة,182,متر²,3,2
3950935,شقة للبيع في الازاريطة  بالقرب من الترام خطوات للبحر و شارع سوتر – 182 م TMZ6910,"3,600,000",الازريطة شامبليون,182,متر²,3,2
3991719,شقة للبيع فى الأزاريطة 341 م - - خطوات من حدائق الشلالات TMZ5939,"7,558,000",الأزريطة,341,متر²,3,3
3948534,للبيع - شقق 181 متر² super_lux,"3,300,000",الأزاريطة، الاسكندرية,181,متر²,1,1
4005905,الشلالات كليوباترا بلازا  مداخل فاخره و تكييف مركزى شقة للبيع,"8,500,000",الشلالات كمبوند كليوباترا بلازا,336,متر²,3,2
3929188,شقة 210 متر ببرج كليوباترا بلازا فيو بحر- امكانية تقسيط 4  سنوات,"6,005,000",كليوباترا بلازا الأزاريطة,210,متر²,3,3
3895393,شقه للبيع 210م في منطقه الازريطه فيو مفتوح للبحر,"7,261,380",الازاريطه,210,متر²,3,3
3797895,شقة 276م للبيع في كليوباترا بلازا - الاسكندرية,"10,134,000",الإسكندرية,276,متر²,1,1
3797894,شقة 341م للبيع في كليوباترا بلازا - الاسكندرية,"11,640,000",الإسكندرية,341,متر²,1,1
3797893,شقة 383م للبيع في كليوباترا بلازا - الاسكندرية,"12,652,000",الإسكندرية,383,متر²,1,1
3797892,شقة 302م للبيع في كليوباترا بلازا - الاسكندرية,"10,800,000",الإسكندرية,302,متر²,1,1
2838916,شقة 265م للبيع في كليوباترا بلازا - الاسكندرية,"9,470,000",الإسكندرية,265,متر²,1,1
3948199,شقة للبيع بالاسكندرسة الازريطة فيو بحر ٥٠٠ م,"3,500,000",الازريطة,500,متر²,5,3
2838915,شقة 297م للبيع في كليوباترا بلازا - الاسكندرية,"10,300,555",الإسكندرية,297,متر²,1,1
2838899,شقة 327م للبيع في كليوباترا بلازا - الاسكندرية,"10,998,000",الإسكندرية,327,متر²,1,1
3851544,شقة للبيع 100م بـــ بالازاريطة بين الترام والبحر مطلات مفتـــوحة (بالاسكندرية),"1,650,000",الشاطبئ شارع سوتر بين الترام والبحر,100,متر²,3,1
