id,title,price,location,size,size_unit,bedrooms,bathrooms
4130430,شقة مطلة على نادى سبورتنج للبيع,"4,500,000",Ahmed Allam St، Ibrahimia,200,متر²,3,3
4130677,شقة للبيع  110 م الإبراهيمية ( شارع جواد حسني  ),"1,750,000",الابراهيميه شارع جواد حسني,110,متر²,3,1
4068108,شقة للبيع 220 م الإبراهيميه (خطوات من ش ابو قير),"2,500,000",خطوات من ش ابو قير,220,متر²,4,2
4114412,شقه لقطه للبيع الابراهيميه  بموقع مميز 200 متر وبرج شيك وجديد,"2,800,000",الابراهيميه ــلهه,200,متر²,3,3
4076560,الإبراهيمية شقه للبيع,"1,900,000",الإبراهيمية  شارع ممفيس,150,متر²,3,1
4016459,شقه للبيع 172م بالابراهيميه علي البحر مباشر – رخصه وبرج شيك,"6,000,000",شقه للبيع 172م بالابراهيميه علي البحر مباشر – رخصه وبرج شيك,172,متر²,3,2
4034003,الإبراهيمية  موقع متميز شارع محمد فؤاد جلال,"3,000,000",الإبراهيمية  شارع محمد فؤاد جلال,145,متر²,3,2
4022711,شقة للبيع 150م الإبراهيمية (بين طريق أبو قير والترام) - شقة ناصية,"2,200,000",الإبراهيمية (بين طريق أبو قير والترام),150,متر²,3,1
3929379,شقه للبيع 172م بالابراهيميه علي البحر مباشر – رخصه وبرج شيك,"6,000,000",الابراهميه,172,متر²,3,2
3999789,أمتلك وحدتك بالاسكندريه علي البحر مباشر بالإبراهيميه– رخصه,"6,000,000",أ بالاسكندريه علي البحر مباشر بالإبراهيميه– رخصه,175,متر²,3,2
4073124,شقة للبيع 160م  الإبراهيمية (شارع الجيش- تانى نمرة من البحر),"2,650,000",الإبراهيمية (شارع الجيش- تانى نمرة من البحر),160,متر²,3,2
3922530,شقة للبيع 112م فى الابراهيميه مطلات مفتوحه  - رخصه وبرج شيك,"1,950,000","شارع أبو قير, الإبراهيمية",112,متر²,2,1
3996365,شقة للبيع 135م  بــــ الابراهيميه بين البحر وبورسعيد (بالاسكندرية),"2,400,000",الابراهيمية بين البحر وبورسعيد,135,متر²,3,2
3831922,شقة للبيع 235 م الابراهيميه (ش ابو قير مباشره),"4,250,000",ش ابو قير مباشره,235,متر²,3,3
