id,title,price,location,size,size_unit,bedrooms,bathrooms
4059943,شقة تمليك للبيع,"660,000",عقار رقم  27 شارع الشهيد اسماعيل عبد الرحمن فهمى متفرع من شارع سعيد الجندى بجوار ميدان كابو بالحضرة,72,متر²,2,1
4085202,ثانى نمرة من المحمودية بجوار كوبرى النزهة امام معهد الاعلام,"540,000",شارع سعيد اللبان، الحضره الجديده,88,متر²,2,1
4061647,الحضرة الجديدة حي المهندسين شارع البستان شقة للبيع,"1,300,000",شارع الصفا والمروة، الحضره الجديده,246,متر²,3,2
4032307,شقة للبيع في الحضرة الجديدة 90متر,"400,000",الحضرة الجديدة ش بلال بن رباح متفرع من شارع الزهور امام صيدلية وائل سمير,90,متر²,2,1
3899959,شقة سوبر لوكس للبيع,"1,000,000",٥٤ ش بن راحمون الحضرة القبلية,225,متر²,3,1
4015399,شقة لقطة للبيع وجه بحري صف تاني على المحمودية  ٩٥ متر,"650,000",الحضرة الجديدة حي المهندسين شارع الشهيد الطيار صبري,95,متر²,2,1
4065291,شقة بكمباوند تبارك,"1,100,000",شارع المفتش، الحضرة,140,متر²,3,1
3981798,الحضرة الجديدة شارع مستشفي النزهة,"360,000",شارع الشرقاوي، الحضره الجديده,75,متر²,2,1
4005252,شقة للبيع الحضرة الجديدة,"820,000",شارع بدر، الحضره الجديده,115,متر²,1,1
3984598,شقه لؤؤطه للبيع للسكن او الاستثمار بموقع متميز بالحضره القبليه,"500,000",الحضرة قبلي، الحضرة,75,متر²,2,1
3970744,للبيع من المالك مباشرة  شقة بالحضرة القبلية بجوار كمبواند البركة على الترام مباشرة بشارع جلال الدين الدسوقي,"600,000",الحضرة قبلي، الحضرة,100,متر²,2,1
3958839,شقة  للبيع  على الترام مباشرة من المالك مباشرة بجوار كمبواند البركة على الترام مباشرة,"600,000",شارع جلال الدسوقي,100,متر²,2,1
3891412,شقق فى الحضرة 115 متر² سوبر لوكس للبيع,"750,000",El Hadara، El Hadara,115,متر²,3,1
3867239,شقة ايجار قديم للبيع او التنازل,"165,000",شارع نصر الاسلام الحضرة الجديدة,90,متر²,3,1
3966550,شقة لقطة ٥ دقايق ل سموحة وكوبرى الابراهيمية,"600,000",ثاني شارع يمين من الجواهر,90,متر²,3,1
4131209,شقه للبيع الحضره ٨٥ متر,"350,000",الحضره  الجديده   السادات,85,متر²,2,1
4121959,شقه للبيع,"950,000",الحضرةـالاسكندرية,115,متر²,2,1
4122603,شقة للبيع بالاسكندرية الحضرة 50 متر,"150,000",الاسكندرية الحضرة,50,متر²,2,1
4122399,للبيع  85م2غرفه ريسبشن2قطعه مطبخ حمام (غرفه وريسبشن عالشارع) الدور الثالث,"530,000",اسكندريه/الحضره/الحضره الجديده/شارع الفردوس متفرع من شارع الزهور,85,متر²,2,1
4099300,شقه للبيع,"1,500,000",الاسكندريه الحضرة القبلى امام سوق الحضرة على الترام,120,متر²,3,1
4098754,شقه للبيع من المالك مباشره 85م,"530,000",الاسكندرية - الحضرة -  شارع الفردوس متفرع من شارع الزهور شارع سجاد التوني,85,متر²,2,1
4099472,شقة بجوار ميدان كابو بالحضرة القبلية,"660,000",الحضرةـالاسكندرية,71,متر²,2,1
4095571,شقه للبيع 125 متر,"450,000",الاسكندرية - الحضرة الجديدة - شارع الجهري,125,متر²,3,1
4073724,شقة للبيع في الحضرة الجديدة 90م,"400,000",الحضرة الإسكندرية,90,متر²,2,1
4069105,شقة 120 م للبيع  امام سوق الحضرة على الترام الحضرة القبلى  -مساحة 120 م (3 غرف ن,"1,500,000",الحضره,120,متر²,3,1
4069107,شقة علي محور المحمودية مباشرة ٣ غرف وصالة  غير مجروحة تماما كما بالصور لايوجد ام,"800,000",الحضره,100,متر²,3,1
4071045,شقه ١٢٥ متر بالدور ال ١٥ وليس الأخير على العضم,"500,000",الحضره,125,متر²,3,1
4083790,شقه ٧٥ متر للبيع,"380,000",الحضره الجديده,75,متر²,2,1
4072252,شقة سكنية تمليك للبيع مع حصة فى الأرض,"660,000",الاسكندرية - الحضرة القبلية - شارع الشهيد اسماعيل عبد الرحمن فهمى متفرع من شارع سعيد الجندى بجوار ميدان كابو,71,متر²,2,1
4095590,شقه للبيع 95 متر,"450,000",الاسكندرية - الحضرة الجديدة - شارع مسجد عرفه جانبي من شارع التوحيد والتيار صبري,95,متر²,2,1
