id,title,price,location,size,size_unit,bedrooms,bathrooms
4130130,شارع جميله بوحريد السيوف كومباوند جميله سيتي,"1,000,000",شارع جميله بوحريد أمام بنك مصر,95,متر²,2,1
4127901,شارع ٢٣ من شارع ١٤ الاصلاح,"350,000",شارع ٢٣ من شارع ١٤ الاصلاح بجوار مسجد نور الاسلام,60,متر²,2,1
4113804,شقه سوبر لوكس السيوف ترام,"1,300,000",شارع زينه برج الفردوس,110,متر²,3,1
4079764,شارع مصطفي كامل الرئيسي بعد مدخل الطرق الدولي,"900,000",شارع مصطفي كامل بجوار مدخل الطريق الدولي,85,متر²,2,1
4083638,شقة للبيع 125 م السيوف (على الترام) /11,"1,550,000",السيوف (على الترام),125,متر²,3,1
3900757,دور كامل للبيع فى شارع جميلة بو حريد,"1,400,000",Gamila Abu Herid St.، El Seyouf,130,متر²,2,1
4093760,شقة للبيع 142م السيوف ( امام سيتى لايت ),"950,000",السيوف ( امام سيتى لايت ),142,متر²,2,1
4006743,شقة تمليك في السيوف - 142 متر - امام كارفور ستى لايت  TMZ7240,"920,000",السيوف,142,متر²,2,1
3980638,شقة للبيع في السيوف348م شارع متفرع من دوران السيوف,"2,350,000",السيوف شارع متفرع من دوران السيوف,348,متر²,4,2
3968820,شقة للبيع 135م بـــــ السيوف شارع جميلة ابوحريـد (بالاسكندرية),"1,400,000",السيوف شارع جميلة بوحريد,135,متر²,2,1
3952358,شقة للبيع 120 م السيوف (السيوف ترام),"950,000",السيوف ترام,120,متر²,3,1
3995432,شقة 131 م للبيع بسعر اقل من سعر السوق,"1,100,000",السيوف شماعة خلف كارفور سيتي لايت,131,متر²,3,1
4032604,شقة للبيع بالسيوف بحر الاسكندرية,"1,250,000",السيوف بحري,100,متر²,3,1
3982310,السيوف 120 متر شقة للبيع,"950,000",السيوف مصطفى كامل,120,متر²,2,1
3930990,ستوديو فى السيوف 72 متر² super_lux للبيع,"750,000",السيوف، السيوف,72,متر²,1,1
4074029,شقق نصف تشطيب للبيع فى شارع جميلة بو حريد,"850,000",شارع جميلة بو حريد، السيوف,95,متر²,2,1
4108328,شقق للبيع فى سيتي لايت,"900,000",Mostafa Kamel St.، El Seyouf,110,متر²,2,1
4028834,شقة للبيع 135 م السيوف ( خلف البنك الأهلي - عمارات الشركه المتحده للإسكان والتعم,"1,500,000",السيوف ( خلف البنك الأهلي - عمارات الشركه المتحده للإسكان والتعمير ),135,متر²,3,2
4082330,شقق للبيع فى ميدان الساعة,"1,000,000",ميدان الساعة، السيوف,145,متر²,3,2
4067903,19 شارع ابراهيم سيف ، متفرع من جمال عبد الناصر,"410,000",19 شارع  ابراهيم سيف متفرع من جمال عبد الناصر وموازى لشارع على هيبة,65,متر²,2,1
4077313,شارع عزيز انطوان متفرع من جميلة بوحريد,"1,150,000",شارع جميلة بو حريد، السيوف,95,متر²,1,1
4054757,على هيبه شقة للييع,"1,100,000",شارع جمال عبد الناصر، سيدي بشر بحري,125,متر²,3,1
3828770,دوران السيوف... الاسكندريه,"2,100,000",دوران السيوف.. جميله ابوحريد..,250,متر²,3,1
4070701,احمد بن حنبل منطقة السيوف,"1,250,000",أحمد إبن حنبل، السيوف,135,متر²,3,1
4017730,دور كامل للعائلات,"1,400,000",طريق السيوف الرئيسي بعد فتحة محسن الأولى فوق معرض سيارات العطارين,280,متر²,5,3
4099131,ش احمد ابوسليمان علي الرئيسي علي بعد دقيقتين من الساعة و ٥ د من المحمودية,"450,000",ميدان الساعة، السيوف,100,متر²,2,1
4082194,السيوف شماعه شارع الفنان محمد عثمان تاني عماره علي اليمين برج الحياه بجوار برج الرعايا,"600,000",الفلكي، السيوف,85,متر²,2,1
