id,title,price,location,size,size_unit,bedrooms,bathrooms
4086868,بأكبر مشروعات الدولة للسكن الفاخر بالاسكندرية بتسهيلات 60 شهر .,"4,200,000",الداون تاون,145,متر²,3,5
3837861,شقة للبيع 350م بــــ الشـــاطبئ شارع بورسعيد مطلات مفتوحة (بالاسكندرية),"5,750,000",الشاطبئ شارع بورسعيد الرئيسي,350,متر²,7,5
3840592,شقة للبيع - em الازاريطة ( شارع سوتر ) -  مساحة 300 متر,"5,300,000",الازاريطة ( شارع سوتر ) - متر,300,متر²,4,3
3880148,شقة بروف للبيع 290 م الشاطبى (ش بورسعيد),"5,000,000",ش بورسعيد,290,متر²,5,4
3909718,شقة للبيع 140م بـــــ الشــــاطبئ ترام مبــــاشر (بالاسكندرية),"2,600,000",الشاطبئ ترام مباشر,140,متر²,3,2
3958488,شقة لقطة للبيع في الشاطبي علي البحر مباشر اول نمره,"3,500,000",الشاطبى على بحر,150,متر²,3,1
3915793,الشاطبى شقة للبيع,"2,650,000",شارع عمر لطفي، الشاطبي,140,متر²,1,1
3942622,لدواعي السفر شقة سوبر لوكس اطلالة البحر ومكتبة اسكندرية والجامعة,"2,200,000",شارع سوتر,105,متر²,2,1
4131669,شقه للبيع ف الشاطبي  بالقرب من مسجد الشاطبي,"1,350,000",الشاطبي,80,متر²,2,1
4124207,شقة في الشاطبي نادرة,"5,000,000",الاسكندريه الشاطبي,290,متر²,5,4
4121553,شقه للبيع بالشاطبي دور اول علوي ١٠٠ متر,"1,600,000",الشاطبي تاني نمره من البحر بجوار الجامعه ووسط البلد ومكتبه الاسكندريه,100,متر²,3,1
4122340,شقه للبيع مساحه ٨٠ م ٢ غرفه + ريسبشن ٢ قطعه الدور الرابع وليس الأخير,"1,400,000",اسكندريه/الشاطبي بالقرب من مسجد الشاطبي بين شارع بور سعيد والبحر خطوات من مبني الجامعه,80,متر²,2,1
4112814,شقة  للبيع 80م,"1,500,000",الشاطبي_شارع بورسعيد,80,متر²,2,1
3984418,شقة تصلح مكتب او عيادة او سكنى,"1,200,000",الشاطبي-الاسكندرية,82,متر²,2,1
3920529,من المالك مباشر الشاطبى ترام شقة 140متر,"2,600,000",الشاطبى,140,متر²,3,2
4041118,شقه للبيع,"850,000",الاسكندريه قناه السويس الشاطبي وبور الميه,145,متر²,3,2
3923496,شقه للبيع  ** الشاطبى موقع متميز **  ** جميع المطلات على الترام  ** 140 م,"2,650,000",الاسكندريه الشاطبي,140,متر²,3,2
