id,title,price,location,size,size_unit,bedrooms,bathrooms
4128598,بدون مقدم لفترة محدوده احجز شقتك داخل اليكس ويست 155م,"3,410,000",كمبوند اليكس ويست,155,متر²,3,2
4119824,اشتري شقتك السكنيه الان في اليكس ويست بدون مقدم  111م,"2,466,000",كمبوند اليكس ويست,111,متر²,2,1
4131789,بأقل مقدم و اطول فترة سداد شقتك في كمبوند اليكس ويست,"3,043,000",كمبوند اليكس ويست,133,متر²,2,2
4131503,0% مقدم لفترة محدوده داخل اليكس ويست و تقسيط حتي 8 سنوات,"2,466,000",كمبوند اليكس ويست,111,متر²,2,1
4128740,اشتري الان في اليكس ويست 0% مقدم بتسهيلات حتي 8 سنوات 279م,"6,322,000",كمبوند اليكس ويست,279,متر²,4,3
4127622,اشتري الان في اليكس ويست بدون مقدم لفترة محدوده شقه 178م مميزه,"3,916,000",كمبوند اليكس ويست,178,متر²,3,3
4125688,0% مقدم و اطول فترة سداد شقه للبيع  في كمبوند اليكس ويست 133م,"3,320,000",كمبوند اليكس ويست,133,متر²,2,2
4122836,بدون مقدم لفترة محدوده في اليكس ويست امتلك وحدتك بتسهيلات تصل الي 8 سنوات 279م,"6,322,000",كمبوند اليكس ويست,279,متر²,4,3
4120567,اشتري الان في اليكس ويست بدون مقدم لفترة محدوده شقه مميزه 178م,"3,916,000",كمبوند اليكس ويست,178,متر²,3,3
4120153,امتلك وحدتك السكنيه في اليكس ويست 184م بدون مقدم لفترة محدوده واطول فترة سداد,"4,088,000",كمبوند اليكس ويست,184,متر²,3,3
4119671,0% مقدم لفترة محدوده في اليكس ويست بأطول فترة سداد 133م,"3,043,000",كمبوند اليكس ويست,133,متر²,2,2
4120529,احجز شقتك السكنيه داخل اليكس ويست بتسهيلات تصل الي 8 سنوات بدون مقدم 217م,"4,822,000",كمبوند اليكس ويست,217,متر²,4,3
4104837,اشتري الان داخل كمبوند اليكس ويست بأقل مقدم وفترة سداد تصل الي5 سنوات,"3,410,000",كمبوند اليكس ويست,155,متر²,3,2
4100103,باطلاله و موقع استراتيجي مميزين امتلك شقتك في اليكس ويست 4 غرف 279م,"6,322,000",كمبوند اليكس ويست,279,متر²,4,3
4099951,اشتري شقتك في موقع استراتيجي بكمبوند اليكس ويست 217م,"4,822,000",كمبوند اليكس ويست,217,متر²,4,3
4096801,امتلك وحدتك السكنيه داخل كمبوند صواري 154م,"4,235,000",كمبوند صواري,154,متر²,3,2
4072306,بأطول فترة سداد واقل مقدم اشتري شقتك داخل كمبوند اليكس ويست 184م,"4,088,000",كمبوند اليكس ويست,184,متر²,3,3
4067813,شقه مميزه للبيع بكمبوند اليكس ويست 4 غرف فيو مميز 217م,"4,822,000",كمبوند اليكس ويست,217,متر²,4,3
3943097,اشتري الان في اليكس ويست مقدم 10% اقساط تصل الي 7سنوات 217م,"4,822,000",اليكس ويست اسكندريه,217,متر²,4,2
3943074,شقه سكنيه مميزه للبيع في كمبوند اليكس ويست 155م,"3,410,000",اسكندريه - اليكس ويست,155,متر²,3,2
