id,title,price,location,size,size_unit,bedrooms,bathrooms
3912979,شقة 232م للبيع في بالم هيلز - الإسكندرية,"9,297,000",الاسكندرية,232,متر²,3,1
4029169,شقة 233م للبيع في بالم هيلز - الإسكندرية,"9,167,000",الاسكندرية,233,متر²,1,1
4029006,شقة 166م للبيع في بالم هيلز - الإسكندرية,"6,767,000",الاسكندرية,166,متر²,3,1
3912977,شقة 147م للبيع في بالم هيلز - الإسكندرية,"7,649,000",الاسكندرية,147,متر²,2,1
4078132,شقة ١٤٧ متر - بالم هيلز الاسكندرية - من المالك مباشرة,"6,000,000",palm hills alexandria,147,متر²,2,2
4033978,شقة 221م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"8,243,000","الطريق الدولي الساحلي , الاسكندرية",221,متر²,3,1
4033927,شقة 202م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"6,803,000","الطريق الدولي الساحلي , الاسكندرية",202,متر²,3,1
4033899,شقة 180م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"6,852,000","الطريق الدولي الساحلي , الاسكندرية",180,متر²,2,1
4033907,شقة 197م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"6,715,000","الطريق الدولي الساحلي , الاسكندرية",197,متر²,2,1
4033955,شقة 210م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"7,701,000","الطريق الدولي الساحلي , الاسكندرية",210,متر²,2,1
4033972,شقة 217م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"7,306,000","الطريق الدولي الساحلي , الاسكندرية",217,متر²,3,1
4033985,شقة 231م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"7,754,000","الطريق الدولي الساحلي , الاسكندرية",231,متر²,3,1
4033892,شقة 149م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"7,444,000","الطريق الدولي الساحلي , الاسكندرية",149,متر²,2,1
4033962,شقة 213م للبيع في بالم هيلز الإسكندرية - الإسكندرية,"8,375,000","الطريق الدولي الساحلي , الاسكندرية",213,متر²,3,1
