id,title,price,location,size,size_unit,bedrooms,bathrooms
4113063,العامريه المستعمرة شارع عشره,"80,000",العامريه المستعمرة شارع عشره,52,متر²,2,1
4096323,مدينة الفردوس ضباط قوات مسلحه مرغم العامريه,"375,000",العامرية، الاسكندرية,86,متر²,1,1
4056277,شقة في كمبوند الفردوس للبيع,"450,000",ك٢٦ طريق مصر اسكندرية الصحراوي _ مدينة الفردوس,86,متر²,2,1
3802240,للبيع بالفردوس,"380,000",العامرية، الاسكندرية,86,متر²,2,1
4123378,شقة علي المحارة للبيع بدون تشطيب  الدور الثاني,"120,000",عامريه,85,متر²,2,1
4104699,٨٦ متر - غير مسكونه من قبل بحديقه بمدخل العماره والحد,"375,000",عامريه,86,متر²,2,1
4061195,شقة للبيع بالاسكندرية العامرية 67 متر,"120,000",الاسكندرية العامرية,67,متر²,2,1
3924748,شقه دور كامل للبيع,"480,000",العامرية، الاسكندرية,180,متر²,4,2
3910658,شقه للبيع أمام كوبري عبد القادر,"180,000",أمام كوبري عبد القادر,90,متر²,2,1
3988160,شقه للبيع بمدينه مبارك,"150,000",الاسكندرية,85,متر²,3,1
3972446,كومباوند الفردوس لظباط القوات المسلحة بالإسكندرية,"370,000",العامريه,86,متر²,2,1
3887580,شقة للبيع في عبد القادر الجديده بيوت الاهالي,"250,000","العامرية, الإسكندرية",100,متر²,3,1
3909318,شقه  للبيع بمساكن عبد القادر الجديدة - مساحة ٩٦ م,"110,000",الاسكندريه - العامريه,96,متر²,2,1
4044548,شقق 150 متر² للبيع فى العامرية,"200,000",الاسكندريه عبدالقادر مجزر شارع ١٣من عالترعه,150,متر²,3,1
3948522,شقه للبيع شارع القسم خلف مدرسه الحسن بن الهيثم,"260,000",شارع حماد عجمي، كفر طهرمس,80,متر²,2,1
4037137,شقة تشطيب فاخر بشارع المستعمره مرغم,"350,000",العامرية، الاسكندرية,135,متر²,3,1
3966549,شقه للبيع,"300,000",الاسكندريه العامريه  شارع مسجد البسيوني متفرع من مخزن  الزيت أخر الشارع,150,متر²,4,1
3957104,شقه للبيع العامريه بشارع السفن بالمروحه خلف وائل تبارك,"190,000",الاسكندريه - العامريه,80,متر²,2,1
3956066,شقه للبيع في عبد القادر مبارك,"100,000",العامرية,88,متر²,2,1
3879773,ستوديو 52 متر للبيع بالعامرية,"90,000","العامرية, الإسكندرية",52,متر²,1,1
3903365,شقه للبيع,"150,000",الاسكندريه العامرية شارع قشوع,95,متر²,2,1
3746416,شقه للبيع ارضي كامله المرافق,"95,000",اسكندريه مطروح العنوان شارع السلام القبلي بجوار معهد العجمي العالي للعلوم الاداريه,65,متر²,2,1
3831295,شقة البيع من المالك مباشرة . بدون سمسرة,"110,000",شقة بمساكن عبد القادر الجديدة,96,متر²,3,1
3930862,شقه للبيع بمدينه العامريه,"400,000",الاسكندريه العامريه,86,متر²,2,1
3867576,شقه للبيع,"100,000",العامريه,68,متر²,2,1
3837018,. حديقه بالمدخل واجهه خلفيه وبلكونه مرتفع عن الشارع. .,"340,000",العامريه,86,متر²,2,1
4052375,شقة للبيع بالعامرية خلف نادي الساحة مساحة 100متر بالبلكونات كامله التشطيب,"300,000",الاسكندريه العامريه,100,متر²,3,1
3949588,شقه ٩٠ متر,"400,000",العامرية، الاسكندرية,90,متر²,2,1
3942779,شقة علي طريق اسكندرية القاهره الصحراوي  قبل كوبري العامريه مساحة 120 متر,"360,000",الاسكندريه العامريه,120,متر²,3,1
3924368,شقة علي الطريق مباشرة بالعامرية,"350,000",اسكندريه العامريه,120,متر²,3,1
3865566,شقه للبيع 70 متر,"280,000",الاسكندريه العامريه,70,متر²,2,1
3839055,للبيع شقة سوبر لوكس بالعفش او بدون تصلح سكن او اداري,"190,000",الاسكندرية - العامرية,70,متر²,2,1
3874328,شقه للبيع,"50,000",العامريه الاسكندريه,40,متر²,2,1
3867542,شقة للبيع 86م العامرية الصحراوي الاسكندرية ك26 مطلوب 350 الف جنيه,"320,000",العامريه الاسكندريه,86,متر²,2,1
4082913,شقه ٧٠ متر للبيع,"80,000",مساكن عبد القادر العامريه,70,متر²,2,1
3904768,شقة تمليك جميع أوراقها خالصة ليس عليها اي مديونيات وجاهزة للتسليم الفوري  السعر,"80,000",العامريه,70,متر²,2,1
4113063,العامريه المستعمرة شارع عشره,"80,000",العامريه المستعمرة شارع عشره,52,متر²,2,1
4096323,مدينة الفردوس ضباط قوات مسلحه مرغم العامريه,"375,000",العامرية، الاسكندرية,86,متر²,1,1
4056277,شقة في كمبوند الفردوس للبيع,"450,000",ك٢٦ طريق مصر اسكندرية الصحراوي _ مدينة الفردوس,86,متر²,2,1
3802240,للبيع بالفردوس,"380,000",العامرية، الاسكندرية,86,متر²,2,1
4123378,شقة علي المحارة للبيع بدون تشطيب  الدور الثاني,"120,000",عامريه,85,متر²,2,1
4104699,٨٦ متر - غير مسكونه من قبل بحديقه بمدخل العماره والحد,"375,000",عامريه,86,متر²,2,1
4061195,شقة للبيع بالاسكندرية العامرية 67 متر,"120,000",الاسكندرية العامرية,67,متر²,2,1
3924748,شقه دور كامل للبيع,"480,000",العامرية، الاسكندرية,180,متر²,4,2
3910658,شقه للبيع أمام كوبري عبد القادر,"180,000",أمام كوبري عبد القادر,90,متر²,2,1
3988160,شقه للبيع بمدينه مبارك,"150,000",الاسكندرية,85,متر²,3,1
3972446,كومباوند الفردوس لظباط القوات المسلحة بالإسكندرية,"370,000",العامريه,86,متر²,2,1
3887580,شقة للبيع في عبد القادر الجديده بيوت الاهالي,"250,000","العامرية, الإسكندرية",100,متر²,3,1
3909318,شقه  للبيع بمساكن عبد القادر الجديدة - مساحة ٩٦ م,"110,000",الاسكندريه - العامريه,96,متر²,2,1
4044548,شقق 150 متر² للبيع فى العامرية,"200,000",الاسكندريه عبدالقادر مجزر شارع ١٣من عالترعه,150,متر²,3,1
3948522,شقه للبيع شارع القسم خلف مدرسه الحسن بن الهيثم,"260,000",شارع حماد عجمي، كفر طهرمس,80,متر²,2,1
4037137,شقة تشطيب فاخر بشارع المستعمره مرغم,"350,000",العامرية، الاسكندرية,135,متر²,3,1
3966549,شقه للبيع,"300,000",الاسكندريه العامريه  شارع مسجد البسيوني متفرع من مخزن  الزيت أخر الشارع,150,متر²,4,1
3957104,شقه للبيع العامريه بشارع السفن بالمروحه خلف وائل تبارك,"190,000",الاسكندريه - العامريه,80,متر²,2,1
3956066,شقه للبيع في عبد القادر مبارك,"100,000",العامرية,88,متر²,2,1
3879773,ستوديو 52 متر للبيع بالعامرية,"90,000","العامرية, الإسكندرية",52,متر²,1,1
