id,title,price,location,size,size_unit,bedrooms,bathrooms
4028389,شقة تصلح للتمويل العقاري بالعصافرة بحري,"1,500,000",العصافرة بحري عمارات بنك الاسكان والتعمير,135,متر²,2,2
4124443,العصافره جمال عبد الناصر ش مسجد النور,"1,300,000",العصافره جمال عبد الناصر ش مسجد النور,125,متر²,3,1
4090595,فرصة رائعة,"2,300,000",شارع الارمن -رابع نمرة من البحر,175,متر²,3,2
4099849,شقة للبيع 135م العصافرة (خلف اسواق الشريف ),"1,000,000",العصافرة (خلف اسواق الشريف ),135,متر²,3,1
4129066,شقة للبيع 140م العصافرة (شارع جمال عبد الناصر ),"1,750,000",العصافرة (شارع جمال عبد الناصر ),140,متر²,2,1
4125376,شقة للبيع 376م  ب ميامي مكونه من 3أدوار ( تريبلكس) - متفرع من شارع 45 .   بسعر 3,"3,300,000",ميامي متفرع من شارع 45 .,376,متر²,6,3
4106248,شقة لقطة قريبه من البحر العصافرة بحرى عند الواردة البيضا,"2,750,000",العصافرة بحرى عند فندق الواردة البيضاء,185,متر²,3,3
4122909,شقة للبيع  100م العصافره (بجوار فندق الوردة البيضاء - خطوات من البحر),"1,300,000",العصافره (بجوار فندق الوردة البيضاء - خطوات من البحر),100,متر²,2,1
4061484,شقه للبيع,"1,000,000",شارع45 شارع 6,105,متر²,3,1
4060026,للتمليك شقه 125 م بجوار فتح الله ماركت بالعصافره بحرى,"1,050,000",عصافره شارع بلهارس,125,متر²,2,1
4104459,شقه للبيع جمال عبدالناصر الرئيسي 120م بسعر لقطه – رخصه,"1,300,000",شقه للبيع جمال عبدالناصر الرئيسي 120م بسعر لقطه – رخصه,125,متر²,2,1
4100152,شقه شيك جداااا  للبيع العصافره ش الورده البيضاء – 175متر – برج شــيـــك,"2,750,000",شقه شيك جداااا  للبيع العصافره ش الورده البيضاء – 175متر – برج شــيـــك,175,متر²,3,2
4023703,للبيع على الطريق الدولي امتداد 45,"800,000",الطريق اادولي امتداد شارع 45 قبل قاعات الافراح,100,متر²,2,1
4077038,شقة دوبلكس  للبيع  260 م العصافرة (جمال عبد الناصر)  / 44,"3,000,000",العصافرة (جمال عبد الناصر),260,متر²,3,3
4077021,شقة دوبلكس  للبيع  260 م العصافرة (جمال عبد الناصر)  / 44,"3,000,000",جمال عبد الناصر),260,متر²,3,3
4038971,جمال عبد الناصر الرئيسي العصافرة ١٥٠ متر سوبر لوكس,"1,850,000",شارع جمال عبد الناصر، العصافرة,150,متر²,3,2
3989565,شقة للبيع 100 م العصافرة (ش جمال عبد الناصر),"1,750,000",العصافرة ش جمال عبد الناصر,100,متر²,3,1
4037667,شقة للبيع شارع الملازم بسيوني,"1,850,000",العصافرة,145,متر²,3,1
4035127,شقة للبيع تري البحر بشارع 45 بجوار فتح الله ماركيت,"2,250,000",العصافرة,256,متر²,4,2
4010117,شقة للبيع 180م بــــ العصـــافرة رابع نمره من البحر  (بالاسكندرية),"2,250,000",العصافرة رابع نمرة من البحر,180,متر²,3,2
3890855,شقة للبيع العصافرة,"2,000,000",شارع جمال عبد الناصر، العصافرة,200,متر²,1,1
3971168,شقة للبيع 95 م العصافره (خطوات من البحر - متفرع من ش جمال عبد الناصر),"1,260,000",خطوات من البحر - متفرع من ش جمال عبد الناصر,95,متر²,2,1
3819704,دوبلكس للبيع فى شارع جمال عبد الناصر,"3,000,000",Gamal Abdel Nasser St.، El Asafra,380,متر²,4,3
3899660,شقه للبيع 164 م العصافره بحرى (ش الملك حفنى),"1,250,000",ش الملك حفنى,164,متر²,4,2
3840455,شقة للبيع 185 سيدي بشر  (ثاني نمرة من البحر),"2,500,000",سيدي بشر  (ثاني نمرة من البحر),185,متر²,3,2
3982288,شقة بالروف للبيع في العصافرة بحري شارع الفضالي,"1,400,000",العصافرة بحري شارع 45,200,متر²,2,2
3843647,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه العصافره,"1,700,000",العصافره,150,متر²,3,2
3819680,للبيع شقة في العصافرة 130م,"1,500,000",Gamal Abdel Nasser St.، El Asafra,130,متر²,3,1
4110976,شقه بالعصافرة بحري للبيع,"850,000",متفرع من شارع جمال عبد الناصر وأسواق الشريف,86,متر²,4,1
4098264,شقق اكسترا سوبر لوكس فى شارع جمال عبد الناصر,"3,100,000",شارع جمال عبد الناصر، العصافرة,300,متر²,label.rooms.plus10,2
4099188,العصافرة قبلي المعهد الديني بجوار كافيتريا أولاد عمر,"200,000",العصافرة قبلي، العصافرة,50,متر²,7,1
3975111,شقة للبيع 125 م العصافرة (شارع 6 اكتوبر بحرى جمال عبد الناصر),"1,100,000",العصافرة (شارع 6 اكتوبر بحرى جمال عبد الناصر),125,متر²,3,2
4094719,شقة سوبر لوكس للبيع بالعصافرة بحرى ٢ عمارة من جمال عبد الناصر,"800,000",24 امتداد دار الصديقات العصافرة بحرى برج شيك هاوس,100,متر²,2,1
3922471,شقة 170 متر على البحر مباشرة مسجلة شهر عقاري,"4,500,000",العصافرة طريق الجيش,170,متر²,3,2
4073776,شقة لؤؤؤؤؤطة جدااا بالعصافرة جمال عبد الناصر العمومى,"1,200,000",العصافرة بحري,125,متر²,3,1
3819654,للبيع شقة بالعصافرة عالبحر 130م,"1,450,000",Al Asafra Bahri، El Asafra,130,متر²,3,1
4047062,العصافره جمال عبدالناصر شارع عمرو بن العاص أمام البعوث الإسلامية,"1,650,000",شارع جمال عبدالناصر أمام البعوث الإسلامية,226,متر²,3,2
4084209,برج الفيروز 15ش سيدى العراقى من ش ملك حفنى,"550,000",شارع 45، العصافرة,85,متر²,2,1
4083680,شقة للبيع ٨٦ متر,"850,000",ش إدريس من ش جمال ع الناصر تانى نمرة من جمال ما بين جمال والكورنيش,86,متر²,2,1
4052790,العصافرة بحرى شقة للبيع,"1,350,000",شارع جمال عبد الناصر، العصافرة,100,متر²,2,1
3941823,شقه الدور الثاني ١٠٠ متر ترى البحر,"2,000,000",عبد الحليم محمود,100,متر²,3,1
3936315,شقة بحري مودرن ٣-غرف وبلكونه | للبيع,"1,600,000",العصافره بحري شارع 528 - العماره رقم 3 بانوراما سي فيو,135,متر²,3,2
3990307,شقه للبيع بالعصافره عبد الناصر,"1,850,000",Slman farsy st asafra,85,متر²,3,1
