id,title,price,location,size,size_unit,bedrooms,bathrooms
4036766,شقة ٢٢٠ م بالقباري كل الغرف علي الشارع الرئيسي ( ش مكس ),"1,200,000",القباري، الاسكندرية,220,متر²,4,1
4130934,شقه للبيع 120م,"600,000",الاسكندريه القباري الورديان شارع الامير لؤلؤ,120,متر²,3,1
4075514,شقة للبيع بالاسكندرية القباري 125 متر,"720,000",الاسكندرية القباري,125,متر²,3,1
4059608,شقه للبيع بمنطقه القباري,"750,000",الاسكندرية - القباري -  برج الامريكان شارع السلطان شاه,125,متر²,3,1
4041191,شقه لقطه للبيع في القباري,"130,000",كفر عشري امام كوبري التاريخ عند بنك مصر,45,متر²,2,1
3992226,شقق سوبر لوكس للبيع فى القباري,"130,000",الاسكندريه كفر عشري كوبري التاريخ اول طريق المحموديه عمومي,85,متر²,2,1
4000846,شقة للبيع في القباري,"700,000",القباري-اسكندرية,100,متر²,3,1
3999803,شقه للبيع كفر عشري كوبري التاريخ,"130,000",كفر عشري كوبري التاريخ,85,متر²,2,1
3983868,شقه للبيع,"65,000",الاسكندريه الورديان اصنيه جانب البوسطه,60,متر²,1,1
3939400,شقة للبيع بالاسكندرية القباري 145 متر,"1,150,000",الاسكندرية القباري,145,متر²,3,2
3903060,شقه بالقباري شارع قهوه العسكرى متفرع من شارع الامير لؤلؤ العمومي عباره عن غرفتين,"205,000",الاسكندريه القبارى,75,متر²,2,1
3752224,فرصه شقه للبيع  سكني أو تجارى بالقبارى,"215,000",القبارى,75,متر²,2,1
3895440,شقه للبيع ٧٥ متر,"210,000",القباري,75,متر²,2,1
3893519,شقه غرفتين وصاله وحمام وطبخ مياه ونور وغاز ونت وتكيف ٣حصان وبلكون٨متر علي شارعين,"245,000",الاسكندريه القبارى,75,متر²,2,1
3827734,فرصه شقه للبيع بالاسكندريه  سكني أو تجارى بالقباري  ٨٥ متر,"215,000",الاسكندريه القبارى,85,متر²,2,1
3826069,فرصه شقه للبيع  سكني أو تجارى بالقباري والشقه كلها رخام ماعدا الغرفتين,"215,000",اسكندريه  \القبارى,85,متر²,2,1
3822303,شقه للبيع  سكني أو تجارى بالقباري,"215,000",شارع المكس خلف بنزينه الطرهوني  ترى الميناء,85,متر²,2,1
4014065,شقه للبيع 95م فالقبارى ع الشارع الرئيسي,"550,000",القبارى,95,متر²,3,1
3894108,شقه للبيع 90 م ثلاث غرف وصاله,"200,000",الإسكندرية _ القباري,90,متر²,3,1
3937071,شقه للبيع,"210,000",الاسكندريه بالقبارى شارع 5 الشارع اللي قدام كشري ابو كامل اللي في الامير لؤلؤ,80,متر²,2,1
3925602,شقه بالقباري شارع قهوه العسكرى متفرع من شارع الامير لؤلؤ العمومي,"205,000",القباري شارع قهوه العسكرى متفرع من شارع الامير لؤلؤ العمومي,80,متر²,2,1
3924510,شقه 75 متر غرفتين وصاله وحمام ومطبخ ومياه ونور وغاز ونت باسمي تكيف 3حصان تصلح لع,"205,000",القباري,75,متر²,2,1
3910725,شقة 75م للبيع,"205,000",القبارى قريبه من شارع الامير لؤلؤ العمومي امام كشري ابو كامل,75,متر²,2,1
3835218,شقه للبيع لقطه في نص البلد  منطقه كفر عشري,"120,000",منطقه كفر عشري / مينا البصل,85,متر²,2,1
4008623,ستوديو للبيع فى القباري,"75,000",الاسكندريه الورديان في مساكن الصينية,55,متر²,1,1
4054736,شقه للبيع 3 غرف وصاله 75 متر,"100,000",الاسكندريه كفر عشري من عند  كوبري التاريخ مبين  القباري والمنشيه او مابين القباري والمحطه  من ناحيه المحموديه عمومي بعد محرم بيه وكرموز علي طول,75,متر²,3,1
3902082,شقه بعماره المحروسه 3 بالقبارى,"670,000",الاسكندرية,130,متر²,2,1
3867031,شقه للبيع برج امريكن القباري,"620,000",ميناء الاسكندريه,125,متر²,4,2
3940902,شقه للبيع لقطه تنفع سكن ومخزن وعياده في القباري,"80,000",الاسكندريه القباري,80,متر²,2,1
