id,title,price,location,size,size_unit,bedrooms,bathrooms
4108034,شقة تمليك للبيع حصه في الأرض,"390,000",الاسكندرية - اللبان - عند مستشفى دار إسماعيل على الترام امام مدرسة الكواكبي,70,متر²,2,1
4040062,شقة للبيع 85 متر,"300,000",الاسكندرية - اللبان - شارع الامام علي,85,متر²,2,1
4000094,شقه للبيع باللبان,"350,000",شارع عبد المنعم اللبان,65,متر²,2,1
3910372,شقة للبيع شارع سلامه موسى اللبان اسكندرية  شارع عمومى الدور التامن سلم والاخير,"150,000",الاسكندريه اللبان,80,متر²,3,1
3999976,شقه سوبر لوكس في اللبان شارع السنوسي..........مدخل رخام ....سلالم رخااام........,"310,000",الاسكندريه - اللبان,90,متر²,2,1
3984092,شقه للبيع فى اللبان شارع السنوسي,"310,000",اللبان شارع السنوسي,85,متر²,2,1
3917571,شقه للبيع باللبان أمام مستشفى كرموز العمال على الترام  120متر 3غرف وريسبشن 3قطع,"480,000",الاسكندريه اللبان,120,متر²,3,1
4039967,شقة للبيع بالاسكندرية اللبان 110 متر,"520,000",الاسكندرية اللبان,110,متر²,3,1
4007258,شقه للبيع,"200,000",الإسكندرية  اللبان,65,متر²,2,1
3948423,شقة للبيع شارع الجزائر - اللبان,"775,000",شارع الجزائر - اللبان,100,متر²,3,1
4039802,شقة للبيع بالاسكندرية اللبان 110 متر,"510,000",الاسكندرية اللبان,110,متر²,2,1
4037577,شقة 100 متر صافي بشارع ابو تمام متفرع من شارع الجزائر,"600,000",الاسكندريه اللبان بشارع ابو تمام متفرع من شارع الجزائر,100,متر²,3,1
3973085,شقة للبيع  من شارع عبد المنعم اللبان,"550,000",العطارين,100,متر²,3,1
3905075,شقه للبيع,"320,000",الاسكندريه فى اللبان اول شارع عبد المنعم عند النادي الرياضي,90,متر²,2,1
