id,title,price,location,size,size_unit,bedrooms,bathrooms
4092744,شقة للبيع في المعمورة الشاطئ  - 120 متر شارع النصر,"3,100,000",المعمورة,120,متر²,3,1
4132004,شقة للبيع فى المعموره - مطلات على حدائق المنتزه,"4,250,000",Other Neighborhoods In El Mamoura، El Mamoura,189,متر²,3,2
4124092,شقة للبيع في المعمورة الشاطيء 160 متر بحصة عقارية ترى البحر,"6,000,000",المعمورة,160,متر²,2,2
4080666,المعموره الجديده طريق الطابيه,"530,000",المعموره الجديده,112,متر²,2,1
4101406,شقه للبيع في المعموره الشاطئ بحر مباشر 180 م TMZ6678,"4,500,000",المعمورة الشاطئ,180,متر²,4,2
4101416,شقه للبيع في المعموره الشاطئ بحر مباشر 180 م  TMZ6677,"4,500,000",المعمورة الشاطئ,180,متر²,4,2
4111593,شقة للبيع 250 م المعموره (المجموعه 10)/ 7,"3,600,000",المعموره (المجموعه 10),250,متر²,4,3
4090498,المعمورة,"1,550,000",شارع رقم 21، المعمورة,155,متر²,1,1
4054896,شقة للبيع في المعمورة الشاطئ - 120 متر – واجهة بحرية – خطوات للبحر TMZ7274,"2,600,000",المعمورة,120,متر²,2,2
4029025,شقة تمليك في المعمورة الشاطئ - 165 متر - بالقرب من ملاهي المعمورة TMZ7185,"3,100,000",المعمورة,165,متر²,3,2
4033406,شقة للبيع في المعمورة الشاطئ 125 م – TMZ7052 شارع النصر,"2,600,000",المعمورة,125,متر²,3,1
3994846,شقة للبيع في المعمورة الشاطئ 120 م TMZ7050,"2,600,000",المعمورة,120,متر²,2,1
3939273,شقة للبيع في المعمورة الشاطئ 140 متر بالقرب من المنتزة 2.500.000 ج كاش TMZ7046,"2,500,000",المعمورة,140,متر²,2,2
3913952,شقة للبيع في المعمورة الشاطئ  125 م – شارع النصر  TMZ7052,"2,600,000",المعمورة,125,متر²,3,1
4033944,شقة للبيع في المعمورة - 170 متر بالحديقة   - 3850000 ج كاش,"3,850,000",المعمورة,170,متر²,2,2
3891996,شقة للبيع 80 م المعمورة الشاطئ  (ش خالد بن الوليد),"1,750,000",المعمورة الشاطئ (ش خالد بن الوليد),80,متر²,2,1
