id,title,price,location,size,size_unit,bedrooms,bathrooms
4091483,شقه للبيع فيو المنتزة والبحر مرخصة  بابراج رويال بلازا,"1,750,000",ابراج رويال بلازا امام حدائق المنتزة,130,متر²,2,2
4096794,شقة فاخرة للبيع في الاسكندرية,"2,000,000",Other Neighborhoods In El Montazah، El Montazah,310,متر²,4,4
4106971,شقة للبيع  145م المنتزة (رويال بلازا المنتزة ),"1,950,000",المنتزة (رويال بلازا المنتزة ),145,متر²,3,2
4090492,المنتزة,"1,600,000",المنتزة,135,متر²,2,2
4057473,للبيع شقة 150 م واجهه بحرية مفتوحة 3 نوم 2 حمام سوبر لوكس - المنتزة - سيسيليا -,"1,550,000",كمبوند سيسيليا شارع الملك متفرع من الملك حفني المنتزة الاسكندريه,150,متر²,3,2
4055890,شقة للبيع 120م المنتزة (ابراج رويال بلازا),"1,600,000",المنتزه,120,متر²,2,1
4040982,سيدى بشر,"2,500,000",محمد نجيب,152,متر²,2,2
3967466,شقة للبيع  145م المنتزة (أبراج رويال بلازا - أمام حدائق المنتزة),"1,850,000",المنتزة (أبراج رويال بلازا - أمام حدائق المنتزة),145,متر²,3,2
3880626,شقة للبيع 140م المنتزة (أبراج الحلواني أمام حدائق المنتزة)  /2,"3,000,000",أمام حدائق المنتزة,140,متر²,2,2
3833553,شقة للبيع  TMZ7135 في المنتزة - 145 م  – بالقرب من المنتزة,"2,800,000",منتزه,145,متر²,3,1
3954766,شقة للبيع 140 م المنتزه ( شارع الملك امام حدائق المنتزه ),"3,000,000",المنتزه شارع الملك,140,متر²,2,2
3858502,شقة للبيع في الاسكندرية في  المنتزة الترا سوبر لوكس,"1,750,000",شارع الملك المنتزة,140,متر²,3,1
4100914,فرصة العمر شقة مميزة بكمبوند رائع بالمربع الذهبي,"1,050,000",شارع توريل من شارع مصطفى كامل بجوار البنك الاهلي,130,متر²,3,1
4059912,مجمع مرسيليا فلورنس المنتزه - شارع الملك,"2,250,000",شارع الملك تقاطع الحرمين,155,متر²,3,2
4052339,شقة للبيع 115م بمجمع الضباط المحاربين القدماء بالمنتزه ثالث,"700,000",ش مصطفي كامل بالعماروه بجوار قسم المنتزة ثالث بالإسكندرية,115,متر²,3,1
3952093,امتلك وحدتك السكنيه في ارقي احياء الاسكندريه??.,"1,800,000",شارع الملك، المنتزه,145,متر²,3,1
4034959,شقة للبيع تشطيب سوبر لوكس قريبه من ابراج مارسيليا بالمنتزة,"1,750,000",شارع الملك المنتزة,140,متر²,3,1
4001337,شقه بابراج مصر للتعمير,"900,000",ملك حفني، المنتزه,80,متر²,2,1
3997507,505 شارع الجيش محمد نجيب,"1,600,000",ميدان محمد نجيب، المنتزه,90,متر²,2,2
3868596,على شارع الملك حفنى,"1,750,000",المنتزة شارع الملك حفنى السياحى,120,متر²,3,2
3827637,شقة  للبيع 100 م المنتزة (شيراتون المنتزة) (mo sa),"1,300,000",شيراتون المنتزة,100,متر²,3,1
3843726,شقه بكمباوند سيسيليا,"950,000",شارع الملك حى منتزه ثاني الاسكندرية,150,متر²,3,1
4132862,الشقة ع المفتاح ، يعني مش ناقصها حاجة ،لعشاق التميز والنضافة,"750,000",الاسكندريه المنتزه,100,متر²,2,1
4129117,شقه تمليك 160 م علي البحر المنتزة,"25,000,000","المنتزه, الإسكندرية",160,متر²,3,3
4127948,شقة للبيع بالاسكندرية المنتزة 148متر,"1,800,000",الاسكندرية المنتزة,148,متر²,3,2
4129129,شقه لقطه 141 م بشارع الملك المنتزه,"1,250,000","المنتزه, الإسكندرية",141,متر²,3,2
4123227,شقه ١٤٠ متر للبيع,"3,250,000",المنتزه,140,متر²,3,2
4122403,بالقرب من البحر والمنتزة 3 دقائق من المعمورة وكارفور المنتزه,"2,300,000",منتزه,170,متر²,3,3
4122412,شقه تشطيب سوبر لوكس شارع ١٦ ملك,"850,000",منتزه,110,متر²,3,1
4120471,شقه 175 م في المنتزه,"1,890,000","المنتزه, الإسكندرية",175,متر²,3,2
4095542,شقه للبيع فيو المنتزه  ١٤٥ متر,"2,600,000",المنتزه كمباوند رويال بلازا,145,متر²,3,1
4096727,شقة للبيع 75 متر,"270,000",الاسكندريه المندره,75,متر²,2,1
4073642,شقه للبيع,"1,500,000",الاسكندريه  بكمباوند سيسيليا شارع الملك الرئيسي المنتزه,150,متر²,3,2
4063150,شفه في كومبوند مارسيليا فلورنس المنتزه المتكون من عده ابراج تقع الشقه في الدور ا,"2,240,000",المنتزه,160,متر²,3,3
4052805,شقة للبيع في المنتزه شارع الجمعية,"1,500,000",المنتزه شارع الجمعية,200,متر²,3,1
4061939,شقه ١٤٥ متر المنتزه,"2,600,000",المنتزه كمباوند رويال بلازا,145,متر²,3,1
4034396,شقة لقطة بحري مميزة جداً في كومبوند رويال بلازا المنتزة 150م,"2,000,000",الاسكندرية المندره,150,متر²,3,2
4035214,شقة للبيع بالاسكندرية المنتزة  150 متر,"1,250,000",الاسكندرية المنتزة,150,متر²,3,1
4026053,أبراج رويال بلازا تطل مباشرة على قصر المنتزه  -,"1,900,000",المنتزه,140,متر²,2,2
4026049,شقة مساحة ١٥٠ متر ابراج الزهور الأوقاف,"1,200,000",المنتزه,150,متر²,3,1
4013741,شقة للبيع بالمنتزة,"750,000",المنتزة,85,متر²,2,1
4039609,شقة تشطيب سوبر لوكس الدور الخامس ، اسانسير ،,"550,000",المنتزه,110,متر²,2,1
4039469,للبيع شقه في المنتزة فيو,"2,600,000",ي المنتزة فيو المنتزة والبحر بكومباوند رويال بلازا,145,متر²,3,1
4011201,شقة للبيع بالاسكندرية المنتزة 100 متر,"900,000",الاسكندرية المنتزة,100,متر²,2,1
4032519,شقة للبيع بالاسكندرية المنتزة 150 متر,"2,000,000",الاسكندرية المنتزة,150,متر²,3,2
4024661,شقة لقطة بحري مميزة جداً في كومبوند رويال بلازا المنتزة 150م,"2,000,000",الاسكندرية المنتزه,150,متر²,3,2
4000830,شقة للبيع مساحة 118 متر في الاسكندرية,"4,500,000",المنتزة-الاسكندرية,118,متر²,2,1
4000525,شقة سوبر لوكس للبيع ثاني نمرة من البحر خلف شيراتون المنتزة,"3,300,000",المندرة-اسكندرية,145,متر²,3,2
4026056,شق فى مساكن الحرمين بجوار المندره,"220,000",المنتزه,60,متر²,2,1
4011397,للبيع شقه في المنتزة فيو,"2,600,000",المنتزة فيو المنتزة والبحر بكومباوند رويال بلازا,145,متر²,3,1
3984037,شقة للبيع بالاسكندرية المنتزة 90 متر,"1,100,000",الاسكندرية المنتزة,90,متر²,2,1
3960441,للبيع بالاسكندرية شقة 3 غرف و ريسبشن قطعتين,"1,750,000",المنتزه,100,متر²,3,1
3976905,شقه لقطه مساحه 125 متر. تشطيب فاخر حارس . اسانسير.ارض الفضالي دور عاشر,"850,000","المنتزة , الاسكندرية",125,متر²,3,1
3976820,شقق 220 متر² للبيع فى المنتزه,"2,900,000",الإسكندرية,220,متر²,3,3
3969675,شقه لقطه وممتازه في الفضالي مساحه 130 متر فاتحه علي شارعين,"700,000","المنتزه, الإسكندرية",125,متر²,3,1
3958567,شقة 120متر ريسبشن كبير أربع قطع وغرفتين نوم،,"885,000",المنتزه,120,متر²,2,1
3955094,المساحه 120 متر  من غير الفرش,"1,300,000",مندرة,120,متر²,3,1
3924673,للبيع دور تجاري في المنتزة شارع الجمعية مساحة 330 متر مقسوم شقتين مكتب كبير فخم,"3,500,000",المنتزه,330,متر²,6,1
4063157,للبيع - شقق 80 متر² سوبر لوكس,"295,000",المنتزه,80,متر²,3,1
3941730,شقه للبيع فيوو بحر تري المنتزة بالكامل,"2,000,000",شارع الملك امام المنتزة المندرة,100,متر²,3,1
3920320,للبيع شقه في المنتزة,"2,600,000",لمنتزة فيو المنتزة والبحر بكومباوند رويال بلازا,145,متر²,3,2
3918408,شقه  للبيع المنتزه شارع  الجمعيه,"300,000",الاسكندريه _ المنتزه,80,متر²,3,1
3912204,شقة  للبيع 125م,"1,700,000",المنتزه,125,متر²,2,1
3931912,شقه للبيع في المنتزه,"1,000,000",المنتزه,150,متر²,3,1
3919813,شقه ١٧٥م٢ للبيع المنتزة,"1,750,000","المنتزة , الاسكندرية",175,متر²,3,3
3874859,شقه بشارع الملك كمبوند سيسليا فيو مفتوح رائع يوجد,"1,750,000",الاسكندريه المنتزه,180,متر²,3,2
3895918,شقة مساحة ١٤٠ متر للبيع بمنطقة راقية و أفضل موقع بالمنتزه أبراج رويال,"1,900,000",المنتزه,140,متر²,2,2
3876800,شقة 135 م ابراج الرويال بلازا,"1,750,000",الاسكندريه المنتزه,135,متر²,3,2
3876809,شقة للبيع - المنتزة - اسكندرية80 متر,"780,000",الاسكندريه المنتزه,80,متر²,2,1
3874839,شقة للبيع بالإسكندرية120 متر,"850,000",الاسكندريه المنتزه,120,متر²,2,1
3874424,شقه امام المنتزه  الدور الخامس ٢١٠ متر صافى ٤ غرف نوم ٣ حمامات,"3,900,000",الاسكندريه المنتزه,210,متر²,4,3
3827539,للبيع شقه في المنتزة,"2,600,000",فيو المنتزة والبحر بكومباوند رويال بلازا,145,متر²,3,1
3820286,شقه ١٧٣ متر الدور الرابع كومباوند سيسيليا امام اولاد رجب شارع الملك,"1,500,000",اسكندريه\المنتزه\شارع الملك,173,متر²,4,2
4018362,لشقه للبيع,"2,200,000",محمد نجيب,191,متر²,3,2
4006042,شقة 160م للبيع,"2,240,000",شارع المالك,160,متر²,3,3
3993551,شقة بمشروع أبراج سيتي لايت بالمنتزه - الإسكندرية - برج ٨ شقه 702,"1,800,000",المنتزه,150,متر²,3,2
3940807,شقه للبيع لظروف خاصه والسعر لقطه,"2,500,000",الاسكندريه اول شارع الملك المنتزه بجوار كارفور وتطل علي البحر وحدائق وقصر المنتزه,140,متر²,3,1
3940642,شقه للبيع لظروف  خاصه والسعر لقطه,"2,500,000",لاسكندريه اول شارع الملك المنتزه بجوار كارفور وتطل علي البحر وحدائق وقصر المنتزه,140,متر²,3,1
3924688,شقة تمليك من المالك مباشرة والملك لله وشكرا لله إضغط ليظهر الرقم..,"1,350,000",المنتزه,165,متر²,3,1
3837004,لشقه للبيع,"900,000",المنتزه,125,متر²,3,2
3821417,لشقه للبيع,"325,000",المنتزه,85,متر²,2,1
4040169,شقه مميزه ومرررخصه بكمباوند مارسيليا فلورنس المنتزه بالإسكندرية (عيش ملك ),"2,550,000",المنتزة-الاسكندرية,170,متر²,4,2
4039647,شقه مميزه في برج فاروق بكمبوند مارسيليا فلورنس المنتزه ،,"2,550,000",المنتزه,170,متر²,4,2
4026052,٩٥ متر دور تالت ٣ حجرات حمام مطبخ كبير كامله المرافق,"360,000",المنتزه,95,متر²,3,1
4026084,للبيع بالاسكندرية شقة ١٦٠ متر بالدور ١٧ البرج ٢١ دور شارع أبراج شيراتون المنتزه,"1,000,000",الاسكندريه المنتزه,160,متر²,3,2
4024956,من المالك بدون عمولات شقة لقطة بحري مميزة جداً في كومبوند رويال بلازا المنتزة,"2,000,000",الاسكندريه المنتزه,150,متر²,3,2
3991370,شقة للبيع ١٣٥ متر الأسكندرية عالبحر بجوار شيراتون المنترة,"3,105,000","المندرة, الإسكندرية",135,متر²,2,2
3990584,شقه ١٦٧م كمبوند جرين فيو المنتزه عمارات الامن العام شارع الملك,"1,800,000",المنتزه,167,متر²,3,2
3979506,شقة تري المنتزة والبحر من المالك,"500,000",المنتزة-الاسكندرية,85,متر²,2,1
3974531,شقه للبيع  سكني / اداري بالنبوي المهندس اول ش ٣٠ الجديد المنتزه اليجانس E عمارة,"680,000",الاسكندريه - المنتزه,120,متر²,3,1
3972067,للبيع المنتزة رويال بلازا,"1,000,000",المنتزه,105,متر²,2,1
3966531,شقة للبيع بالاسكندرية المنتزة 140 متر,"1,300,000",الاسكندرية المنتزة,140,متر²,3,1
3900671,شقه تمليك للبيع في المنتزه الحرمين,"155,000",اسكندريه المنتزه,85,متر²,2,1
3876857,شقه للبيع شارع الحاجه ظريفه المنتزه  مساحتها ٦٥ متر متشطبه سيراميك غرفتين وصاله,"190,000",اسكندريه \المنتزه\شارع الحاجه ظريفه المنتزه الحرمين متفرع من الملك حفني,65,متر²,2,1
3874849,شقه للبيع 105 متر,"1,700,000",الاسكندريه المنتزه,105,متر²,2,2
3847859,شقة للبيع تانى نمره من ملك حنفى,"370,000",تانى نمره من ملك حنفى,96,متر²,2,1
3828164,شقة  للبيع 85م,"165,000",المنتزه_الحرمين,85,متر²,2,1
