id,title,price,location,size,size_unit,bedrooms,bathrooms
3990753,شقتك بفيو مفتوح130م بمشروع المنتزه اليجانس كامله التشطيب,"1,300,000",شارع نبوي المهندس، المندرة,130,متر²,3,1
4126844,شقه مرخصه للبيع,"2,226,000",المندره : ش النبوي المهندس كومباوند الزهور امام كليه الدراسات الاسلاميه للبنات,226,متر²,7,2
4124504,شقه للبيع بسعر مغري,"800,000",٣ ش البزار متفرع من عبدالعليم محمود متفرع من جمال عبد الناصر المندره بحري,90,متر²,2,1
4108670,شقة ١٤٠ متر بالمندرة شارع رئيسي,"1,000,000",برج جوهرة المهندس بشارع النبوي المهندس بالمندرة,140,متر²,3,2
4100255,روف للبيع المندره 350متر مطلات مفتوحه وبرح شيك – سعر لقطه,"2,250,000",روف للبيع المندره 350متر مطلات مفتوحه وبرح شيك – سعر لقطه,350,متر²,3,1
4095181,"شقة للبيع 105 م المندرة (ش جمال عبد الناصر) - 1,000,000 ج كاش","1,000,000",Gamal Abdel Nasser St.، El Mandara,105,متر²,2,2
4069462,المندرة,"2,500,000",المندرة بالقرب من البحر,375,متر²,3,2
4072846,شقة للبيع 150 م  المندرة  (على البحر مباشرة ),"4,250,000",المندرة  (على البحر مباشرة ),150,متر²,3,2
4094531,المندرة شقة للبيع  125 متر,"1,650,000",المندرة  شارع جمال عبد الناصر رئيسي,125,متر²,2,2
3968891,شقة للبيع 165 م المندرة (خطوات من الشيراتون),"2,300,000",المندرة شارع جمال عبد الناصر خطوات من الشيرتون,165,متر²,3,2
3855817,المندرة دوبلكس للبيع,"10,000,000",طريق الجيش، المندرة,620,متر²,1,1
4029701,شقة للبيع في المندرة - 170 متر – خامس نمرة من البحر  TMZ7269,"2,500,000",المندرة,170,متر²,2,2
4021153,شقة للبيع 150م بــــ المندرة شارع جمال عبد النـــــاصر (بالاسكندرية),"2,000,000",المندرة  شارع جمال عبد الناصر,150,متر²,3,2
3906391,شقة للبيع  - المندرة sk- مساحة 310 متر,"3,550,000",شقق للبيع بالسكندريه  المندرة sk- مساحة 310 متر,310,متر²,5,2
3911374,فيلا دوبلكس  للبيع على البحر مباشرة بالأسكندرية  مساحه 610 متر,"10,000,000",المندره علي البحر عند دوار جحا,610,متر²,5,4
3947942,شقة للبيع 220م بــــ المندره جمال عبد النــاصر بحري (بالاسكندرية),"2,000,000",المندرة بحري شارع جمال عبد الناصر,220,متر²,2,2
3942995,دور كامل سوبر لوكس فى شارع جمال عبد الناصر,"2,000,000",شارع جمال عبد الناصر، المندرة,200,متر²,4,2
3909864,شقة للبيع 200 م بـــــ المندرة ثاني نمرة من البحر (بالاسكندرية),"2,350,000",المندرة تاني نمرة من البحر,200,متر²,3,2
3819621,للبيع شقة بالمندرة 132م,"1,350,000",Haret No 1، El Mandara,132,متر²,3,2
3929431,شقه للبيع 200 م بالمندره عبد الناصر الرئيسي – رخصه,"1,800,000",المندره شارع جمال عبد الناصر الرئيسي,200,متر²,4,2
3982481,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  سان ستيفانو,"3,200,000",سان ستيفانو,150,متر²,3,2
3915300,شقة  للبيع  - المندرة as  -  مساحة 125 متر,"1,700,000",شقق للبيع بالاسكندريه   المندرة as  -  مساحة 125 متر,125,متر²,2,2
4088099,المندره,"1,550,000",المندرة بالقرب من البحر,147,متر²,3,1
4108116,شقق 120 متر² للبيع فى شارع نبوي المهندس,"750,000",شارع نبوي المهندس، المندرة,120,متر²,2,1
4118245,شقة استوديو للبيع,"340,000",المندرة، شارع النبوي المهندس، كمبوند مينا فلاورز,48,متر²,1,1
