id,title,price,location,size,size_unit,bedrooms,bathrooms
4103175,شقة للبيع سوبر لوكس المنشية,"1,250,000",المنشية شارع القايد جوهر,117,متر²,3,1
4119434,للبيع - شقق 120 متر² لوكس,"750,000",شارع النصر، المنشية,120,متر²,2,1
4086756,شقة للبيع في المنشية - 120 متر TMZ7298,"1,050,000",المنشية,120,متر²,2,1
4010125,شقة للبيع في منشية شارع سبع بنات,"1,450,000",منشية شارع سبع بنات,145,متر²,3,2
4035045,شقة للبيع بالمنشية تاني نمره من البحر و خطوات لمحطة الرمل,"3,200,000",منشية,175,متر²,3,2
3990944,شقق super_lux فى شارع الباب الاخضر,"470,000",شارع الباب الاخضر، المنشية,90,متر²,1,1
4026889,شقه بين بحري و المنشيه  اول نمره بعد البحر علي ترام قهوة فاروق تري البحر جانبي,"1,450,000",قهوة فاروق,115,متر²,4,1
3893980,للبيع شقة  135 م ش الجزائر – المنشيه – الاسكندريه,"850,000",المنشيه,135,متر²,2,1
3834104,شقة للبيع 130 م المنشيه (شارع القويرى),"1,400,000",المنشيه (شارع القويرى),130,متر²,3,1
4133100,للبيع 110 متر تشطيب سوبر لوكس الدور 9 والعمارة 16 دور ريسبيشن 3قطع 2 غرف  2حمام,"1,500,000",اسكندريه /المنشيه/شارع فرنسا,110,متر²,3,2
4117465,شقة للبيع سوبر لوكس المنشية شارع القايد الجوهر,"1,250,000",المنشية شارع القايد الجوهر,117,متر²,3,1
4118993,شقه للبيع,"1,350,000",الاسكندريه المنشيه شارع فرنسا,125,متر²,4,1
4097193,شقة للبيع فى الفراهدة,"260,000",الفراهدة,75,متر²,2,1
4096002,شقه للبيع 110 متر,"850,000",الاسكندرية - المنشية - شارع الجزائر,110,متر²,4,1
4093339,شقه للبيع في المنشيه شارع السكه الجديده,"540,000",المنشيه شارع السكه الجديده,90,متر²,3,1
4092861,شقة للبيع فى الفراهدة,"280,000",الفراهدة,75,متر²,2,1
4090341,شقه للبيع في المنشيه شارع السكه الجديده,"540,000",المنشيه,90,متر²,3,1
4073750,شقق للبيع 150 م ارخص سعر فى مصر باعلى جوده المنشية,"650,000","المنشية , الاسكندرية",150,متر²,2,1
4110168,شقه للبيع مساحة 100 متر 3 اوض وصالة  3 عدادات   الدور الخامس قبل الأخير,"520,000",اسكندريه /المنشيه/ شارع السكه الجديده,100,متر²,3,1
4069460,للبيع شقة بالمنشية,"850,000",المنشية,120,متر²,3,1
4059570,شقه للبيع 130 متر,"1,500,000",الاسكندرية - المنشية - بجوار فلورينا,130,متر²,3,1
4036648,للبيع شقة بالمنشية ش الجزائر,"850,000",المنشية ش الجزائر,110,متر²,3,1
4026535,شقة للبيع ف المنشية,"950,000",المنشية ش الجزائر,110,متر²,3,1
4026286,شقة بالمنشية إسكندرية,"950,000",بالمنشية إسكندرية,120,متر²,3,1
3932567,شقه للبيع في المنشيه,"1,350,000",المنشيه ( السبع بنات - شارع علي بك الكبير - برج تبارك ),170,متر²,5,2
3928130,شقة للبيع بالمنشية,"2,250,000",الاسكندرية,207,متر²,5,2
3947753,شقه بالمنشيه 250 م تشطيب سوبر لوكس بالدور الثالث بميدان سانت كاترين,"3,000,000","المنشية , الاسكندرية",250,متر²,6,2
4030186,شقة للبيع بالاسكندرية المنشية 110 متر,"775,000",الاسكندرية المنشية,110,متر²,3,1
4013974,للبيع شقة بالمنشية ش الجزائر,"850,000",المنشية ش الجزائر,120,متر²,3,1
3941035,شقه للبيع بوسط البلد في المنشيه كامله المرافق مباني تسعينات,"850,000",الاسكندريه المنشيه,135,متر²,2,1
3931248,شقه للبيع المنشية الشارع الجديد,"400,000",المنشية الشارع الجديد,90,متر²,2,1
3910881,للبيع شقة في المنشية,"750,000",شارع زاويه حسين نصر - المنشيه,130,متر²,3,1
3922110,شقه للبيع سوبر لوكس  شارع البصل,"380,000",شارع البصل,80,متر²,2,1
3870343,للبيع شقة او مكتب بالمنشية شارع النصر عند باب 10,"2,000,000",المنشية-اسكندرية,200,متر²,3,2
4073720,شقه في المنشية مساحة 90م مواقع متميز,"480,000","المنشية , الاسكندرية",90,متر²,3,1
4022213,شقه للبيع,"400,000",الاسكندريه  المنشيه شارع السكه الجديده عمومي عماره كرم جابر الجيم,85,متر²,2,1
4014041,شقة للبيع شارع السكه الجديده في  المنشية,"400,000",شارع السكه الجديده في المنشية,80,متر²,2,1
3880974,شقتين مفتوحين علي بعض للبيع,"470,000",المنشية  شارع زاوية حسين نصر متفرع من السبع بنات,127,متر²,3,1
3974275,شقه للبيع في المنشيه غرفتين وريسيبشن قطعتين,"400,000",المنشيه,100,متر²,2,1
3951510,شقه للبيع 90متر تشطيب سوبر لوكس,"800,000",المنشية,90,متر²,3,1
