id,title,price,location,size,size_unit,bedrooms,bathrooms
4116660,شقة للبيع 80متر استلام فوري في الهانوفيل,"340,000",الهانوفيل,80,متر²,2,1
4100465,البيطاش الرئيسي,"1,650,000",البيطاش الرئسي,290,متر²,4,3
4027869,شقة 140 متر بشارع الهانوفيل الرئيسي,"960,000",العجمى. شارع الهانوفيل الرئيسي. الإسكندرية,140,متر²,3,2
4127827,شقة قريبة من البحر,"230,000",41 شارع حسين والى - الجمعية الهانوفيل,60,متر²,2,1
3882161,العجمى - الهانوفيل- زمام العجمى البحريه قسم الدخيله,"450,000",شارع عمرو بن العاصى - الهانوفيل - الدخيله - الاسكندريه,100,متر²,3,1
4035562,شقه سكنيه للبيع,"550,000",شارع طرابلس متفرع من قصر القويرى الهانوفيل بجوار بيم ماركت,110,متر²,3,1
3951643,شقه للبيع في الهانوفيل,"350,000",الهانوفيل الاسكندريه,75,متر²,2,1
4090501,شقة للبيع بالهانوفيل,"600,000",شارع الهانوفيل الرئيسي امام قصر القواري برج الصفا,164,متر²,2,2
4079410,شقة دور ارضى للبيع,"350,000",اخر شارع شركة الكهرباء امام سوق الهانوفيل ،او ش الكومى امام فرن الحطابى,90,متر²,2,1
4080331,اخيرا فيك تمتلك شقتك بالعجمي باقل الاسعار علي اطول فترات ممكنه,"220,000",الاسكندريه العجمي,90,متر²,2,1
4093528,فرصه لدواعى السفر  شقه  دوبلكس بشارع الخلفاء الهانوفيل,"950,000",شارع الخلفاء للراشدين الهانوفيل دقائق من الشارع الرئيسى,300,متر²,5,3
4060937,شقة للبيع بسعر لقطة وتشطيب الترا سوبر لوكس جاهزة للسكن,"650,000",شارع قصر القويري، الهانوفيل,120,متر²,3,1
3943546,امام مدارس ابو يوسف الخاصه,"380,000",ابويوسف العجمي,95,متر²,2,1
3940989,شقة للبيع شارع العوامي - الهانوفيل - العجمي,"250,000",شارع روفه العوامي، الهانوفيل  العجمي,85,متر²,3,1
4059672,شقة للبيع تشطيب سوبر وكس,"650,000",شارع قصر القويري، الهانوفيل,120,متر²,3,1
3801091,الهانوفيل العجمي شارع عبد العال الصغير متفرع من شارع الدولفين,"250,000",شارع النقشبندي، الهانوفيل,70,متر²,2,1
3824373,شقة شارع الفرن، بعد مستشفى فاطمة الزهراء القديمة,"250,000",العجمي البحري، العجمي,100,متر²,3,1
4019147,شقة 95م في شارع الخلفاء الهانوفيل,"200,000",شارع الخلفاء الهانوفيل,95,متر²,2,1
3894143,شقة للبيبع,"300,000",شارع عمر بن الخطاب، الهانوفيل,100,متر²,2,1
3824365,شارع الفرن، بعد مستشفى فاطمة الزهراء القديمة,"250,000",العجمي البحري، العجمي,100,متر²,3,1
3988989,ناصية داوود خطاب وناصية حسين والى ش الجمعية الهانوفيل العجمى الإسكندرية شقة للبيع,"350,000",شارع عمر بن الخطاب، الهانوفيل,75,متر²,2,1
3621861,شقق نصف تشطيب للبيع فى شارع الحديد والصلب,"410,000",شارع الحديد والصلب، الهانوفيل,120,متر²,3,1
4039546,شقة للبيع بالعجمي الهانوفيل,"500,000",العجمي الهانوفيل شارع السلام,110,متر²,3,1
4057647,35 شارع جمعه مفتاح ابويوسف شقة للبيع,"270,000",أبو يوسف، العجمي,90,متر²,5,1
4033705,الهانوفيل,"280,000",شارع الاصدقاء، الهانوفيل,90,متر²,2,1
4089691,شقة للبيع 80متر استلام فوري في الهانوفيل,"340,000",الهانوفيل شارع عمر بن الخطاب,80,متر²,2,1
3971494,شقة للبيع العجمى الهانوفيل,"300,000",شارع هيبه رمضان متفرع من عمر المختار,100,متر²,2,1
3892613,شقة تمليك للبيع,"240,000",شارع هيبه رمضان متفرع من عمر المختار,100,متر²,2,1
3862029,العجمى الهانوفيل بالاسكندرية شقة سوبر لوكس بحري,"450,000",الهانوفيل الشارع الرئيسي فوق فتح الله جملة ماركت,90,متر²,2,1
3938333,شقه ١٥٠ متر قريبة من البحر,"400,000",شارع المدينة المنورة، الهانوفيل,150,متر²,1,1
4062484,مساكن طلعت مصطفى الهانوفيل,"120,000",شارع عمر بن الخطاب، الهانوفيل,60,متر²,2,1
4062582,شقه للبيع في شارع مسجد سلام اول شارع الحنفيه,"160,000",شارع السلام، الهانوفيل,55,متر²,2,1
4029925,شقة 110م² مميزة في ريتش هوم,"250,000",ش. ريتش هوم الهانوفيل العجمي,110,متر²,2,1
4041212,ستوديو للبيع فى هانوفيل العجمى,"150,000",شارع عمر بن الخطاب هانوفيل العجمى,40,متر²,1,1
4020180,روف 175 متر بالاسكندرية للبيع بسعر لقطة,"150,000",شارع السلام من شارع الهانوفيل العجمي الاسكندرية,175,متر²,3,1
3993359,شقه للبيع فى شارع الفردى متفرع من الهانوفيل,"350,000",اخر شارع محمد الفردى ، الهانوفيل,140,متر²,3,1
3968073,شقه  بشارع ابو بكر الصديق تاني عماره من الشارع,"300,000",العجمي البحري، العجمي,120,متر²,10,1
3879699,شقة بعمارات النقل و الهندسة - الهانوفيل ش الخلفاء الراشدين امام بنك مصر,"200,000",شارع الخلفاء الراشدين امام بنك مصر - الهانوفيل,90,متر²,2,1
4041299,شقة مصيفية تشطيب لوكس للمعاينة ثالث إيام العيد خلف نادي الشرطة بينها و بين البحر ٥ دقايق فقط,"210,000",شارع عمر بن الخطاب، الهانوفيل,70,متر²,1,1
3981929,شقة للبيع,"320,000",العجمى ابو يوسف,85,متر²,2,1
3941569,شقة مفروشة للبيع بالهانوفيل,"240,000",خلف شارع مدرسة أبو يوسف، الهانوفيل,62,متر²,1,1
3949790,للبيع - شقق 100 متر² سوبر لوكس,"300,000",شارع جابر حافظ، الهانوفيل,100,متر²,3,1
3933837,شقة للبيع في الهانوفيل بدون تشطيب,"160,000",الهانوفيل في العجمي آخر شارع القويري,100,متر²,2,1
3801150,شقه بموقع مميز قريبه من جميع الخدمات والمواصلات,"300,000",شارع الحديد والصلب، الهانوفيل,90,متر²,2,1
4031827,شقة للبيع بالهانوفيل,"275,000",شارع الفاروق عمر الهانوفيل,135,متر²,3,1
3987408,لقطة للبيع بعماره الشيراتون شارع النقطه ستديو علي البحر مباشرة,"130,000",شارع عمر بن الخطاب، الهانوفيل,50,متر²,1,1
3970080,شقة للبيع بالعجمى (هانوفيل) للمقبلين على الزواج و تصلح شقة مصيف,"150,000","شارع محمد متولي الشعراوي, الهانوفيل",90,متر²,2,1
3863996,شقة مصيفية 70م تقريبا (تصلح سكنى) بزهراء الهانوفيل,"170,000",شارع الاصدقاء - الزهراء - الهانوفيل - العجمى,70,متر²,2,1
3993630,العجمى زهراء الهانوفيل شارع الاصدقاء عماره رومانس وان الدور التالت شقه ٣٠٩,"150,000",شارع الاصدقاء، الهانوفيل,55,متر²,1,1
3879276,العجمى الهانوفيل شارع الجمعية شقة للبيع,"200,000",العجمي البحري، العجمي,90,متر²,2,1
4080223,هلا اخيرا فيك تمتلك شقتك بالعجمي,"220,000",الاسكندريه العجمي,90,متر²,2,1
3894141,العجمي الحديد والصلب ابو يوسف شارع الحديد والصلب آخر الشارع يمين عند مسجد فاطمه النبوية,"375,000",شارع الحديد والصلب، الهانوفيل,155,متر²,1,1
3936950,الهانوفيل اخر شارع قصر القويري,"130,000",الهانوفيل  اخر شارع قصر القويري,100,متر²,3,1
3859246,هانوفيل شارع الجمعيه برج مكه الاسكندريه,"220,000",شارع عمر بن الخطاب، الهانوفيل,75,متر²,8,1
4013396,شقة للبيع 80متر استلام فوري في الهانوفيل,"340,000",الهانوفيل عمر بن الخطاب,80,متر²,2,1
4013422,شقة مميزة ناصية 85 متر,"265,000",الهانوفيل,85,متر²,2,1
4133146,شقة للبيع 110 متر,"310,000",الاسكندرية - الهانوفيل - وسط شارع ريتش هوم,110,متر²,3,1
4133074,شقة للبيع 120متر,"500,000",الاسكندرية -  العجمي - الهانوفيل,120,متر²,3,1
4133070,شقة للبيع 130 متر,"260,000",الاسكندرية -  العجمي - الهانوفيل - شارع السلام,130,متر²,3,1
4132621,رووف للبيع بالاسكندرية الهانوفيل 120متر,"230,000",الاسكندرية الهانوفيل,120,متر²,3,1
4133141,شقة للبيع 100 متر,"310,000",الاسكندرية -  الهانوفيل - اخر الحديد والصلب,100,متر²,3,1
4132988,شقة  للبيع 90م,"350,000",الهانوفيل,90,متر²,2,1
4133461,شقه للبيع امتداد شارع الحديد والصلب ابويوسف,"220,000",شارع الحديد والصلب,125,متر²,3,1
4133148,شقة للبيع 80 متر,"210,000",الاسكندرية - الهانوفيل - شارع بنزينة السلام,80,متر²,2,1
4133147,شقة للبيع 120متر,"350,000",الاسكندرية - الهانوفيل - شارع ورشة البلاط,120,متر²,3,1
4133145,شقة للبيع 75 متر,"225,000",الاسكندرية -  العجمي - الهانوفيل - الحديد والصلب,75,متر²,2,1
4133091,شقة للبيع 120متر,"300,000",الاسكندرية - تالت نمرة من اسكندرية مطروح قبل النموذجية بشارعين,120,متر²,3,1
4133080,شقة للبيع 120متر,"400,000",الاسكندرية - تاني عمارة من الهانوفيل الرئيسي اول ش روزيتا امام ش مستشفي ابو هندية,120,متر²,3,2
4133061,شقة للبيع 115 متر,"300,000",الاسكندرية -  العجمي - الهانوفيل - شارع رضوان,115,متر²,3,1
4133054,شقة للبيع 120متر,"300,000",الاسكندرية - الهانوفيل - شارع الخلفاء الراشيدين,120,متر²,2,1
4132991,شقة  للبيع 90م,"220,000",الهانوفيل,90,متر²,2,1
4132984,شقة  للبيع 150م,"350,000",الهانوفيل,150,متر²,4,1
4132980,شقة  للبيع 120م,"320,000",الهانوفيل,120,متر²,3,1
4132804,شقة للبيع بالاسكندرية الهانوفيل 100 متر,"320,000",الاسكندرية الهانوفيل,100,متر²,3,1
4132632,شقة للبيع بالاسكندرية الهانوفيل 90 متر,"280,000",الاسكندرية الهانوفيل,90,متر²,3,1
4132084,شقة  للبيع 170م,"500,000",العجمي_شارع الاصدقاء,170,متر²,3,2
4131940,شقه لقطه للبيع,"490,000",اسكندريه الهانوفيل,110,متر²,2,1
4131877,شقه من المالك مباشرا,"350,000",اسكندريه الهانوفيل,90,متر²,2,1
