id,title,price,location,size,size_unit,bedrooms,bathrooms
3871006,اول شارع الجمهوريه إمام شركه الورق تقاطع شارع السوق قبل المحور,"950,000",شارع محطة السوق، باكوس,115,متر²,3,1
3872031,شقق فى شارع محطة السوق 115 متر² سوبر لوكس للبيع,"800,000",شارع محطة السوق، باكوس,115,متر²,1,1
3871097,باكوس شقة للبيع,"950,000",شارع محطة السوق، باكوس,115,متر²,3,1
4119725,شقة للبيع 285 م فلمنج على الترام,"2,200,000",فلمنج على الترام,285,متر²,3,1
3926751,فرصه لن تتكرر شقه للبيع ٧٥ متر صافي غرفتين وريسبشن قطعتين كبير ب ٢٧٥الف فقط,"275,000",41 شارع دكتور عبد المنعم ماهر (العقصه)باكوس,75,متر²,2,1
4069004,باكوس شقة للبيع,"600,000",باكوس شارع مسلم ابن الوليد,75,متر²,2,1
4128329,شقة 110م,"725,000",بالقرب من محطة ترام صفر شارع الثقيفة,110,متر²,3,1
4121501,شارع ابو حيان,"500,000",شارع أبو حيان، باكوس,85,متر²,2,1
4120772,شارع ابو حيان متفرع من شارع سينما ليلى,"500,000",شارع ابو حيان، باكوس,85,متر²,1,1
4063516,شقق لوكس فى شارع الزمخشري,"1,200,000",شارع الزمخشري، باكوس,160,متر²,4,3
4069478,شقة للبيع 130 متر,"750,000",الإسكندرية. باكوس شارع الكرامه متفرع من شارع عشرين.,130,متر²,3,1
4012118,١١٤ شارع الفتح باكوس عالترام مباشرة فوق صيدلية مرعي,"1,200,000",باكوس,180,متر²,3,2
3894159,شقة للبيع بباكوس ش20 ارض حجر,"350,000",خلف 84 ش 20 من شارع محطة السوق اول شارع بأرض حجر من ش20 اعلى صيدلية د- فتحية,90,متر²,3,1
4019022,شقة للبيع بثاني نمرة من شارع سينما ليلى,"700,000",شارع حكيم باشا البوليس متفرع من شارع سينما ليلى,135,متر²,4,2
3884117,الوسطاء يمتنعون شقه في صفر للبيع,"400,000",صفر,70,متر²,2,1
4131579,شقه للبيع شارع 20,"550,000",باكوس,120,متر²,3,1
4131540,شقه للبيع  في وسط البلد  باكوس,"775,000",باكوس,130,متر²,3,1
4129207,شقه للبيع فى باكوس -شارع قطاوى بك,"350,000",باكوس,70,متر²,2,1
4124912,شقه للبيع باكوس آخر شارع بن غزالة,"300,000",باكوس,80,متر²,3,1
4124782,للبيع شقه شارع العقصه أمام المدرسه الازهريه,"500,000",باكوس,90,متر²,2,1
4124344,شقه للبيع تمليك,"440,000",الاسكندريه باكوس,85,متر²,2,1
4115456,شقه للبيع  جانبي شارع الزيت,"490,000",باكوس شارع الزيت,100,متر²,2,1
4115422,شقه للبيع  شارع ٢٠  باكوس,"440,000",باكوس,80,متر²,2,1
4123274,شقة للبيع بالاسكندرية باكوس 115متر,"350,000",الاسكندرية باكوس,115,متر²,3,1
4122090,شقه للبيع تانى نمره من شارع 20,"500,000",باكوس,85,متر²,2,1
4121867,-شقة سوبر لوكس للبيع-ش قطاوى بك-باكوس-خلف ش مصطفى كامل,"380,000",الاسكندريه باكوس,70,متر²,2,1
4121298,شقة للبيع ش عشرين,"750,000",ش عشرين,120,متر²,2,1
4121282,شقة للبيع في شارع حسن عبد الفتاح,"450,000",شارع حسن عبد الفتاح,85,متر²,2,1
4122659,شقه  دور ثالث سلم حوالي ١١٥ متر  ٣ غرف ورسبشن بها عداد نور وعداد مياه,"350,000",اسكندريه /باكوس من ش السينما/ ش الاخطل,115,متر²,3,1
4121421,شقه للبيع بباكوس آخر شارع بن غزالة,"300,000",باكوس,80,متر²,3,1
4120914,شقة للبيع بالهدايا,"1,500,000",الهدايا,120,متر²,2,2
4118865,شقة للبيع باكوس علي الترام مباشرة ١٥٠م,"800,000",الاسكندريه  باكوس علي الترام مباشرة,150,متر²,4,1
4116721,شقة للبيع بالهدايا,"1,500,000",الهدايا,120,متر²,2,2
4115821,شقة للايجار القديم بسعر مغرى جدا,"180,000",شارع العقصا,65,متر²,2,1
4115221,شقه للبيع في شارع عشرين علي العمومي  في باكوس,"680,000",شارع عشرين  باكوس,110,متر²,4,1
4115199,شقة للبيع صفر خلف شارع مصطفى كامل,"550,000",صفر خلف شارع مصطفى كامل,140,متر²,3,2
4121874,فرصه شقه عريس واقفه علي الفينش,"350,000",الاسكندريه باكوس,85,متر²,3,1
4115180,شقة للبيع  شارع. محمد الجزار. باكوس,"200,000",شارع. محمد الجزار. باكوس,75,متر²,3,1
4113404,شقة للبيع بالاسكندرية باكوس  115 متر,"600,000",الاسكندرية باكوس,115,متر²,3,2
4105585,للبيع شقة بباكوس 50 م متفرع من شارع السوق الرئيسي بمساكن ايكا بجانب صحة اسرة باك,"120,000",باكوس,50,متر²,1,1
4101604,شقه للبيع في باكوس شارع الخمارويه,"250,000",باكوس شارع الخمارويه,65,متر²,2,1
4097205,شقه للبيع شارع عبد المنعم ماهر,"270,000",باكوس,65,متر²,2,1
4097187,شقة سوبر لوكس للبيع شارع سينما ليلى,"975,000",شارع سينما ليلى,100,متر²,2,1
4093283,شقه للبيع كوبري الناموس,"175,000",كوبري الناموس,60,متر²,2,1
4093271,شقه للبيع  شارع سينما ليلي العمومي,"350,000",باكوس,65,متر²,2,1
4093266,شقه للبيع بشارع الترعه المردومه,"165,000",باكوس,70,متر²,2,1
4108184,شقه للبيع  قريبة من مصطفي كامل وشارع سينما ليلي,"400,000",باكوس,90,متر²,2,1
4088253,شقه للبيع في كوبري الناموس,"230,000",كوبري الناموس,75,متر²,2,1
4086649,شقه للبيع شارع صلاح الدين ميدان كوبري الناموس,"580,000",شارع صلاح الدين,120,متر²,3,1
4085210,شقه للبيع بباكوس على الفرش علطول,"250,000",بباكوس بحرى السكه متفرع من سينما ليالي  ش الخمراوى,70,متر²,2,1
4082476,شقه للبيع في باكوس,"750,000",باكوس فوق بخيت العطار,150,متر²,3,1
4082359,شقه للبيع الدور السادس,"150,000",الاسكندريه باكوس,50,متر²,2,1
4083620,شقة للبيع بالاسكندرية  عمارة جملة ماركت ش مصطفى كامل الرئيسي محطة ترام صفر باشا,"950,000",باكوس,147,متر²,3,1
4083535,شقة للبيع بالظاهرية اللي علي القطر,"140,000",اسكندريه - الظاهريه,60,متر²,2,1
4083531,شقة للبيع بالظاهرية,"300,000",الظاهرية,90,متر²,3,1
4081641,للبيع شقه جانبى من شارع مجمع المدارس,"300,000",شارع محمد حلمي باكوس,75,متر²,2,1
4077469,شقه للبيع,"380,000",الاسكندريه  بحى باكوس -شارع قطاوى بك- موازى لشارع الأسعاف ،وخلف شارع مصطفى كامل بشارعين-بين باكوس وصفر,70,متر²,2,1
4097418,فرصه لن تتكرر من المالك مباشره شقه للبيع تشطيب سوبر لوكس مرخصه  ريسبشن ٣ قطع ٢ ح,"820,000",باكوس,110,متر²,2,1
4079763,شقه للبيع في باكوس 70 م الشارع اللي اوله مكتبه علواني وبيتزا اسكندريه ش السنما,"250,000",الاسكندريه - باكوس,70,متر²,2,1
4079750,شقه للبيع من المالك مباشره  ٦٥متر غرفتين وصاله ومطبخ وحمام  عداد كهرباء بالكارت,"350,000",الاسكندريه - باكوس,65,متر²,2,2
4075618,شقه تمليك للبيع فى باكوس ، فى شارع جانبى متفرع من شارع سينما ليلا اول الشارع طأط,"400,000",الاسكندريه - باكوس,80,متر²,3,1
4076332,شقه للبيع 108شارع محطه سوق باكوس,"400,000",باكوس,75,متر²,2,1
4069660,شقه للبيع غرفتين ورسيبشن قطعتين وحمام ومطبخ وطرقه طويله وبلكونه مساحه الشقه 75م,"400,000",الاسكندريه - باكوس,75,متر²,2,1
4107726,شقه للبيع باكوس سوق ايكا شارع الغندور,"310,000",باكوس,100,متر²,3,1
4066939,شقه للبيع شارع عشرين,"500,000",شارع عشرين ش الزيت,100,متر²,3,1
4063225,شقه تمليك بكوبري  الناموس,"415,000",كوبري  الناموس  شارع السلام متفرع من شارع مكه,90,متر²,3,1
4064752,شقه للبيع شارع الصفا المروه متفرع من شارع عثمان محرم تاني نمره من العمومي ١١٥ مت,"640,000",الاسكندريه - باكوس,115,متر²,3,1
4075746,شقه شارع وابور الفولى  امتداد مجمع مدراس شارع عشرين خلف شارع ٥ دور ٥سلم ٢وصاله,"180,000",الاسكندريه - باكوس,55,متر²,2,1
4075747,شقه جانبى من شارع عشرين  ابراج يثرب برج وحارس مقيم واتحاد ملاك  دور اول علوى,"430,000",الاسكندريه - باكوس,80,متر²,2,1
4081647,شقه للبيع مربع باكوس شارع  20 أمام مجمع المدارس,"300,000",باكوس,80,متر²,2,1
4061198,شقة للبيع بباكوس ارض سليم اسكندر,"450,000",باكوس,125,متر²,2,1
4061031,شقة عمومي شارع المسرح بالطابق السابع 90متر غرفتين وريسبشن  برج وحارس واتحاد ملاك,"630,000",الاسكندريه - باكوس,90,متر²,2,1
4060997,شقه للبيع في باكوس شارع عشرين عند مجمع المدارس ناصيه الشارع ماركت اسلام,"450,000",الاسكندريه - باكوس,85,متر²,2,1
4075745,شقه جانبى من شارع مجمع المدارس  شارع عشرين  دور ٤سلم عمارة ٨ادوار,"300,000",الاسكندريه - باكوس,75,متر²,2,1
4079756,"شقة للبيع 80 متر الدور الرابع ""4""","300,000",الاسكندريه - باكوس,80,متر²,2,1
4059960,شقه للبيع في باكوس شارع عشرين,"450,000",باكوس,90,متر²,2,1
4059489,شقة للبيع بباكوس,"600,000",باكوس شارع الزمخشرى,90,متر²,2,1
4061223,شقة دور كامل للبيع بباكوس ارض سليم اسكندر,"450,000",باكوس ارض سليم اسكندر,125,متر²,2,1
4061074,شقة للبيع بباكوس ارض سليم اسكندر دور علي بعضه ١٢٥ متر,"450,000",الاسكندريه - باكوس,125,متر²,2,1
4097092,شقه للبيع بشارع الترعه المردومه,"165,000",شارع الترعه المردومه,70,متر²,2,1
4071521,شقه للبيع بشارع الفتح ترام باكوس قصاد النساجون الشرقيون الدور ١٤ تشطيب سوبر لوكس,"1,700,000",الاسكندريه - باكوس,155,متر²,3,2
4071528,شقة في باكوس وسط كل الخدمات بجانب مستشفي الهلال ٩٥ متر,"550,000",الاسكندريه - باكوس,95,متر²,2,1
4060131,شقه للبيع  باكوس -شارع قطاوى بك,"380,000",باكوس -شارع قطاوى بك,70,متر²,2,1
4057776,شقه عروسه متشطبة ٤٠ شارع الطيار احمد سعود,"350,000",الاسكندريه باكوس  ٤٠ شارع الطيار احمد سعود متفرع من شارع مصطفي كامل على اول سوق زعربانة,65,متر²,2,1
4054984,شقه للبيع غرفتين كبار وريسبشن قطعتين ومطبخ كبير وحمام كبير وكلها الوميتال,"450,000",اسكندريه / باكوس شارع عشرين عند مجمع المدارس ناصيه الشارع ماركت اسلام وعصائر الشافعي بجوار صيدليه الهجره تحت العماره محل ابو مهند,85,متر²,2,1
4071729,شقه للبيع بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,"600,000",شارع سيف,115,متر²,3,2
4056818,شقة للبيع بالاسكندرية باكوس 115 متر,"380,000",الاسكندرية باكوس,115,متر²,3,1
4071125,شقة للبيع بشارع الزيت منطقة باكوس,"490,000",شارع الزيت - باكوس,100,متر²,3,1
4052855,من المالك مباشر  شارع الباشا مول عند سامي للكترونيات  شقه دور خامس سلم ٢غ,"420,000",الاسكندريه - باكوس,100,متر²,2,1
4052848,شقة دوبلكس للبيع 175متر  باكوس أمام محطة القطار,"700,000",الاسكندريه - باكوس,175,متر²,4,2
4052841,شقة للبيع بالقرب من مزلقان الإذاعة ومحطة ترام باكوس وجميع الخدمات,"780,000",الاسكندريه - باكوس,120,متر²,2,1
4052823,شقة للبيع بباكوس شارع الزمخشرى للمتجه ناحية نقطة باكوس بالطابق الثالث عشر,"600,000",الاسكندريه - باكوس,120,متر²,2,1
4052523,شقه للبيع بمحطه ترام باكوس بجوار النساجون الشرقيون,"900,000",الاسكندريه - باكوس,120,متر²,2,1
4064877,شقه جانبى من شارع عشرين  خلف الصافى اللبن  دور اول علوى  ٢وريسبشن ٧٠متر ٣عدادت,"350,000",الاسكندريه - باكوس,70,متر²,2,1
4064878,شقه شارع لافيزون امام معمل الحلاوة دور تالت غرفتين وريسبشن 79م  عداد غاز خاص,"450,000",الاسكندريه - باكوس,79,متر²,2,1
4064893,شقه جانبى من شارع عثمان محرم  امتداد سليما ليلى امام كومبيوتر مصراوى  دور ٤ سلم,"400,000",الاسكندريه - باكوس,80,متر²,2,1
4064844,شقه جانبى من شارع لافيزون  خلف قهوة العشرى دور ١٥ اسانسير ليس اخير  ٣ غرف وريسبش,"675,000",الاسكندريه - باكوس,110,متر²,3,1
4064786,شقه باكوس ترام  بجوار النساجون الشرقيون دور ٣ اسانسير برج وحارس مقيم واتحاد ملاك,"875,000",الاسكندريه - باكوس,100,متر²,2,1
4064211,شقة للبيع ش نور الاسلام متفرع من ش 20 الشارع اللي في ضهر الصافي اللبان 80م,"350,000",الاسكندريه - باكوس,20,متر²,2,1
4052864,شقه ش احمد ابو سليمان رءيسي,"400,000",الاسكندريه - باكوس,95,متر²,2,1
4052857,من المالك مباشر  دور ثامن وليس الاخير ٣ غرفه وصاله وحمام ومطبخ كبير  سلم رخام,"260,000",الاسكندريه - باكوس,110,متر²,3,1
4052846,شقة للبيع بشارع الزيت منطقة باكوس بجوار مسجد السماحة المساحة/ ١٠٠متر,"490,000",الاسكندريه - باكوس,100,متر²,2,1
4064789,شقه باكوس شارع عثمان محرم  دور ٥سلم ٣ غرف وريسبشن  ٩٠ متر ٣عدادات  مطلوب ٥٢٠,"520,000",الاسكندريه - باكوس,90,متر²,3,1
4064729,شقه للبيع فى باكوس غرفتين صاله قطعتين الدور التاسع سلم لا يوجد اسناسير بها عدادا,"230,000",الاسكندريه - باكوس,65,متر²,2,1
4061104,شقه عريس تمليك للبيع ٣غرف وريسبشن قطعتين سوبر لوكس مساحه 100متر مشمسه وجيده الته,"550,000",الاسكندريه - باكوس,100,متر²,3,1
4047055,شقة للبيع بشارع الزيت منطقة باكوس بجوار مسجد السماحة,"490,000",شارع الزيت- باكوس,100,متر²,3,1
4047051,شقه للبيع شارع مرتضي تجاه صفر,"1,500,000",شارع مرتضي,135,متر²,3,1
4061266,شقه لقطه للبيع باكوس ش الاخطل,"380,000",باكوس ش الاخطل,115,متر²,3,1
4046928,شقه للبيع باكوس ش الاخطل,"380,000",الاسكندريه باكوس ش الاخطل متفرع من ش السينما,115,متر²,3,1
4049113,شقه في اسكندريه بباكوس 66 متر متشطبه سوبر لوكس بالسطح,"230,000",الزقازيق، الشرقية,66,متر²,2,1
4058731,شقه للبيع 100 متر,"550,000",الاسكندرية - باكوس - شارع الجمهورية,100,متر²,3,1
4076388,شقه للبيع باكوس,"250,000",باكوس,70,متر²,2,1
4054753,شقه للبيع في باكوس شارع عشرين,"450,000",الاسكندريه  باكوس شارع عشرين عند مجمع المدارس,80,متر²,2,1
4075628,شقة للبيع بشارع الزيت منطقة باكوس بجوار مسجد السماحة المساحة/ ١٠٠متر الدور /٧,"490,000",الاسكندريه - باكوس,100,متر²,2,1
4042697,شقه للبيع اول ش مجمع المدارس,"600,000",ش عشرين,160,متر²,3,2
4041085,شقه لقطه للبيع  دور ثالث سلم حوالي ١١٥ متر عباره عن ٣ غرف ورسبشن,"380,000",اسكندريه /باكوس ش الاخطل متفرع من ش السينما,115,متر²,3,1
4040182,شقة للبيع بشارع الزيت منطقة باكوس بجوار مسجد السماحة,"490,000",الاسكندريه - باكوس,100,متر²,2,1
4040049,شقة للبيع بالقرب من مزلقان الإذاعة ومحطة ترام باكوس,"850,000",باكوس,120,متر²,2,1
4039978,شقة للبيع بالاسكندرية باكوس 115متر,"380,000",الاسكندرية باكوس,115,متر²,3,1
4030369,شقه للبيع,"260,000",الاسكندريه باكوس شارع الباشا مول اول الشارع,80,متر²,2,1
4039852,شقة للبيع بالقرب من مزلقان الإذاعة ومحطة ترام باكوس وجميع الخدمات,"850,000",الاسكندريه - باكوس,120,متر²,2,1
4039859,شقه للبيع اول ش مجمع المدارس من ش عشرين 3 نمره من العمومي الدور 14 اسانسير,"580,000",الاسكندريه - باكوس,120,متر²,3,1
4039550,شقه للبيع في باكوس,"270,000",باكوس شارع العقصه,60,متر²,2,1
4026736,شقة للبيع بباكوس ارض سليم اسكندر دور علي بعضه ١٢٥ متر,"450,000",الاسكندرية - باكوس ارض سليم اسكندر,125,متر²,2,1
4026303,شقة للبيع بباكوس ارض سليم اسكندر,"450,000",باكوس ارض سليم اسكندر,125,متر²,2,1
4023920,شقة للبيع بباكوس ارض سليم اسكندر دور علي بعضه ١٢٥ متر,"450,000",الاسكندريه - باكوس,125,متر²,2,1
4039392,شقة للبيع بشارع الزيت منطقة باكوس,"490,000",باكوس بجوار مسجد السماحة,100,متر²,3,1
4038619,شقة للبيع -تشطيب سوبر لوكس-٧٠م -غرفتين وريسبشن قطعتين -دور خامس وأخير,"380,000",الاسكندريه باكوس,70,متر²,2,1
4009482,شقة للبيع ترام باكوس مباشرة,"850,000",باكوس,100,متر²,3,1
4037076,شقه للبيع تشطيب سوبر لوكس-٧٠م -غرفتين,"350,000",الاسكندريه باكوس -شارع قطاوى بك- موازى لشارع الأسعاف ،وخلف شارع مصطفى كامل بشارعين,70,متر²,2,1
4052878,شقة لؤطة للبيع 120 م  -  سوبر لوكس - برج أسانسير -  دور تاسع -,"600,000",الاسكندريه - باكوس,120,متر²,3,1
4030371,شقه للبيع,"420,000",الاسكندريه باكوس شارع الباشا مول اول الشارع,80,متر²,2,1
4030486,شقه للبيع متفرع من شارع العقصى,"350,000",شارع العقصى - باكوس,90,متر²,2,1
