id,title,price,location,size,size_unit,bedrooms,bathrooms
3890848,شقق super_lux للبيع فى شارع السيالة الانفوشى,"1,800,000",شارع السيالة، بحرى - الأنفوشى,140,متر²,3,2
3870081,شقة للبيع 130 م بحري (علي البحر مباشرة),"1,850,000",بحري (علي البحر مباشرة),130,متر²,3,1
4062091,٣٦ شارع الصالح الحكيم شقة للبيع,"350,000",٣٦ شارع صالح الحكيم - الاسكندريه -منطقه الجمرك,65,متر²,2,1
3842202,شارع مصطفى باشا العرب خلف جيلاتى مكرم,"750,000",شارع مصطفى العرب,80,متر²,2,1
3899939,للبيع - شقق 140 متر² سوبر لوكس,"770,000",شارع جعفر، بحرى - الأنفوشى,140,متر²,4,2
3943508,شقة بشارع فرنسا ترى البحر من جميع الغرف,"850,000",شارع الجمرك القديم، بحرى - الأنفوشى,100,متر²,1,1
3868849,شقة 70 متر مربع فى بحرى بالقرب من مسجد ابو العباس,"250,000",بحرى,70,متر²,2,1
4132849,غرفتين وصاله كبيرة دور رابع سلم كاملة عدادت  مباني 2003,"480,000",اسكندريه /بحرى/ بابو العباس,80,متر²,1,1
4129407,شقه للبيع 100 م فى بحرى,"750,000",بحري الاسكندرية,100,متر²,3,1
4097423,شقه للبيع 50 متر,"250,000",الاسكندرية - بحري,50,متر²,2,1
4090435,للبيع - شقق سوبر لوكس فى شارع إبن الصائغ,"250,000",الاسكندريه بحرى  قريبه من لبان الديشه,60,متر²,3,1
4092820,شقه للبيع جانبى من الميدان شارع تيمور,"250,000",بحرى الانفوشى,60,متر²,2,1
4090355,للبيع - شقق 100 متر² سوبر لوكس,"500,000",الاسكندريه شقة للبيع في بحري الانفوشي جنب سمكمك علي البحر,100,متر²,2,1
4088784,شقة  للبيع في شارع محمد كريم القلعة,"340,000",في شارع محمد كريم القلعة,60,متر²,2,1
4086822,شقه للبيع,"500,000",الاسكندريه  بحري الانفوشي جنب سمكمك علي البحر,100,متر²,2,1
4082324,شقة تمليك على البحر مباشره,"900,000",شارع الحجارى,105,متر²,2,1
4093289,شقة  للبيع في شارع محمد كريم القلعة,"340,000",بحرى,60,متر²,2,1
4082905,شقه للبيع 145متر ريسبشن٣ قطع ٢ غرفه حمام مطبخ امريكاني,"1,800,000",اسكندريه /بحرى /بجوار الشيخ وفيق,145,متر²,2,1
4082316,لمحبى المساحات الكبيرة,"700,000",اسكندريه بحري,120,متر²,3,1
4036656,شقه للبيع ببحرى,"1,400,000",بحرى,115,متر²,4,1
4031175,شقه للبيع بين بحرى ومنشيه,"1,400,000",بحرى,115,متر²,4,1
4070867,للبيع شقة في بحري ثاني نمرة من الحجاري,"700,000",بحري,120,متر²,3,1
4000160,شقه ١٢٥ متر في بحري تطل علي ميناء اسكندريه مباشره في شارع وكاله الليمون,"1,100,000",الاسكندريه - بحري,125,متر²,3,2
3998564,شقة للبيع بحرى,"1,300,000",بحرى,125,متر²,3,1
3972477,شقه للبيع ١٢٠ متر كامله العدادات,"1,350,000",بحري الانفوشي عمارة اول نمره بحر قريبه من فتح الله,120,متر²,3,1
3981673,شقة ١٣٥ متر بانوراما البحر ، بحرى بجوار فتح الله ماركت,"1,900,000",الاسكندريه بحرى بجوار فتح الله ماركت,135,متر²,3,2
3972643,شقه للبيع ١٢٠ متر كامله العدادات,"1,350,000",الأسكندرية - بحري الانفوشي,120,متر²,3,1
3949205,شقه للبيع فيو البحر - بحرى الانفوشى,"1,000,000",بحرى الانفوشى,90,متر²,2,1
3941656,شقه للبيع في بحري خطوات من فتح الله ماركت,"750,000",بحري,90,متر²,2,1
3938313,شقه للبيع في بحري خطوات من فتح الله والشيخ وفيق,"750,000",بحرى,100,متر²,2,1
3879851,شقه .. بحري .. منطقه الجمرك,"500,000",الاسكندريه - بحري,90,متر²,2,1
4050921,للبيع شقه في بحري بجانب الشيخ وفيق,"1,650,000",بحري,160,متر²,2,1
3944698,شقه للبيع في بحري,"750,000",بحري خطوات من فتح الله ماركت والشيخ وفيق ثاني برج من البحر,90,متر²,2,1
3941412,شقة للبيع فيو البحر خطوات من الشيخ وفيق,"750,000",بحري  - الاسكندريه,100,متر²,2,1
3910356,شقة 70م للبيع,"550,000",بحري شارع الحلوجي,70,متر²,2,1
3857241,شقه للبيع الدور ال 18 بحري,"500,000",الاسكندريه - بحري,75,متر²,2,1
3989458,شقه غرفتين ورسبشن في بحري عند قصر راس التين  وجهتين  فيوا الوجهه اللي علي الشارع,"950,000",اسكندريه /يبحرى/ قصر راس التين/من الخلف بحر اللي عند الشيخ وفيق,80,متر²,2,1
4017380,شقه للبيع فى بحرى,"800,000",بحرى,120,متر²,3,1
4000434,شقة للبيع في عبد القادر بحرى,"170,000",عبد القادر,90,متر²,2,1
3973463,شقه للبيع   بحرى راس التين,"950,000",الاسكندريه - بحري,180,متر²,4,2
3894197,شقه للبيع في بحري برج شيك جدا بحري,"3,150,000",الاسكندريه _ بحري,187,متر²,3,2
3853112,شقه للبيع في بحري 90 متر صافي,"550,000",الاسكندريه - بحري,90,متر²,3,1
3844771,شقة ببحري للبيع,"125,000",شارع مسجد جبران متفرع من وكالة اللمون,50,متر²,1,1
3834609,شقة ببحري للبيع,"125,000",اسكندريه بحري,60,متر²,1,1
3823933,شقة للبيع بحري شارع عزة,"550,000",بحري شارع عزة,100,متر²,2,1
3921536,شقة للبيع فيو البحر فى بحري,"750,000",بحري,90,متر²,2,1
3879823,شقه للبيع بحري قسم الجمرك ش عبد السلام متفرع من الشميرلي,"450,000",الاسكندريه - بحري,100,متر²,2,1
4062918,شقه للبيع,"700,000",الاسكندريه في بحري ثاني نمرة من الحجاري,120,متر²,3,1
4052459,شقه للبيع فى شارع البحريه,"250,000",شارع البحريه,75,متر²,2,1
3991330,شقه للبيع ببحري 4غرف*2حمام*2قطعه ريسبشن,"750,000",بحرى,140,متر²,4,2
3979891,شقة للبيع  وكاله اللمون عمومى الدور 10,"720,000",الاسكندرية - بحرى - وكاله اللمون,100,متر²,3,1
3932850,شقة  للبيع 120م,"450,000",بحري,120,متر²,3,1
3868561,شقة  للبيع 100م,"850,000",الاسكندريه_بحري,100,متر²,2,1
3867969,شقه للبيع ببحري متفرع من صفر باشا شارع القهوتين,"220,000",الاسكندريه - بحري,65,متر²,2,1
3844408,شقه تمليك بالدرايسه بحرى,"415,000",الدرايسه بحرى شارع رؤفه العوامى على الاسفلت  الشارع بجانب شارع خير الله,120,متر²,3,1
3823940,من المالك شقة للبيع بمنطقة بحري الشمرلي,"230,000",منطقة بحري الشمرلي,60,متر²,2,1
4103242,شقه متشطبه على الفرش للبيع,"550,000",بحري-الاسكندرية,100,متر²,3,1
4008011,شقه للبيع خلف البان جادو دور خامس اسانسير,"460,000",بحري,100,متر²,2,1
4000266,شقة للبيع تمليك في الدور الأول علوي سوبر لوكس لا تحتاج لأي مصروف,"500,000",الاسكندريه - بحري,110,متر²,3,1
3920603,شقه للبيع في بحري,"350,000",بحري شارع قهوه فاروق بجوار بنك مصر,65,متر²,2,1
