id,title,price,location,size,size_unit,bedrooms,bathrooms
4043767,عمارة الاشراف برج العرب شقة للبيع,"712,500",عماره الاشراف قطعه ١١٤,150,متر²,3,2
4047734,عمارة الاشراف برج العرب الحي التاسع,"700,000",عماره الاشراف قطعه ١١٤,150,متر²,3,2
4086445,شقة لقطة للبيع مدينة برج العرب الجديدة,"650,000",مدينة برج العرب الجديدة، منطقة مميز الاسمنت امام الادارة التعليمية,100,متر²,3,1
4006239,شقة ١٢٠م ب كومبوند فرسان البحار ( وزارة الدفاع- القوات البحرية ),"700,000",الحي الثامن، برج العرب الجديدة,120,متر²,3,2
4044725,شقة للبيع بكومبوند فرسان البحار بمدينة برج العرب الجديدة,"600,000",الاسكندريه برج العرب,125,متر²,3,2
3854855,شقة نصف تشطيب ببرج العرب الجديدة 88م بموقع متميز,"750,000",الاسكندرية - برج العرب الجديدة,88,متر²,2,1
4095167,بدروم ودور على الرئيسي البحري,"1,150,000",الحي الثاني المجاوره التالته اقتصادي,276,متر²,4,2
4047060,شقه للبيع فى برج العرب الجديده,"250,000",برج العرب الجديده الاسكندريه,90,متر²,3,1
3835910,شقة للبيع,"500,000",برج العرب الجديد,90,متر²,3,1
3839306,شقة بكمباوند ببرج العرب الجديدة 85 م,"300,000",الاسكندرية - برج العرب الجديدة,85,متر²,2,1
3931063,شقه بكومباوند ببرج العرب الجديدة,"550,000",برج العرب-اسكندرية,140,متر²,3,2
