id,title,price,location,size,size_unit,bedrooms,bathrooms
3929328,شقة للبيع 146م  سموحة ( كومباوند العروبه سكاي لاين ),"4,745,000",سموحة ( كومباوند العروبه سكاي لاين ),146,متر²,3,3
3821167,اسكن واستثمر  في اقوي مشروعات الإسكندرية  122م  سموحة (كومباوند العروبه Skyline),"3,660,000",سموحة (كومباوند العروبه Skyline),122,متر²,2,2
4077850,شقق للبيع فى  مدينة برج العرب الجديدة,"670,000",El Zohour St، Borg El Arab,100,متر²,3,1
3954995,شقة للبيع تشطيب سوبر لوكس بالحي الثامن ببرج العرب,"350,000",الحى الثامن مساكن الجيش برج العرب,90,متر²,3,1
4122408,شقه للبيع 90متر برج العرب الجديده دور خامس علوي رؤايه بانوراما بجوار النادي والم,"400,000",الاسكندريه برج العرب,90,متر²,3,1
4097489,شقة 120 م بموقع متميز علي الشارع الرئيسى للبيع بكومبوند المهندسين برج العرب(واجه,"1,775,000",برج العرب,120,متر²,3,2
4101170,تفاصيل الشقه : -3 غرف ( منهم غرفه ماستر ) - 2 حمام,"3,410,000",برج العرب,155,متر²,3,3
4097469,( نظام السداد ) · 5% مقدم  · السداد علي 5 سنوات  · الاستلام خلال 3 سنوات ونصف  _,"2,466,000",برج العرب,111,متر²,2,1
4097459,الدور الاول علوي  فيو مفتوح ١٢٥ م صافي نصف تشطيب متاح امكانية التشطيب عن طريق ال,"700,000",برج العرب,125,متر²,3,3
4069865,شقه للبيع 75 م بكمبوند اليكس جيت ف اسكندريه برج العرب,"450,000",برج العرب الاسكندرية,75,متر²,2,1
4011295,شقه للبيع بكمبوند اليكس جيت ف اسكندريه برج العرب,"450,000",برج العرب-اسكندرية,75,متر²,2,1
3914006,شقة 120 م مميزة للبيع 3 غرف المرحلة 3 - كومبوند المهندسين برج العرب,"1,450,000",برج العرب ، الإسكندرية,120,متر²,3,2
3861165,شقة للبيع,"350,000",برج العرب,80,متر²,2,1
3865361,شقه للبيع 88 متر,"720,000",الاسكندريه برج العرب,88,متر²,2,1
3863008,شقة للبيع,"700,000",برج العرب,120,متر²,3,1
3843092,شقة للبيع,"350,000",برج العرب,80,متر²,2,1
3849629,شقه للبيع ثلاث غرف وحمام,"300,000",برج العرب,90,متر²,3,1
4044619,شقه بكومباوند ببرج العرب الجديدة,"550,000",الاسكندريه برج العرب,136,متر²,3,2
3918785,شقه للبيع 90متر بحري بكمبوند برج العرب الجديده دور خامس رؤايه بانوراما بجوار الن,"320,000",برج العرب,90,متر²,3,1
