id,title,price,location,size,size_unit,bedrooms,bathrooms
3945107,شقتك بأرقي منطقه بستانلي بمطلات  كلها مميزه علي جاردن خاصه  235 م,"3,750,000",بولكلى,235,متر²,4,3
4115731,مدخل كفر عبده بولكلي خلف نادي القضاة,"3,250,000",شارع المصحة خلف نادي القضاة,202,متر²,3,3
4105297,شقة 150 متر مميزة علي الشارع بالكامل,"2,000,000",شارع مصطفي فهمي امام مستشفي ابراهيم ندي,150,متر²,4,1
4125360,شقة للبيع 160م صافي بولكلي,"1,750,000",بولكلي ترام مباشرة,160,متر²,4,2
4090499,بوكلى,"2,350,000",شارع عبد الحميد العبادي، بولكلي,165,متر²,3,2
3965544,شقة للبيع 246 م بولكلي  ( محطة ترام الهدايا ),"2,400,000",محطة ترام الهدايا,246,متر²,3,2
3919128,شقق للبيع ببولكلي الاسكندرية نماذج,"1,350,000",بولكلي,95,متر²,2,1
4041749,شقة للبيع 200 م بولكلى (ش ابراهيم راجى),"3,000,000",ش ابراهيم راجى,200,متر²,4,3
3958283,شقة للبيع  - الوزارة ma - بمساحة 225 متر,"3,250,000",الوزارة,225,متر²,4,3
4068707,شقق للبيع ببولكلي نماذج ١٦٠ م,"2,450,000",بولكلي,160,متر²,3,2
3876315,شقه في قلب ستانلي بطلات مميزه مفتوحه علي جاردن خاصه 235 م,"3,750,000",ستانلي - ش عبدالحميد العبادي,235,متر²,4,3
3836451,شقة للبيع 205 م بولكلى (ش عبد الحميد العبادى),"2,850,000",ش عبد الحميد العبادى,205,متر²,3,3
3980368,شقة للبيع 260م ببولكلي. علي ترام  مباشرا,"3,495,000",بولكلي ترام مباشرة,260,متر²,3,3
4049075,بوكلى  شارع أبو قير,"1,200,000",شارع أبو قير، بولكلي,100,متر²,1,1
3906821,شقة للبيع 200 م رشدى (ش دمياط),"3,500,000",ش دمياط,200,متر²,3,2
3878398,شقة للبيع  - بولكلي sk - مساحة 200 متر,"2,300,000",بولكلى,200,متر²,3,2
3901790,شقة للبيع 162 م الوزارة (ش ابو قير مباشره),"1,970,000",ش ابو قير مباشره,162,متر²,3,2
3873917,شقة للبيع 175 م بولكلى (بجوار مستشفى الاهلى),"1,750,000",بجوار مستشفى الاهلى,175,متر²,3,2
3851582,شقة للبيع 100م  بـــــ بوكلي شارع ابوقير مباشرة (بالاسكندرية),"1,400,000",بوكلي شارع ابوقير,100,متر²,2,1
3819724,للبيع شقة ببولكلى 115م,"1,350,000",Abou Quer St، Bolekly,115,متر²,2,2
3995634,شقة للبيع ٢٠٠ متر تقسيمة ممتازة و مطلات مفتوحة,"2,900,000",Bolkly,200,متر²,2,3
4068731,شقق للبيع ببولكلي الاسكندرية نماذج ١٥٥ م,"2,200,000",بولكلي,155,متر²,3,2
3922991,للبيع - شقق 170 متر² سوبر لوكس,"2,450,000",الاسكندريه بولكلي,170,متر²,3,2
3910965,شقة للبيع 330 م + 100 م روف بولكلى (ش لافيزون - خطوات من ش مصطفى كامل),"1,800,000",ش لافيزون - خطوات من ش مصطفى كامل,330,متر²,5,3
3852294,دوبلكس للبيع 180 م بولكلي (خطوات من ش ابوقير)(58),"2,500,000",خطوات من ش ابوقير,180,متر²,3,3
3821163,بولكلى شارع ابراهيم راجى قبلى شارع ابوقير,"1,850,000",بوكلى,150,متر²,3,2
3937420,شقة للبيع 160 م بـــ بوكلي علي التـــــرام (بالاسكندرية),"1,700,000",بوكلي علي الترام,160,متر²,3,2
3890098,شقة للبيع 100م صافي بــ بوكلي شارع مصطفي كامل الرئيسي مطلات مفتوحة (بالاسكندرية),"1,200,000",بوكلي شارع مصطفي كامل الرئيسي,100,متر²,2,1
4086703,شقه للبيع في بوكلي,"2,250,000",شارع أبو قير، بولكلي,200,متر²,3,2
4069457,بوكلى,"1,550,000",بوكلى شارع إبراهيم راجى,145,متر²,2,2
4058579,بوكلى شقة للبيع,"1,600,000",شارع إبراهيم راضي، بولكلي,130,متر²,1,1
4027510,شقة للبيع 100م  بـــ بوكلي شارع محمد فريد (بالاسكندرية),"1,100,000",بوكلي شارع محمد فريد,100,متر²,2,1
3929614,شقة للبيع 100م صافي بــ بوكلي شارع مصطفي كامل الرئيسي مطلات مفتوحة (بالاسكندرية),"1,200,000",بوكلي شارع مصطفي كامل الرئيسي,100,متر²,2,1
3851721,شقة للبيع 160 م بـــ بوكلي علي التـــــرام مطلات مفتوحة (بالاسكندرية),"1,700,000",بوكلي علي الترام,160,متر²,3,2
4086716,شقة للبيع في ونجت - الإسكندرية,"980,000",153 متفرع من شارع محمد فريد ( ونجت ) - الإسكندرية,160,متر²,4,2
3898224,شقة 185م بوكلى على الترام تشطيب ممتاز,"2,600,000",بولكلى,185,متر²,4,2
3833100,شقة للبيع ١١٥ متر بشارع ونجت,"650,000",١١ شارع ١٥٧ متفرع من ونجت الدور الثالث,115,متر²,3,2
3923911,لمحبي مدينة الإسكندرية متميزه شقة بموقع متميز بالقرب من القنصلية البريطانية,"2,000,000",42 ابراهيم راجى بولكلى برادايز,175,متر²,3,2
3948427,شارع 158 متفرع من شارع ونجت,"350,000",ونجت,85,متر²,2,1
3818668,شقة للبيع في بولكلى,"1,350,000",شارع الطيار أحمد سعود,120,متر²,3,2
3929370,شقه 110م ببولكلى شارع لافيزون - رخصه,"750,000",بولكلي,110,متر²,2,1
4035202,بولكلى اخر كفر عبده,"1,600,000",شارع إبراهيم راضي، بولكلي,130,متر²,3,2
3497397,شقة للبيع ١١٥ متر بشارع ونجت,"650,000",١١ شارع ١٥٧ متفرع من ونجت الدور الثالث,115,متر²,3,2
