id,title,price,location,size,size_unit,bedrooms,bathrooms
4031232,شقة للبيع 137 م جليم ( خطوات من البحر والترام),"2,250,000",جليم ( خطوات من البحر والترام),137,متر²,2,2
4130718,شقة  120م بجليم فيو رائع على البحر مباشرة,"3,850,000",جليم طريق الجيش,120,متر²,2,2
4002950,شقة للبيع فى جليم - اول صف على البحر,"14,000,000",El Gaish Road، Glim,550,متر²,5,6
4054145,شقة للبيع 300م جليم ( شارع أبوقير ),"4,700,000",جليم ( شارع أبوقير ),300,متر²,3,2
4125880,شقتك في جـــــلـيـم شارع ابو قير مباشر 150 متر – برج شيك,"3,500,000",شقتك في جـــــلـيـم شارع ابو قير مباشر 150 متر – برج شيك مطلات الريسبشن و الغرف كلها مفتوحه,150,متر²,3,2
4088693,شقة مباشرة على البحر,"7,000,000",شارع الجيش، جليم,450,متر²,1,1
4125888,شقه للبيع لقطه جــــليم شارع زهران رشدي 140م برج شيك و مدخل شيك,"2,600,000",شقه للبيع لقطه جــــليم شارع زهران رشدي 140م برج شيك و مدخل شيك,140,متر²,3,2
4125253,شقة للبيع 185م جليم (رابع نمرة من البحر ),"3,400,000",جليم (رابع نمرة من البحر ),185,متر²,3,2
4117139,لهواة السكن الراقى والتميز,"3,500,000",331 طريق الجيش سابا باشا أمام نادى الأطباء مباشرة وبجوار عمارة البنك الأهلى وبنك مصر,124,متر²,3,2
4123747,شقة للبيع 264 م جليم (شارع رسمي باشا),"4,850,000",شارع رسمي باشا,264,متر²,3,3
4123659,شقة للبيع 460م جليم (على البحر مباشرة),"12,500,000",جليم (على البحر مباشرة),460,متر²,8,5
4123573,شقة للبيع 175م جليم طريق الحرية,"2,750,000",جليم طريق الحرية,175,متر²,3,3
4123478,شقة للبيع 150م جليم طريق الحرية,"2,250,000",جليم طريق الحرية,150,متر²,3,2
4121928,شقه للبيع 138 م جليم (امام مستشفي جليم),"2,650,000",امام مستشفي جليم,138,متر²,3,2
