id,title,price,location,size,size_unit,bedrooms,bathrooms
4132515,جناكليس,"1,500,000",جناكليس شارع أبو قير,110,متر²,2,1
4057096,صفر,"1,500,000",آخر شارع مرتضى قبل محطة صفر,125,متر²,3,1
3918612,شقة للبيع بالدواليب215م  بـ جناكليس شارع ابوقير مباشرة مطلات مفتوحة (بالاسكندرية,"3,750,000",جناكليس شارع ابوقير مباشرة,215,متر²,3,3
3959363,شقة للبيع 153م بــــ جناكليس خطوات من شارع ابوقير مطلات مفتوحة (بالاسكندرية),"2,250,000",جناكليس خطوات من شارع ابوقير,153,متر²,3,2
3875052,شقق 220 متر² للبيع فى شارع أبو قير - طريق الحرية,"3,600,000",الاسكندريه جناكليس,220,متر²,3,3
3852152,شقة للبيع 215 م جناكليس (ش ابو قير),"3,750,000",ش ابو قير,215,متر²,3,3
3837596,شقة للبيع اول سكن200م صـافي بـ جناكليس بحـري اول نمرة من شارع ابوقير(بالاسكندرية,"3,000,000",جناكليس اول نمرة من شارع ابوقير,200,متر²,3,2
3940476,شقة للبيع 210م صافي بـــــ جناكليس شارع مرتضي (بالاسكندرية),"2,200,000",جناكليس شارع مرتضي,210,متر²,5,2
3981366,شقة للبيع 140م بــــ جناكليس خطوات من شارع ابوقير (بالاسكندرية),"1,900,000",جناكليس خطوات لشارع ابوقير,140,متر²,3,1
3981164,للبيع - شقق سوبر لوكس فى شارع أبو قير - طريق الحرية,"1,400,000",جناكليس شارع  عمر المختار,120,متر²,2,1
3834578,"شقة للبيع 325م (260م صافي) - جناكليس (ش أبوقير الرئيسي) - 3,750,000  ج كاش","3,750,000",شارع أبو قير - طريق الحرية، جناكليس,325,متر²,1,1
3840728,شقة للبيع 143 م جناكليس  (طريق الحرية),"2,000,000",طريق الحرية,143,متر²,3,2
3948240,شقة للبيع 150م بـــــ جناكليس بالقرب من التـرام مطلات مفتوحة (بالاسكندرية),"1,700,000",جناكليس بالقرب من الترام,150,متر²,3,1
3876073,جناكليس,"1,250,000",جناكليس متفرع من أبو قير,110,متر²,2,1
3851639,شقة للبيع 150م  بــــ جناكليس شارع كينسه الاورام مطلات مفتوحة (بالاسكندرية),"1,650,000",جناكليس شارع كينسه الاورام,150,متر²,3,2
3831621,شقة للبيع 246 م جناكليس (ش الفتح) - 33,"2,350,000",ش الفتح,246,متر²,3,2
3937646,شقة للبيع بالدواليب  215م بـــــ جناكليس شارع ابوقير مباشـرة (بالاسكندرية),"2,500,000",جناكليس شارع ابوقير مباشرة,215,متر²,3,1
4075793,دوبلكس جناكليس شارع ابوقير,"3,000,000",جناكليس ش. ابوقير,190,متر²,3,2
4070532,شقة للبيع 150م جناكليس (خطوات من شارع ابوقير),"1,850,000",جناكليس (خطوات من شارع ابوقير),150,متر²,3,1
3935605,شقه للبيع 155م جناكليس شارع قريب من الكنيسة بسعر لقطه,"2,000,000",جناكليس شارع قريب من الكنيسة بسعر لقطه,155,متر²,3,2
3924370,شقة للبيع بجناكليس  خلف الكنيسة,"1,300,000",جناكليس متفرع من أبو قير,125,متر²,3,1
3964477,شقة للبيع بجناكليس,"1,900,000",شارع جمال عبد الناصر، سيدي بشر بحري,140,متر²,3,1
3915579,الأسكندرية جناكليس ٢٩ش مرتضى.,"850,000",شارع مرتضي باشا، جناكليس,80,متر²,2,1
3907972,شقه لقطه بجد,"3,000,000",شارع الفتح ترام جناكليس اسكندريه,160,متر²,3,2
3903095,شقة للبيع بجناكليس شارع مرتضى باشا,"1,500,000",شارع مرتضى جناكليس,165,متر²,4,2
3869649,مطلات مفتوحة 80م صافى الدور الثانى عشر و الآخير السطح معالج,"720,000",ش مرتضى,80,متر²,2,1
3744690,للبيع شقة ١٠٠ متو الترا هاي لوكس بجناكليس الاسكندرية,"1,250,000",جناكليس شارع ذو الفقار,100,متر²,2,1
3892069,شقق 150 متر² للبيع فى شارع أبو قير - طريق الحرية,"1,800,000",جناكليس,150,متر²,3,2
3964545,شقه بجناكليس للبيع,"1,900,000",شارع محمد باشا محسن جناكليس,140,متر²,3,1
3855569,شقة ١٠٠ متر جناكليس برج الزراعيين,"1,500,000",شارع مرتضي باشا، جناكليس,100,متر²,1,1
4127740,شقة للبيع بالاسكندرية جناكليس 140 متر,"1,500,000",الاسكندرية جناكليس,140,متر²,3,1
4124224,شقة لقطة للبيع من المالك جناكليس شارع عزمى,"1,900,000",الاسكندريه جناكليس,130,متر²,3,2
4124173,شقة للبيع جناكليس,"1,300,000",الاسكندريه جناكليس,155,متر²,3,2
4117422,فرصة ذهبية.. شقة للبيع 130م في جناكليس,"1,985,000",جناكليس,130,متر²,3,1
