id,title,price,location,size,size_unit,bedrooms,bathrooms
4044043,تملك شقة 205م بمنطقة رشدى شارع سوريا,"6,970,000",رشدى هاوس,205,متر²,3,3
3818694,شقه للبيع 225م رخصه تجاري و سكني في رشدي شارع سوريا ناصيه موقع مميز جدا,"8,325,000",شارع سوريا علي الترام رشدي,225,متر²,4,3
3808210,شقه للبيع  440م تصلح مقر اداري و سكني ف رشدي ناصيه اول سوريا,"15,400,000",اول شارع سوريا رشدي,440,متر²,8,6
4043527,تملك شقة 225م رشدى شارع سوريا مباشرة بالقرب من كافة الخدمات بفيوهات مفتوحة,"8,325,000",رشدى هاوس,225,متر²,3,3
3938929,شقة للبيع فى رشدي - مسجله شهر عقارى,"6,500,000",Syria St.، Roshdy,300,متر²,3,3
3985280,شقة للبيع 200 م ستانلي ( خطوات من البحر ),"4,300,000",ستانلي خطوات من البحر,200,متر²,3,2
4103852,شقة للبيع 242م رشدي ( شارع سوريا ),"5,600,000",رشدي ( شارع سوريا ),242,متر²,3,3
4125636,Elite Apartment for sale,"3,500,000",شارع كفر عبده، رشدي,195,متر²,3,3
4102510,شقة للبيع 285 م رشدي (ش رشدى باشا) /7,"3,500,000",ش رشدى باشا,285,متر²,3,3
4100373,شقة للبيع 410 م ستانلى ( ش عبد الحميد العبادى),"5,650,000",ستانلى ( ش عبد الحميد العبادى),410,متر²,5,5
4086750,شقة للبيع برشدي الاسكندرية تصلح سكني أو اداري,"1,550,000",رشدي,120,متر²,3,2
4085686,شقة للبيع فى رشدي - الاسكندرية,"3,100,000",Abdel Hamid Al Abdi St.، Roshdy,271,متر²,3,2
4041152,شقق للبيع برشدي الاسكندرية المعسكر الروماني,"2,000,000",رشدي شارع المعسكر الروماني,125,متر²,3,1
4043571,تملك شقة 225م رشدى شارع سوريا مباشرة بالقرب من كافة الخدمات بفيوهات مفتوحة,"8,325,000",رشدى شارع سوريا,225,متر²,3,3
3987044,شقة للبيع برشدي شارع سوريا الاسكندرية,"5,650,000",رشدي,260,متر²,3,3
4025123,شقه للبيع 350 م رشدى (ش ابراهيم حلمى),"4,000,000",ش ابراهيم حلمى,350,متر²,3,2
4031146,شقة للبيع في رشدي - 145 م – بحر مباشر – بالقرب من كوبري ستانلي TMZ7152,"3,700,000",رشدي,145,متر²,2,2
4002268,شقة للبيع 307 م  رشدي ( خطوات من البحر ),"5,200,000",خطوات من البحر,307,متر²,4,3
3972834,شقة للبيع 307 م رشدي (ش سوريا) /  15,"4,920,000",ش سوريا,307,متر²,4,3
3988711,شقة  للبيع  200م رشدى (ش ابو قير الرئيسي ),"4,150,000",رشدى (ش ابو قير الرئيسي ),200,متر²,3,2
3972814,شقة للبيع 307 م رشدي (ش سوريا),"4,920,000",(ش سوريا),307,متر²,4,3
3970741,شقة للبيع 151م بـــ عمارات ضباط مصطفي كامل بحصة في الارض (بالاسكندرية),"2,600,000",رشدي عمارات ضباط مصطفي كامل,151,متر²,3,1
4021307,شقة للبيع 150م رشدى  ( ش عبد الحميد العبادى ),"2,650,000",رشدى  ( ش عبد الحميد العبادى ),150,متر²,3,2
3820438,امتلك شقتك في أجمل موقع ( 7 ش سوريا ) وأرقى اطلالة,"5,535,000","7 شارع سوريا , رشدي , الاسكندرية",205,متر²,4,3
3820465,لهواة الرقي و السكن المميز رشدي شارع سوريا,"6,525,000","7 شارع سوريا , رشدي , الاسكندرية",225,متر²,4,3
3981429,شقة للبيع 165م بـــــ رشـدي شارع الفريد ليـان مطلات مفتوحة (بالاسكندرية),"3,700,000",رشدي شارع الفريد ليان,165,متر²,3,2
3974774,شقة للبيع  250 م  رشدي (  شارع المعسكر الروماني ),"8,300,000",رشدي شارع المعسكر الروماني,250,متر²,3,3
3996573,شقة للبيع بالدواليب 200م بــــ رشدي خطوات من البحـــر مطلات مفتوحة (بالاسكندرية),"4,200,000",رشدي خطوات من البحـر,200,متر²,3,2
3985943,رشدى شقة للبيع,"4,400,000",طريق الجيش، رشدي,136,متر²,1,1
3821398,تملك واستلم فورا ارقى شقة على شارع سوريا مع الترام,"6,525,000","7 شارع سوريا , رشدي , الاسكندرية",225,متر²,4,3
3821407,لهواة سكن الترام - رشدى - شارع سوريا,"5,535,000","7 شارع سوريا , رشدي , الاسكندرية",205,متر²,4,3
3821293,تعاقد على افخم شقة بشارع سوريا مع الترام,"5,535,000","7 شارع سوريا , رشدي , الاسكندرية",205,متر²,4,3
3978921,شقه للبيع فى رشدي على البحر مباشرة – رخصه –برج شيك,"3,650,000",رشدي,143,متر²,2,2
3971163,شقة  للبيع تصلح سكني او اداري  230م  بــــ رشدي شارع ابوقير مباشرة (بالاسكندرية),"3,000,000",رشدي شارع ابوقير مباشرة,270,متر²,3,2
3821389,أمتلك شقتك الراقية و الفاخرة مباشرة على شارع سوريا مع الترام,"5,535,000","7 شارع سوريا , رشدي , الاسكندرية",225,متر²,4,3
3869929,شقة للبيع 175م رشدى (ش رشدي باشا الرئيسي),"3,500,000",رشدى (ش رشدي باشا الرئيسي),175,متر²,3,2
3941452,دور كامل للبيع فى شارع احمد شوقي,"4,500,000",Ahmed Shawqi St.، Roshdy,405,متر²,6,3
3820425,أمتلك أرقى شقة في رشدي ش سوريا (( مجموعة المعمارى )),"6,525,000","7 شارع سوريا , رشدي , الاسكندرية",225,متر²,4,3
3821739,لهواة التميز و الرقي وسكن الترام شارع سوريا - الترام,"5,535,000","7 شارع سوريا , رشدي , الاسكندرية",205,متر²,4,3
3959184,شقة للبيع تصلح سكني او اداري 270م بــــ رشدي شارع ابوقير مبـــاشرة (بالاسكندرية),"3,000,000",رشدي شارع ابوقير,270,متر²,3,2
3875514,شقة للبيع 195م رشدى ( على الترام مباشرة - عمارة برند ),"3,950,000",رشدى ( على الترام مباشرة - عمارة برند ),195,متر²,3,2
3940629,شقة للبيع - رشدي aa - مساحة 285 متر,"3,500,000",رشدى,285,متر²,3,3
3821283,تملك شقتك الفاخرة على شارع سوريا مباشرة (( 7 شارع سوريا )),"6,525,000",7 شارع سوريا - رشدي - الاسكندرية,225,متر²,4,3
3880909,شقة للبيع 185 م رشدي (ش احمد شوقي),"5,000,000",رشدي (ش احمد شوقي),185,متر²,3,3
3865040,شقة للبيع 165م بـــــ رشدي بين الترام والبحر مطلات مفتـــوحة (بالاسكندرية),"2,650,000",رشدي بين الترام والبحر,165,متر²,3,2
3864999,شقة للبيع 260 م رشدي (ش سوريا) /59,"5,200,000",ش سوريا,260,متر²,3,3
4010560,رشدى,"2,000,000",رشدى بالقرب من الترام,115,متر²,2,2
3825488,تملك شقة 225م رشدى شارع سوريا مباشرة بالقرب من كافة الخدمات,"6,535,000",رشدى هاوس,225,متر²,3,3
3827400,استثمر فى ارقى اماكن فى رشدى على شارع سوريا الرئيسى شقة 225م بفيوهات مفتوحة,"6,525,000",رشدى شارع سوريا الرئيسى,225,متر²,3,3
3820756,تملك سكنك الراقي و المتميز بناصية شارع سوريا مع الترام ببرج فاخر ومتميز,"5,535,000",7 شارع سوريا - رشدي - الاسكندرية,205,متر²,4,3
3820744,أفضل شقة في رشدي بأقوى موقع ( 7 ش سوريا ) وأميز اطلالة,"6,525,000",7 ش سوريا - رشدى - الاسكندرية,225,متر²,4,3
3820447,لهواة السكن و اطلالة شارع سوريا أرقى شقة بأفضل عمارة برشدي,"5,535,000","7 شارع سوريا , رشدي , الاسكندرية",205,متر²,4,3
3987939,شقة  للبيع  204م رشدى ( ش المعسكر الرومانى   ),"7,000,000",رشدى ( ش المعسكر الرومانى   ),204,متر²,3,3
3959450,شقه تمليك تصلح سكني وإداري في المعسكر الرومانى 165متر TMZ7038,"4,455,000",رشدي,165,متر²,3,2
3911697,شقه للبيع بمساحه 242م برشدي دابل فيو,"5,566,000",رشدي,242,متر²,3,3
4006299,ستانلى بحر شقة للبيع,"13,500,000",ستانلى طريق الجيش,460,متر²,5,4
3904737,شقه للبيع برشدي فيو مفتوح بمساحه 195م,"4,680,000",رشدي,195,متر²,3,2
3865498,شقة للبيع 200م رشدي (ش احمد شوقي),"5,000,000",رشدي (ش احمد شوقي),200,متر²,3,3
3824570,شقه للبيع برشدي شارع سوريا بمطلات  كلها مفتوحه مباشرا علي قصر ايرام  205 م,"6,150,000",رشدي - شارع سوريا,205,متر²,3,3
3820644,شقه للبيع برشدي شارع سوريا بمطلات  كلها مفتوحه مباشرا علي قصر ايرام 205 م,"6,150,000",رشدي - شارع سوريا,205,متر²,3,3
4041788,شقه للبيع رشدي متفرع من شارع سوريا مطلات مفتوحه – برج شيك,"3,300,000",شقه للبيع رشدي متفرع من شارع سوريا مطلات مفتوحه – برج شيك,155,متر²,3,2
3922833,شقة للبيع 285 م رشدي (ش رشدى باشا),"3,500,000",ش رشدى باشا,285,متر²,3,3
3925109,شقة للبيع برشدي مساحة 195م بالتقسيط,"4,680,000",رشدي بالاسكندرية,195,متر²,3,2
3983374,شقة للبيع 150 م رشدي (ش سوريا),"2,900,000",شارع سوريا,150,متر²,3,2
3849860,شقة للبيع 241 م رشدي (على شارع ابو قير)  بتسهيلات فى السداد على سنتين (p3),"4,200,000",على شارع ابو قير,241,متر²,3,3
3890346,شقه 195م للبيع في  رشدي بتسهيلات في السداد علي 18شهر,"4,680,000",رشدي بالقرب من المعسكر الروماني,195,متر²,3,2
3853681,شقة للبيع 204 م رشدي (على شارع ابو قير)-بتسهيلات فى السداد-(p3),"3,800,000",على شارع ابو قير,204,متر²,3,3
3853575,شقة للبيع 175م رشدي (على شارع ابو قير)-بتسهيلات فى السداد على سنتين (3),"3,350,000",على شارع ابو قير,175,متر²,3,3
3887228,شقة للبيع في الاسكندرية في رشدي 175متر,"2,800,000",شارع امير البحار رشدي,175,متر²,3,2
3982615,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  رشدى,"3,850,000",رشدى,405,متر²,4,2
3981543,شقة للبيع 180م بـــــ رشدي شارع سوريا الرئيسي (بالاسكندرية),"3,250,000",رشدي شارع سوريا,180,متر²,3,2
3970351,شقة للبيع 195م رشدى ( على الترام مباشرة - عمارة برند ),"3,950,000",Roushdy St.، Roshdy,195,متر²,3,2
3821221,تملك افخم شقة رشدى شارع سوريا مع الترام من مجموعة المعمارى,"5,535,000",7 شارع سوريا - رشدي - الاسكندرية,205,متر²,4,3
3832396,شقة للبيع 260 م رشدي (ش رشدي باشا),"3,700,000",ش رشدي باشا,260,متر²,3,3
3856974,"شقة للبيع غرفتين (رشدي) 1,6مليون","1,600,000",رشدي (ش احمد شوقي),105,متر²,2,1
3878966,رشدى شقة للبيع,"2,550,000",رشدى شارع إبراهيم حلمى,165,متر²,3,2
3973770,شقه للبيع 196 م رشدى (ش ابو قير) /56,"2,850,000",ش ابو قير,196,متر²,3,3
3967070,شقة للبيع 145م مصطفى كامل (مساكن الظباط ),"2,950,000",مصطفى كامل (مساكن الظباط ),145,متر²,3,1
3863576,شقة للبيع 176 م رشدي (على الترام) - نصف تشطيب,"3,600,000",(على الترام),176,متر²,3,3
3863578,شقة للبيع 176 م رشدي (على الترام) -تسهيلات فى السداد/3,"3,600,000",رشدي على الترام,176,متر²,3,3
3860477,شقة للبيع 175م رشدي (على شارع ابو قير) - بتسهيلات فى السداد /14,"3,350,000",على شارع ابو قير,175,متر²,3,3
3856021,شقة للبيع 186 م رشدي (على شارع ابو قير) - نصف تشطيب (3),"3,250,000",على شارع ابو قير,186,متر²,3,3
3849604,شقة للبيع 209 م رشدي (على الترام) - نصف تشطيب(3),"3,750,000",على الترام,209,متر²,3,3
3945441,شقق للبيع فى شارع احمد شوقي,"4,500,000",Ahmed Shawqi St.، Roshdy,405,متر²,3,3
4041793,شقه للبيع رشدي متفرع من شارع سوريا مطلات مفتوحه – برج شيك و رخصه,"3,300,000",رشدي متفرع من شارع سوريا مطلات مفتوحه – برج شيك و رخصه,155,متر²,3,2
3989654,رشدى  شارع رشدى باشا رشدى  شارع رشدى باشا 280 متر,"3,750,000",رشدى,280,متر²,3,3
3966635,رشدى شقة للبيع,"3,900,000",شارع المعسكر الروماني، رشدي,145,متر²,1,1
3936052,شقة للبيع في رشدي 165 م – بالقرب من الترام TMZ6913,"2,650,000",رشدي,165,متر²,3,1
3916813,شقه للبيع 115م برشدى على الترام  - رخصه,"1,750,000",وجهة العماره رشدي علي الترام مباشر,115,متر²,2,2
3961720,شقة للبيع 360 م رشدي (شارع سوريا),"3,400,000",رشدى (شارع سوريا),360,متر²,5,4
3904423,للبيع شقه شيك جدا280م  بشارع رشدى باشا –رخصه –برج شيك,"3,850,000",للبيع شقه شيك جدا280م  بشارع رشدى باشا –رخصه –برج شيك,280,متر²,3,3
3981088,شقة للبيع برشدي على الترام مباشرة عمارة براند,"3,950,000",شقة للبيع برشدي على الترام مباشرة,191,متر²,3,3
3959547,شقة للبيع 360م رشدى (ش رشدي باشا الرئيسي),"4,200,000",رشدى (ش رشدي باشا الرئيسي),360,متر²,4,2
4090630,شقق للبيع في الاسكندريه,"8,300,000",شارع سوريا، رشدي,325,متر²,3,3
4007824,رشـــدي [ علي التـــرام ] 115 م 2غ+2ر+2ح,"1,750,000",رشدي علي الترام,115,متر²,2,2
4074845,رووف بجليم,"1,000,000",شارع رشدي، رشدي,240,متر²,1,1
3858021,شقة للبيع 120م بـــــ رشدي علي التـــرام واجهه بحرية مطلات مفتوحة (بالاسكندرية),"1,700,000",رشدي علي الترام,120,متر²,3,1
3840043,شقة للبيع 120م بـــــ رشدي علي التـــرام واجهه بحرية (بالاسكندرية),"1,800,000",رشدي علي الترام,120,متر²,3,1
3853780,ستانلى ميخائيل ابادير شقة للبيع,"1,600,000",ستانلى,125,متر²,2,1
3951194,شقة للبيع بالأسكندرية اول نمره من البحر 250م,"4,000,000",استانلي,250,متر²,3,2
3930461,للبيع بارقي مناطق في الإسكندرية,"5,000,000",٣ شارع مصطفى كامل منطقة رشدي,230,متر²,3,2
3973780,شقه للبيع 196 م رشدى (ش ابو قير),"2,850,000",ش ابو قير,196,متر²,3,3
3836600,شقة 120 متر في رشدي,"1,800,000",شارع رشدي,120,متر²,3,1
3873024,شقة للبيع  117 م رشدي (ش رشدي),"1,750,000",ش رشدي,117,متر²,3,1
3867336,شقة للبيع  - رشدي - مساحة 120متر,"1,650,000",شقق للبيع بالاسكندريه رشدي - مساحة 120متر,120,متر²,2,1
4132855,شقه للبيع 310 متر,"5,400,000",الاسكندريه رشدي,310,متر²,4,3
4122415,شقه هاى سوبر لوكس 3 غرف و2 حمام,"3,200,000",رشدي,165,متر²,3,2
4121585,شقه فيو مفتوح رشدي شارع ابوقير ٣١٠ متر وتراس ١٠٠ متر,"6,300,000",رشدي شارع ابوقير بجوار الديب مول علي شارع سوريا,310,متر²,4,3
4128156,شقة دور اول مساحة ٢٧١ متر,"3,600,000",أمام مدرسة القلب المقدس تقاطع شارع المعسكر الروماني مع شارع سوريا شارع عبد الحميد العبادي,271,متر²,3,2
4115813,شقه للبيع ف رشدي أ.شارع سوريا ٢١,"5,500,000",رشدي أ.شارع سوريا ٢١,310,متر²,4,3
4112840,شقة  للبيع 310م,"5,400,000",رشدي_شارع سوريا,310,متر²,4,3
4122275,شقة للبيع بالاسكندرية رشدي 310 متر,"5,500,000",الاسكندرية رشدي,310,متر²,4,3
4088233,شقه للبيع برشدي شارع ابوقير,"3,200,000",رشدي,160,متر²,3,2
4063269,الوسطاء يمتنعون . . .   شقة ١١٦ متر للبيع . . . ترخيص اداري، تجاري، سكني . . . ت,"2,100,000",رشدي,116,متر²,2,1
4049172,شقة للبيع فى الاسكندرية,"5,000,000",الاسكندريه المندره,167,متر²,3,2
4126515,شقه 3 غرف للبيع,"3,650,000",رشدي شارع سوريا الاسكندريه,186,متر²,3,3
4029544,٢٩٠ متر  الدور التالت  اثنين اسنسير,"11,000,000",رشدي,290,متر²,3,3
4021969,دوبلكس 500م للبيع في منطقه رشدي اسكندرية,"10,000,000",رشدي,500,متر²,2,1
