id,title,price,location,size,size_unit,bedrooms,bathrooms
4000643,زيزينيا على الترام,"8,000,000",شارع عبد السلام عارف، زيزينيا,380,متر²,4,3
4009504,شقة فاخرة للبيع فى.زيزانيا,"12,000,000",Riad St، Zezenia,380,متر²,4,3
4129720,زيزينيا,"1,200,000",زيزينيا متفرع من شارع أبو قير رئيسي,130,متر²,2,1
4126618,شقة للبيع في زيزينيا قبلي شارع أبوقير,"1,500,000",زيزينيا قبلى شارع أبو قير رئيسي,155,متر²,3,1
4123073,شقه للبيع  330م زيزينيا(خطوات من الترام),"6,000,000",زيزينيا(خطوات من الترام),330,متر²,4,2
4089043,شقة للبيع 310م زيزينيا (على الترام مباشرة - عمارة برند),"7,200,000",زيزينيا (على الترام مباشرة - عمارة برند),310,متر²,4,3
4020744,زيزينيا بفيوهات كلها على البحر,"15,000,000",زيزينيا,390,متر²,6,4
4010735,للبيع شقه زيزينيا بالقرب من قصر المحافظ,"6,000,000",زيزينيا شارع قصر المحافظ,240,متر²,4,2
4039067,زيزينيا شقة للبيع ٣٨٠م  بزيزينينا خطوات من الترام,"5,400,000",شارع عبد السلام عارف، زيزينيا,380,متر²,5,3
4042481,شقة  للبيع  300 م زيزينيا  ( خطوات من سان ستيفانو  ),"4,500,000",زيزينيا شارع محمود فرغلي,300,متر²,3,3
3976242,زيزينياالمســـــــــــاحه : 300 متر,"4,800,000",شارع عبد السلام عارف، زيزينيا,300,متر²,1,1
3945573,شقه للبيع بموقع مميز بزيزينيا شارع ابوقير الرئيسي مساحه كبيره 240م,"3,850,000",زيزينيا ش ابوقير الرئيسي,240,متر²,3,3
4006020,بتسهيلات على سنه ونص فى زيزينيا,"5,800,000",زيزينيا,350,متر²,3,3
3975747,شقة للبيع 240 م  زيزنيا ( شارع أبو قير ),"3,800,000",Abou Quer St - El Horeya Rd، ZIZNYA,240,متر²,3,3
3960605,شقة تمليك في  زيزينيا,"3,900,000",زيزينيا على الترام مباشر,240,متر²,3,3
3976797,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه زيزينيا,"5,800,000",زيزينيا,350,متر²,3,3
3937507,شقة للبيع 260 م صافي زيزينيا خطـــوات من قصر الصفــا مطلات مفتوحة (بالاسكندرية),"3,200,000",زيزينيا خطوات من قصر الصفا,260,متر²,4,2
3910023,شقة للبيع 250م بــــ زيزينيا تري البحر مطلات مفتوحة (بالاسكندرية),"4,350,000",زيزينيا خطوات من البحر,250,متر²,3,2
3900934,زيزينيا شقة للبيع,"5,000,000",شارع إبراهيم العطار، زيزينيا,310,متر²,1,1
3825767,شقة للبيع 250م  بــــ زيزينيا تري البحر (بالاسكندرية),"4,500,000",زيزينيا شارع قصر الصفا,250,متر²,3,2
3990238,للبيع - ستوديو 50 متر² lux,"800,000",شارع عبد السلام عارف، زيزينيا,50,متر²,1,1
3877718,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  زيزينيا,"3,200,000",زيزينيا,240,متر²,3,3
3981456,شقة للبيع  150م بـــ زيزينيا خطوات من قصر الصفا (بالاسكندرية),"2,450,000",زيزينيا خطوات من قصر الصفا,150,متر²,3,2
4101363,شقق للبيع  بزيزينيا ابو قير بفيوهات مفتوحة,"2,200,000",Kasr Al Safa St، Zezenia,115,متر²,2,1
4095885,"شقة للبيع 200 م زيزينيا (ش مسجد يحيى) - 1,700,000 ج كاش","1,700,000",Ibrahim El-Attar St، Zezenia,200,متر²,3,1
3922328,شقه للبيع 135م بزيزينيا خلف جامع يحيي–رخصه- برج شيك مدخل شيك,"1,550,000",بزيزينيا خلف جامع يحيي–رخصه- برج شيك مدخل شيك وامن 24 ساعه  مطلات مفتوحه وتهويه جيده,135,متر²,2,2
3996459,شقه للبيع 135م بزيزينيا خلف جامع يحيي–رخصه- برج شيك جدا مدخل شيك وامن,"1,600,000",زيزينيا,135,متر²,2,2
3851610,شقة للبيع  117م  بـــ زيزينيا شارع رياض باشا (بالاسكندرية),"1,450,000",زيزينيا شارع رياض باشا,117,متر²,3,1
3851462,شقه للبيع ف اسكندريه,"1,100,000",شقه للبيع ف اسكندريه,128,متر²,2,1
3937848,للبيع شقة في زيزينيا,"1,600,000",شارع إبراهيم العطار، زيزينيا,180,متر²,1,1
3970471,شقة  للبيع 120 م  زيزينيا (شارع ابراهيم العطار),"1,750,000",زيزينيا شارع ابراهيم العطار,120,متر²,3,12
4088637,شقة للبيع,"1,180,000",بجوار جامع يحيى,130,متر²,4,1
4124150,شقة للبيع زيزينيا بجوار جامع يحيى,"1,180,000",الاسكندريه زيزينيا,130,متر²,4,1
4122426,شقة لقطة للبيع ابراهيم العطار من المالك مباشرة,"1,500,000",الاسكندريه زيزينيا,155,متر²,3,1
4073672,شقة للبيع بالاسكندرية زيزينيا 115 متر,"600,000",الاسكندرية زيزينيا,115,متر²,3,2
4069454,شقة ألترا لوكس للبيع زيزينيا علي الترام مباشر خطوات من سان ستيفانو والبحر,"7,000,000",الاسكندريه - زيزينيا,280,متر²,4,3
4054800,شقه للبيع بمساحه 115 متر صافي بل قرب من زيزينا,"620,000",الاسكندريه  بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,115,متر²,3,2
4050339,شقه للبيع قرب من زيزينا عند محطه ترام صفر,"600,000",زيزينا,115,متر²,3,2
4028156,شقه للبيع 115 متر,"620,000",الاسكندريه بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,115,متر²,3,2
4026890,شقه للبيع زيزينا عند محطه ترام صفر,"620,000",زيزينا,115,متر²,3,2
4026428,شقه للبيع بمساحه 115 متر في زيزنيا,"620,000",زيزنيا,115,متر²,3,1
4026116,شقه للبيع  زيزينا عند محطه ترام صفر,"620,000",زيزينا - ترام صفر,115,متر²,3,2
4022881,شقه للبيع بمساحه 115 متر  3 اوض   ريسبشن قطعتين  حمامين الشقه كامله العدادت,"620,000",اسكندريه /زيزينا عند محطه ترام صفر  عند شارع سيف,115,متر²,3,2
4011803,زيزينيا بجوار  مجمع المدارس  شقة ارضى  للبيع 60 متر  2 غرفة وصالة,"800,000",الاسكندريه زيزينيا,60,متر²,2,1
4008929,شقة ب زيزينيا بفيوهات كلها على البحر,"15,000,000",الاسكندرية - زيزينيا,390,متر²,6,4
4032557,شقة للبيع بالاسكندرية زيزينيا 115 متر,"620,000",الاسكندرية زيزينيا,115,متر²,3,1
4030230,شقه للبيع بمساحه 115 متر صافي بل قرب من زيزينا,"620,000",الاسكندرية زيزينيا,115,متر²,3,2
4024544,زيزينيا خلف التحريات  العسكرية خطوات  من شارع ابو قير  شقة للبيع   170متر,"2,400,000",الاسكندريه زيزينيا,170,متر²,3,2
3986377,شقه للبيع بمساحه 115 متر صافي بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,"620,000",الاسكندريه زيزينيا,115,متر²,3,2
3992861,شقه للبيع بمساحه 115 متر صافي بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,"620,000",الاسكندريه بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,115,متر²,3,2
3955647,شقه للبيع,"620,000",الاسكندريه محطه ترام صفر  عند شارع سيف,115,متر²,3,2
3964787,شقة للبيع بالاسكندرية زيزينيا 115 متر,"620,000",الاسكندرية زيزينيا,115,متر²,3,2
3960010,شقه للبيع عند محطه ترام صفر,"620,000",زيزينا - محطه ترام صفر,115,متر²,3,2
4050887,شقة للبيع بالاسكندرية زيزينيا 115 متر,"600,000",الاسكندرية زيزينيا,115,متر²,3,2
4009603,زيزنيا بالقرب من شارع المحافظ وقصر المجوهرات,"1,900,000",الاتسكندريه - زيزنيا,100,متر²,1,2
3987344,شقه للبيع  زيزينا عند محطه ترام صفر,"620,000",زيزينا,115,متر²,3,2
3908006,شقة لقطة بزيزينيا95 متر,"1,150,000",الاسكندريه زيزينيا,95,متر²,2,1
3827676,شقة للبيع,"1,500,000",باكوس اسكندرية,120,متر²,3,1
4112848,شقة  للبيع 265م,"5,500,000",الاسكندريه_زيزنيا,265,متر²,4,3
4024874,شقة فاخرة 145م للبيع زيزنيا قرب مدرسة مبارك,"1,800,000",الاسكندريه زيزينيا,145,متر²,3,1
3988724,شقه للبيع زيزينيا تانى نمره من شارع ابو قير ١٥٠ متر ٤ غرف ٢ حمام,"2,500,000",زيزينيا,150,متر²,4,2
3959594,شقه للبيع بمساحه 115 متر,"620,000",أسكندريه زيزنيا,115,متر²,3,2
3949797,شقه للبيع زيزينا عند محطه ترام صفر,"580,000",زيزينا عند محطه ترام صفر,115,متر²,3,2
3892590,شقة 150 متر للبيع بموقع متميز زيزنيا,"1,700,000",زيزينيا الاسكندرية,150,متر²,3,2
3930275,شقة للبيع فى زيزينيا شارع إبراهيم العطار قريبة جدا من دار محمد رحب للمسنين,"950,000",الاسكندريه - زيزينيا,125,متر²,2,1
3914239,شقة 128 متر مربع للبيع زيزنيا,"1,536,000",الاسكندريه زيزينيا,128,متر²,2,1
4011359,شقة للبيع فى زيزينيا,"950,000",زيزينيا شارع إبراهيم العطار,125,متر²,2,1
3937740,شقة للبيع فى زيزينيا,"950,000",زيزينيا شارع إبراهيم العطار,125,متر²,2,1
3930521,شقة للبيع فى زيزينيا شارع إبراهيم العطار,"950,000",زيزينيا شارع إبراهيم العطار,125,متر²,2,1
3826108,شقة  للبيع 118م,"650,000",الاسكندريه_زيزنيا,118,متر²,3,1
4086646,شقة لقطة بزيزينيا 95 م,"1,250,000",زيزينيا الاسكندرية,95,متر²,2,1
4007164,للبيع شقه في زيزنيا,"650,000",الاسكندرية - زيزنيا,90,متر²,2,1
4000887,للبيع شقه مميزه في زيزينيا,"1,200,000",زيزينيا-الاسكندرية,95,متر²,2,1
3876824,للبيع شقه في زيزنيا,"650,000",زيزنيا,90,متر²,2,1
3877063,شقة للبيع فى زيزينيا الدور ال13 وليس الآخير 120 متر,"1,000,000",اسكندريه \زيزينيا ٦\ ش النقيب سعيد ابراهيم متفرع من ش رياض بعد شركة الكهرباء ، من ناحية شارع ابو قير,120,متر²,3,1
3869202,شقة للبيع فى زيزينيا من المالك مباشرة الوسطاء يمتنعون 120 متر,"1,000,000",الاسكندريه زيزينيا,120,متر²,3,1
3863236,شقه للبيع بزيزينيا لعمارة ٦ ادوار الدور شقة 152متر,"1,200,000",الاسكندريه - زيزينيا,152,متر²,4,2
4022745,شقه للبيع هاى لوكس  الدور العاشر مساحه ١٣٥ متر ٣ غرف اتين مفتوحين على بعض,"1,750,000",اسكندريه/زيزينا قبلى قريبه من جامع يحيى,135,متر²,3,2
3956622,شقه للبيع بزيزينيا١٣٠ م,"1,500,000",الاسكندرية,130,متر²,3,2
4026752,شقة للبيع 140م في زيزينيا,"1,700,000",زيزينيا-الاسكندرية,140,متر²,3,2
