id,title,price,location,size,size_unit,bedrooms,bathrooms
3880253,سان ستيفانو,"2,800,000",ثروت على الترام مباشر,140,متر²,3,2
4125901,شقه للبيع 150م بسان ستيفانو خلف ابوعوض –برج شيك,"3,200,000",شقه للبيع 150م بسان ستيفانو خلف ابوعوض,150,متر²,3,2
4116816,روف لقطه للبيع – ســان ســتيفــانو –بمطلات علي البحر – 190م صافي,"2,850,000",روف لقطه للبيع – ســان ســتيفــانو –بمطلات علي البحر – 190م صافي,190,متر²,3,2
3977751,شقة للبيع 135  م على البحر مباشرة ( بجوار سان ستيفانو مول ),"3,700,000",على البحر مباشرة بجانب سان ستفانو مول,135,متر²,2,2
3970095,شقة للبيع 600 م سان ستيفانو (عمارة النحاس - على البحر مباشره),"30,000,000",عمارة النحاس - على البحر مباشره,600,متر²,6,6
4016352,شقة دوبلكس  للبيع 300 م سان ستيفانو (علي البحر مباشرة -مطلات بالكامل على البحر ),"7,250,000",سان ستيفانو (علي البحر مباشرة - مطلات بالكامل على البحر ),300,متر²,4,4
3985802,شقة للبيع 150 م ثروت (على االترام مباشرة ),"2,750,000",ثروت شارع عبد السلام عارف,150,متر²,3,2
4012632,شقة ثلاث حجرات سان ستيفانو ترام باطلالات خارجية,"1,800,000",سان ستيفانو شارع عبد السلام عارف,120,متر²,3,2
4039858,شقة للبيع شارع عبد الخالق ثروت,"2,800,000",ثروت شارع أبو قير رئيسي,145,متر²,3,2
4039061,سان ستيفانو مابين الترام وأبو قير,"3,500,000",شارع عبد السلام عارف، سان ستيفانو,207,متر²,3,3
4027500,شقة للبيع 135 م سان ستيفانو  (على البحر مباشر ),"4,000,000",سان ستيفانو  على البحر مباشر,135,متر²,3,2
3930089,شقه للبيع فى سان ستيفانو  TMZ6540,"4,500,000",سان ستيفانو,210,متر²,4,4
3937578,شقه للبيع في سان ستيفانو واجهه على فيو مفتوح 207 م TMZ7000,"3,730,000",سان استيفانو,207,متر²,3,3
4031813,شقة للبيع 267 م سان ستيفانو (الفور سيزونز),"15,000,000",سان ستيفانو (الفور سيزونز),267,متر²,3,4
3971367,شقه للبيع 150م بسانستيفانو خلف ابوعوض –برج شيك,"3,200,000",بسانستيفانو خلف ابوعوض –برج شيك,150,متر²,3,2
3847160,شقة للبيع 220 م سان ستيفانو  (على الترام),"4,000,000",على الترام,220,متر²,4,3
3963780,شقة للبيع 160 م ثروت (ش عبد المنعم الدليل),"2,800,000",ثروت (ش عبد المنعم الدليل),160,متر²,3,2
3865087,شقة للبيع 180 بـــــ سان ستيفانو  بين الترام والبحر مطلات مفتوحة (بالاسكندرية),"2,950,000",سان سيتفانو بين الترام والبحر,180,متر²,3,2
3948602,شقة للبيع 152 م سان ستيفانو (خطوات من الترام) -,"2,000,000",خطوات من الترام,152,متر²,3,3
3948380,شقة للبيع 235م بــــ ثروت شارع عبد الحميد الديب مطلات مفتوحة (بالاسكندرية),"3,250,000",ثروت شارع عبد الحميد الديب,235,متر²,3,2
4010501,شقة  للبيع  300 م زيزينيا  ( خطوات من سان ستيفانو  ),"4,000,000",زيزنيا خطوات من سان ستفانو,300,متر²,3,3
4017419,شقق للبيع بسان ستيفانو الاسكندرية,"5,336,000",سان ستيفانو,232,متر²,3,3
4048318,شقة  للبيع 136 م سان ستيفانو  ( ابراج الفور سيزون ),"9,500,000",ابراج الفور سيزون,136,متر²,2,2
3867311,شقة للبيع 120م بـــــ ثروت بين الترام والبحر (بالاسكندرية),"1,600,000",ثروت بين الترام والبحر,120,متر²,2,2
3932068,شقه للبيع بالقرب من الفورسيزون سان ستيفانوا بمساحه 215م,"7,095,000",سان ستيفانو,215,متر²,3,3
3929556,شقه للبيع بمساحه 210 م بسان ستيفانوا,"6,720,000",سان ستيفانوا,210,متر²,4,3
3845983,شقة للبيع - da سان ستيفانو - الفورسيزونز جراند بلازا,"15,000,000",سان استيفانو - الفورسيزونز جراند بلازا,320,متر²,4,3
3982361,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه,"3,000,000",سان ستيفانو,190,متر²,3,2
3902492,سان ستيفانو عند ابوعوض ناصية,"2,900,000",سانستيفانو,185,متر²,3,2
3955982,شقة للبيع 136م بـــ سان ستيفانو ابراج الفورسيزون (بالاسكندرية),"7,500,000",سان سيتفانو ابراج الفور سيزون,136,متر²,2,2
3898577,شقة للبيع في اسكندرية في سان استيفانو خلف فندق 26 يوليو,"1,600,000",سان استيفانو,120,متر²,2,2
3957351,سان ستيفانو,"2,400,000",سان ستيفانو  مابين الترام والبحر,140,متر²,3,2
3972840,شقة للبيع 250 م لوران  (علي الترام مباشرة ),"3,100,000",لوران على الترام مباشرة,250,متر²,4,2
4044557,‏شقة في أفضل مكان في اسكندرية,"15,000,000",شارع الكازينو، سان ستيفانو,320,متر²,3,3
3863740,شقه فى سان استفنو,"3,750,000",سان ستيفانو,250,متر²,3,2
3918691,شقة للبيع 175 م بــ سان سيتفـانو علي البحـــر مباشرة (بالاسكندرية),"4,100,000",سان ستيـفانو علي البحر,175,متر²,3,2
4003867,شقة للبيع 600 م سان ستيفانو ( عمارة النحاس) على البحر مباشرة,"20,000,000",سان ستيفانو ( عمارة النحاس) على البحر مباشرة,600,متر²,6,4
3867003,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  سان ستيفانو,"2,250,000",سانستيفانو,150,متر²,3,4
3966026,دوبلكس علي البحر في الاسكندريه,"12,500,000",سان ستفانو,600,متر²,5,3
4113496,شقه للبيع,"1,450,000",الاسكندريه شارع ابو العرب بالقرب من مدرسة سان فنسان والنفق الجديد وخطوات للبحر,110,متر²,2,1
4069407,شقة للبيع سان ستيفانو بالقرب من فتح الله  خطوات من البحر والفوسيزون مساحة 140,"2,400,000",الاسكندريه - سانستيفانو,140,متر²,3,2
3961001,شقة رائعة للبيع بمنطقة سان ستيفانو علي البحر في الاسكندرية,"2,850,000",سان ستيفانو,133,متر²,2,1
4063271,شقه ١٥٠متر بميدان شكري باشا بناء لاكبر شركات معماريه بالإسكندرية ولها سمعه طيبه,"3,450,000",سان ستيفانو,150,متر²,3,2
4063273,شقتين في سان استيفانوا في وش بعض خطوتين من البحر و الترام  و مول سان استيفانوا,"4,700,000",سان ستيفانو,240,متر²,4,2
3865516,شقه للبيع133 متر,"2,850,000",الاسكندريه سان ستيفانو,133,متر²,2,1
4012144,شقه للبيع  بموقع متميز ارقى مناطق الإسكندرية  سان ستيفانو على ترام اما سانستيف,"3,300,000",سان ستيفانو,135,متر²,3,1
3997025,شقه للبيع  في الاقبال,"1,150,000",الاقبال,100,متر²,3,1
4026734,شقة بسان ستيفانو ، شارع أبو عوض,"1,500,000",سان ستيفانو-الاسكندريه,175,متر²,3,1
4013598,للبيع شقة فندقية الفورسيزون سان ستيفانو,"8,500,000",سان ستيفانو-الاسكندريه,136,متر²,2,2
3935515,Apartment for sale- San Stefano Alexandria,"3,850,000",سان ستيفانو,211,متر²,3,3
3926220,شقه للبيع في ثروت قبل سان ستيفانو-الاسكندريه,"900,000",ثروت,100,متر²,4,1
4026372,شقه بثروت للبيع  المساحه 250 متر,"2,900,000",ثروت,250,متر²,3,2
3940731,شقة على مساحة 120 متر  الإسكندرية - سان ستيفانو,"1,600,000",سان ستيفانو,120,متر²,2,2
3891524,شقه للبيع فورسيزون,"15,000,000",fourseason,300,متر²,4,3
3984002,شقق 140 متر² للبيع فى شارع عبد السلام عارف,"2,000,000",الاسكندريه سان استفانوا بين الترام والبحر,140,متر²,3,1
3949788,شقه للبيع فى سان ستيفانو علي البحر مباشرا,"4,300,000",سان ستيفانو,160,متر²,3,2
3880253,سان ستيفانو,"2,800,000",ثروت على الترام مباشر,140,متر²,3,2
4125901,شقه للبيع 150م بسان ستيفانو خلف ابوعوض –برج شيك,"3,200,000",شقه للبيع 150م بسان ستيفانو خلف ابوعوض,150,متر²,3,2
4116816,روف لقطه للبيع – ســان ســتيفــانو –بمطلات علي البحر – 190م صافي,"2,850,000",روف لقطه للبيع – ســان ســتيفــانو –بمطلات علي البحر – 190م صافي,190,متر²,3,2
3977751,شقة للبيع 135  م على البحر مباشرة ( بجوار سان ستيفانو مول ),"3,700,000",على البحر مباشرة بجانب سان ستفانو مول,135,متر²,2,2
3970095,شقة للبيع 600 م سان ستيفانو (عمارة النحاس - على البحر مباشره),"30,000,000",عمارة النحاس - على البحر مباشره,600,متر²,6,6
4016352,شقة دوبلكس  للبيع 300 م سان ستيفانو (علي البحر مباشرة -مطلات بالكامل على البحر ),"7,250,000",سان ستيفانو (علي البحر مباشرة - مطلات بالكامل على البحر ),300,متر²,4,4
3985802,شقة للبيع 150 م ثروت (على االترام مباشرة ),"2,750,000",ثروت شارع عبد السلام عارف,150,متر²,3,2
4012632,شقة ثلاث حجرات سان ستيفانو ترام باطلالات خارجية,"1,800,000",سان ستيفانو شارع عبد السلام عارف,120,متر²,3,2
4039858,شقة للبيع شارع عبد الخالق ثروت,"2,800,000",ثروت شارع أبو قير رئيسي,145,متر²,3,2
4039061,سان ستيفانو مابين الترام وأبو قير,"3,500,000",شارع عبد السلام عارف، سان ستيفانو,207,متر²,3,3
4027500,شقة للبيع 135 م سان ستيفانو  (على البحر مباشر ),"4,000,000",سان ستيفانو  على البحر مباشر,135,متر²,3,2
3930089,شقه للبيع فى سان ستيفانو  TMZ6540,"4,500,000",سان ستيفانو,210,متر²,4,4
3937578,شقه للبيع في سان ستيفانو واجهه على فيو مفتوح 207 م TMZ7000,"3,730,000",سان استيفانو,207,متر²,3,3
4031813,شقة للبيع 267 م سان ستيفانو (الفور سيزونز),"15,000,000",سان ستيفانو (الفور سيزونز),267,متر²,3,4
3971367,شقه للبيع 150م بسانستيفانو خلف ابوعوض –برج شيك,"3,200,000",بسانستيفانو خلف ابوعوض –برج شيك,150,متر²,3,2
3847160,شقة للبيع 220 م سان ستيفانو  (على الترام),"4,000,000",على الترام,220,متر²,4,3
3963780,شقة للبيع 160 م ثروت (ش عبد المنعم الدليل),"2,800,000",ثروت (ش عبد المنعم الدليل),160,متر²,3,2
3865087,شقة للبيع 180 بـــــ سان ستيفانو  بين الترام والبحر مطلات مفتوحة (بالاسكندرية),"2,950,000",سان سيتفانو بين الترام والبحر,180,متر²,3,2
3948602,شقة للبيع 152 م سان ستيفانو (خطوات من الترام) -,"2,000,000",خطوات من الترام,152,متر²,3,3
3948380,شقة للبيع 235م بــــ ثروت شارع عبد الحميد الديب مطلات مفتوحة (بالاسكندرية),"3,250,000",ثروت شارع عبد الحميد الديب,235,متر²,3,2
