id,title,price,location,size,size_unit,bedrooms,bathrooms
3906365,شقة 285 م للبيع في سبورتنج( بضمان شركة الفرات للاستثمار العقاري ),"10,248,000",سبورتنج - امتداد شارع عمر لطفي - تطل علي ارض الجولف مباشرة,285,متر²,5,4
4131811,شقة للبيع سوبر لوكس,"4,100,000",محمود حسن فهمي,155,متر²,4,2
4082512,شقة 440 متر باسبورتنج ش بورسعيد,"6,750,000",سبورتنج شارع بورسعيد,440,متر²,4,3
4082533,شقة باسبورتنج 240 متر تشطيب سوبر لوكس حديث,"2,650,000",سبورتنج شارع بورسعيد,240,متر²,3,3
4127524,شقة للبيع فى سبورتنج,"5,600,000",سبورتنج شارع ابو قير,160,متر²,3,2
4133198,شقة  للبيع سبورتنج,"4,485,000",سبورتينغ  أبو قير رئيسي,195,متر²,3,2
3981755,شقة لليع سبورتنج الاسكندرية ٢٧٠ م,"4,250,000",سبورتنج,270,متر²,4,3
3980322,شقة للبيع فى سبورتنج - مطلات على النادى - اول سكن,"6,000,000",Abou Quer St، Sporting,185,متر²,3,3
4089385,شقه للبيع 110م سبورتنج (فيو نادى سبورتنج - خطوات من ش ابوقير الرئيسي),"1,700,000",سبورتنج (فيو نادى سبورتنج - خطوات من ش ابوقير الرئيسي),110,متر²,3,1
3889218,شقق للبيع فى شارع أبو قير,"3,700,000",سبورتنج (ش أبوقير الرئيسي),200,متر²,3,3
4081768,شقق للبيع بسبورتنج ترام الاسكندرية,"1,750,000",سبورتنج,90,متر²,2,1
4081763,شقق للبيع بسبورتنج شارع بورسعيد الرئيسي الاسكندرية,"4,500,000",سبورتنج شارع بورسعيد الرئيسي,257,متر²,4,3
4076387,شقة للبيع 200م سبورتنج  ( على الترام مباشرة - امام نادى سبورتنج),"3,850,000",سبورتنج  ( على الترام مباشرة - امام نادى سبورتنج),200,متر²,3,2
4096725,سبورتينج,"2,500,000",سبورتينج على البحر,175,متر²,3,1
4010417,شقة للبيع 205 م سبورتنج  ( شارع احمد علام ),"3,500,000",سبورتنج شارع احمد علام,205,متر²,3,2
4073324,شقة باسبورتنج 240 متر تشطيب سوبر لوكس حديث,"2,650,000",سبورتنج شارع بورسعيد,240,متر²,3,3
4055966,شقة للبيع 165 م سبورتنج ( علي الترام مباشره ),"3,900,000",علي الترام مباشره,165,متر²,3,2
4093675,شقه للبيع سبورتينج متفرع من شارع الدلتا 145م تري البحر بسعر لقطه,"2,350,000",سبورتينج متفرع من شارع الدلتا,145,متر²,3,1
4093664,شقه للبيع سبورتينج تري بحر جانبي بوضوح 125متر,"2,200,000",سبورتينج,125,متر²,3,1
4033996,شقة للبيع 165متر سبورتنج شارع محمد الفحام,"2,750,000",سبورتينغ  شارع محمد الفحام,165,متر²,3,2
4033781,شقة دوبلكس  للبيع 625 م سبورتنج (ش ابو قير),"15,000,000",سبورتنج ش ابوقير,625,متر²,6,5
4003493,شقة للبيع سبورتينج  بفيو مفتوح على النادى,"5,250,000",سبورتنج,250,متر²,4,4
3937168,شقة للبيع 180م بـــ سبورتنج علي التــرام مطلات كفتوحة علي النــادي (بالاسكندرية),"4,500,000",سبورتنج علي التـــــرام,180,متر²,3,2
3932497,شقه للبيع في سبورتنج 370 متر TMZ6442,"8,500,000",سبورتنج,370,متر²,4,3
3970858,شقة للبيع 165م  بــــــ سبورتنج خطوات من النادي مطلات مفتوحة) (بالاسكندرية),"2,600,000",سبورتنج خطوات من النادي,165,متر²,3,2
3924338,شقة للبيع 175 م سبورتنج (ش ابو قير مباشره - فيو مباشر على نادى سبورتنج),"5,700,000",ش ابو قير مباشره - فيو مباشر على نادى سبورتنج,175,متر²,3,2
3840300,شقة للبيع 275 م سبورتنج (ش بورسعيد),"4,000,000",سبورتنج (ش بورسعيد),275,متر²,3,2
