id,title,price,location,size,size_unit,bedrooms,bathrooms
3816597,شقه مميزه فى ستانلى,"3,800,000",شارع عبد العزيز فهمي، ستانلي,270,متر²,1,1
3947408,شقه للبيع عماره مرخصه نص تشطيب مساحة 270 متر,"3,800,000",شارع عبد العزيز فهمي، ستانلي,270,متر²,3,3
4016697,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  ستانلى,"4,200,000",ستانلى,200,متر²,4,2
4103692,شقة للبيع 200م ستانلي ( شارع عبد العزيز فهمي ),"6,250,000",شارع عبد العزيز فهمي,200,متر²,3,2
4102453,شقة للبيع 340م ستانلى (على البحر مباشرة),"19,000,000",ستانلى (على البحر مباشرة),340,متر²,5,4
4104611,شقة للبيع بستانلى,"7,300,000",استانلى على بحر,182,متر²,3,2
4067945,شقه بأرقي المناطق بستانلى شارع لابوار تري البحر بوضوح 160م,"3,650,000",ستانلى,160,متر²,3,2
4112097,شقتك في ســــــتـانـــلــي 100متر - تري الـــبحــر بسعر لقطه – رخصه  تاني نمره,"1,600,000","شارع عبد العزيز فهمي, ستانلي",100,متر²,2,1
4042329,شقة للبيع 320 م  ستانلي ( تاني نمره من البحر ),"12,600,000",ستانلي طريق الجيش,320,متر²,4,3
3976730,شقة فى ستانلى خطوات من البحر 200 متر,"4,200,000",ستانلى,200,متر²,4,2
3947337,شقة للبيع 215 م ستانلى (متفرع من البحر),"2,950,000",متفرع من البحر ستانلى,215,متر²,3,3
3991690,شقة للبيع فى ستانلى خطوات من البحر - مدخل فندقى 200م صافي,"4,200,000",ستانلى,200,متر²,4,2
3980909,شقه للبيع بستانلى بمطلات كلها مفتوحه تري البحر 160 م – رخصه وبرج شيك,"3,650,000",ستانلى,160,متر²,3,2
4003781,شقة للبيع 200 م2 ستانلي,"3,900,000",ستانلي,200,متر²,3,2
3989547,ستانلى 160 متر,"3,650,000",ستانلى,160,متر²,3,2
3911368,شقة للبيع بالدواليب  200م بــ ستانــلي خطوات من البحـر مطلات مفتوحة (بالاسكندرية,"4,150,000",ستانلي خطوات من البحر,200,متر²,3,2
4010067,شقة للبيع 164م بــــ  ستانلي خطوات من البحــــر  (بالاسكندرية),"2,500,000",ستانلي شارع عبد العزيز فهمي,164,متر²,3,2
3836936,"شقة للبيع 213 م ستانلي (ش عبدالعزيز فهمي) - 3,150,000 ج. كاش","3,150,000",Abd El-Aziz Fahmy St.، Stanley,213,متر²,3,2
3983154,شقة للبيع بالبـــــاكية  200م بـــــ ستانلي خطوات من البحــــر (بالاسكندرية),"4,000,000",ستانلي شارع عبد العزيز فهمي,200,متر²,3,2
3944198,للبيع - شقق 182 متر² super_lux,"6,200,000",ستانلي، الاسكندرية,182,متر²,1,1
3872669,ستانلى,"4,850,000",ستانلى على بحر,285,متر²,4,2
3899918,شقه للبيع 180 م ستانلى ( خطوات من البحر - شارع المتحف البحرى ),"3,500,000",ستانلى ( خطوات من البحر - شارع المتحف البحرى ),180,متر²,3,2
3872270,شقتك بأرقي منطقه بستانلي بمطلات  كلها مميزه علي جاردن خاصه  235 م,"4,000,000",ستانلي - ش عبدالحميد العبادي,235,متر²,4,3
3911408,شقة للبيع 125 م ستانلى (ش ذكي بدوي),"1,650,000",ش ذكي بدوي,125,متر²,2,1
3916854,شقه للبيع 236م بستانلى بالقرب من فتح الله ( أول ساكن ) – رخصه –برج شيك,"4,000,000",ستانلي بالقرب من فتح الله . امتداد عبد الحميد العبادي,236,متر²,3,3
3877779,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  ستانلى,"1,400,000",ستانلى,125,متر²,2,1
3874583,استانلى شقة للبيع,"3,500,000",ستانلي، الاسكندرية,220,متر²,1,1
4007927,شقه لقطه للبيع بستانلي موازي للبحر وتري بحر –رخصه,"1,600,000",بستانلي موازي للبحر وتري بحر –رخصه,125,متر²,2,1
3992628,شقة للبيع 125 م ستانلى (ش ذكي بدوي),"1,650,000",ش ذكي بدوي,125,متر²,2,1
3831690,شقة للبيع 165 م ستانلى (امام كوبري ستانلى),"4,000,000",امام كوبري ستانلى,165,متر²,3,2
3959446,شقة  للبيع 125م بـــ ستانلي خطوات من البحــــــر مطلات مفتوحة (بالاسكندرية),"1,650,000",ستانلي خطوات من البحــــــر,125,متر²,3,1
3826910,ستانلى قمرايه رشدى بحر مباشر شقة للبيع,"14,000,000",ستانلى,600,متر²,5,4
3821203,ستانلى شارع بابلو,"1,500,000",ستانلى,125,متر²,2,1
4023337,٧٨٨ طريق الجيش المندره اعلي سلطنه ستانلي,"1,800,000",شارع عبد العزيز فهمي، ستانلي,120,متر²,2,1
3680784,شقة للبيع بستانلي الإسكندرية بحر مباشر,"4,200,000",ستانلي,165,متر²,3,2
3838636,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه ستانلى,"1,850,000",ستانلى,130,متر²,3,2
3821180,ستانلى بالقرب من مدرسه جيرار,"1,350,000",ستانلى,125,متر²,2,1
4132868,شقه فاخره باستانلي,"5,000,000",الاسكندريه ستانلي,235,متر²,3,1
4131553,شقه للبيع في استانلي,"3,000,000",ستانلي,154,متر²,3,2
4026033,"للبيع شقة 3 غرف و2 صالة ب2 باب شقه,164 متر","2,500,000",ستانلي,164,متر²,3,2
3879115,شقه فاخره باستانلي235 متر,"4,550,000",الاسكندريه ستانلي,235,متر²,3,2
4048140,شقه في ستانلي,"750,000",ستانلي، الاسكندرية,80,متر²,2,1
3910659,شقه للبيع 155 م في منطقه ستانلي,"2,500,000",ستانلي شارع عبدالعزيز فهمي,155,متر²,2,1
3896246,شقه للبيع في ستانلي شارع عبدالعزيز فهمي,"2,500,000",ستانلي شارع عبدالعزيز فهمي,155,متر²,2,1
3910812,شقه للبيع شارع عبدالعزيز فهمي,"2,500,000",ستانلي شارع عبدالعزيز فهمي,155,متر²,2,1
3816597,شقه مميزه فى ستانلى,"3,800,000",شارع عبد العزيز فهمي، ستانلي,270,متر²,1,1
3947408,شقه للبيع عماره مرخصه نص تشطيب مساحة 270 متر,"3,800,000",شارع عبد العزيز فهمي، ستانلي,270,متر²,3,3
4016697,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  ستانلى,"4,200,000",ستانلى,200,متر²,4,2
4103692,شقة للبيع 200م ستانلي ( شارع عبد العزيز فهمي ),"6,250,000",شارع عبد العزيز فهمي,200,متر²,3,2
4102453,شقة للبيع 340م ستانلى (على البحر مباشرة),"19,000,000",ستانلى (على البحر مباشرة),340,متر²,5,4
4104611,شقة للبيع بستانلى,"7,300,000",استانلى على بحر,182,متر²,3,2
4067945,شقه بأرقي المناطق بستانلى شارع لابوار تري البحر بوضوح 160م,"3,650,000",ستانلى,160,متر²,3,2
4112097,شقتك في ســــــتـانـــلــي 100متر - تري الـــبحــر بسعر لقطه – رخصه  تاني نمره,"1,600,000","شارع عبد العزيز فهمي, ستانلي",100,متر²,2,1
4042329,شقة للبيع 320 م  ستانلي ( تاني نمره من البحر ),"12,600,000",ستانلي طريق الجيش,320,متر²,4,3
3976730,شقة فى ستانلى خطوات من البحر 200 متر,"4,200,000",ستانلى,200,متر²,4,2
3947337,شقة للبيع 215 م ستانلى (متفرع من البحر),"2,950,000",متفرع من البحر ستانلى,215,متر²,3,3
3991690,شقة للبيع فى ستانلى خطوات من البحر - مدخل فندقى 200م صافي,"4,200,000",ستانلى,200,متر²,4,2
3980909,شقه للبيع بستانلى بمطلات كلها مفتوحه تري البحر 160 م – رخصه وبرج شيك,"3,650,000",ستانلى,160,متر²,3,2
4003781,شقة للبيع 200 م2 ستانلي,"3,900,000",ستانلي,200,متر²,3,2
