id,title,price,location,size,size_unit,bedrooms,bathrooms
3626608,شقة 114م للبيع في زينيا مروج -الاسكندرية,"2,359,800",مروج,114,متر²,3,1
4096322,شقق 151 متر² للبيع فى سموحة الجديدة,"1,880,000",كومباوند اليكس ستارت - سموحة الجديده,151,متر²,3,2
4056584,شقة للبيع 124 م سموحة الجديدة  (بجوار نادي الاتحاد الجديد)  / p 63,"2,100,000",بجوار نادي الاتحاد الجديد,124,متر²,3,1
4056588,شقة للبيع 124 م سموحة الجديدة  (بجوار نادي الاتحاد الجديد) p 63,"2,100,000",سموحة الجديدة  (بجوار نادي الاتحاد الجديد),124,متر²,3,1
4053835,شقة للبيع 145 م سموحة الجديدة  (كومباوند سموحة اليجانس  ),"1,750,000",سموحة الجديدة,145,متر²,3,2
3890330,شقة  للبيع 114 م بكمباوند العروبة سكاي لاين بالقسط وتسهيلات فى السداد,"3,933,000",كمباوند العروبة سكاي لاين,114,متر²,2,2
4051852,شقة للبيع 195 م سموحة الجديدة (كمبوند الصفوة),"3,000,000",سموحة الجديدة (كمبوند الصفوة),195,متر²,4,2
4043732,شقة للبيع 120 م سموحة الجديده (على الطريق الزراعى),"2,150,000",على الطريق الزراعى,120,متر²,3,2
4079311,شقة للبيع 130م سموحة (سموحة الجديدة )/52,"1,250,000",سموحة الجديدة,130,متر²,3,1
3906218,شقه للبيع 280م دوبلكس امام المحافظه الجديده,"2,500,000",سموحه الجديده,280,متر²,3,3
3819686,شقة للبيع 136 م سموحة الجديدة (خطوات من نادي الاتحاد),"1,050,000",سموحة الجديدة (خطوات من نادي الاتحاد),136,متر²,3,1
3851752,شقة للبيع 145 م سموحة الجديده (كومباوند رواد كابيتال),"1,350,000",كومباوند رواد كابيتال,145,متر²,3,2
3974741,شقه لقطه للبيع بسعر مميز فرصه للسكن و الاستثمار,"550,000",شارع النصر,110,متر²,3,1
4120147,شقة 161 متر مطلات مفتوحة بكمبوند اليكس ستارت سموحة الجديدة,"1,950,000","سموحة, الإسكندرية",161,متر²,3,2
4103412,"شقه للبيع 114 م غرفتين, حمام ,مطبخ ,صاله 3 قطع تشطيب كامل سوبر لوكس","1,450,000",اسكندريه/GOLDS GYM الطريق الزراعي سموحع الجديد/كومباوند اليكس ستارت,114,متر²,2,1
4085424,شقه ١٤٥ متر,"1,560,000",سموحه الجديده,145,متر²,3,2
4099684,شقة للبيع 120م  3غرف وريسبشن وصالة ومطبخ وحمام الدور ال 13 وليس الأخير,"650,000",اسكندريه /بسموحة الجديده/ تبعد دقائق عن نادي الاتحاد الجديد ونادي سبورتنج,120,متر²,3,1
