id,title,price,location,size,size_unit,bedrooms,bathrooms
4105576,شارع السنترال منتجع كرير بلازا,"750,000",منتجع كرير بلازا شارع السنترال سيدى كرير,110,متر²,2,2
4089285,شقه للبيع بمنطقه سيدي كرير,"300,000",الكيلو 35 طريق الاسكندرية مطروح بجوار قرية سيدي كرير للقوات المسلحة ودير ماري جرجس,75,متر²,2,1
3943266,ستوديو للبيع فى سيدى كرير,"145,000",منطقة سيلفر بيتش,55,متر²,1,1
3872527,شقة ف الساحل الشمالي ك ٣٥ ب سيدي كرير بحري الطريق  مقدم 120 الف بالتشطيب علي ٥٠ شهر اطول فتره سداد متاح وحدات استلام فوري سوب,"570,000",العجمي البحري، العجمي,85,متر²,2,1
4097479,شقة للبيع غرفتين وصاله وحمام ومطبخ بالدور الثاني مساحة 75 متر تري البحر تبعد عن,"300,000",سيدي كرير,75,متر²,2,1
3910414,شقه للبيع,"320,000",الساحل الكيلو 23 الاسكندريه,65,متر²,2,1
3854459,شقه  للبيع,"300,000",اول الساحل الشمالي الكيلو ٢٣ منطقه الصفا,85,متر²,2,2
4065659,شقة مصيفية للبيع بسيدي كرير,"500,000",الساحل الشمالى,97,متر²,2,1
4048164,شقة بالساحل بعد سيدي كرير,"300,000",سيدي كرير_الاسكندريه,100,متر²,2,1
4000250,شقة للبيع في سيدي كرير 185 متر,"600,000",الساحل الشمالى بقرية سيدى كرير قوات مسلحة,185,متر²,3,2
3843908,شقة للبيع 185 م قرية سيدى كرير قوات مسلحة,"688,000","سيدي كرير , الاسكندرية",185,متر²,3,2
