id,title,price,location,size,size_unit,bedrooms,bathrooms
4132757,شقق للبيع بالاسكندرية سيدي جابر ٢٦٠ م,"5,500,000",سيدي جابر,260,متر²,3,4
4118158,شقة للبيع في سيدي جابر - 150 متر -محطة ترام سيدي جابر الشيخ TMZ7319,"3,200,000",سيدي جابر,150,متر²,3,1
3811203,شقة للبيع بسيدي جابر 175م,"3,550,000",سيدي جابر,175,متر²,3,3
4132553,سيدى جابر شقة للبيع,"1,250,000",سيدى جابر شارع طارق,100,متر²,2,1
4054226,شقة للبيع 250 م سيدى جابر (ش السيدة امنه),"5,000,000",سيدى جابر (ش السيدة امنه),250,متر²,4,3
4018882,شقة للبيع بسيدي جابر الاسكندرية ٢١٥ م الترا لوكس,"3,350,000",سيدي جابر,215,متر²,3,2
4074948,شقة للبيع  120 م سيدي جابر (على البحر مباشرة),"3,500,000",سيدي جابر (على البحر مباشرة),120,متر²,2,1
3996525,شقة للبيع 215م بــــ سيدي جـابر شارع بورسعيد الرئيسي (بالاسكندرية),"3,500,000",سيدي جابر شارع بورسعيد,215,متر²,3,2
4020720,سيدى جابر بين شارع بورسعيد والبحر شقة للبيع,"2,500,000",سيدى جابر بورسعيد,128,متر²,3,1
4022492,شقة للبيع 140 م سيدى جابر ( متفرع من ش المشير),"2,500,000",سيدى جابر ( متفرع من ش المشير),140,متر²,3,1
3991669,شقة للبيع في سيدي جابر علي الـــبـــحــر مــبـاشــــر 130م,"3,500,000",سيدي جابر علي الـــبـــحــر,130,متر²,2,2
3938289,سيدى جابر,"3,000,000",سيدى جابر على بحر مباشر,145,متر²,3,2
3961992,شقة للبيع 200 م  سيدي جابر (دوران سيدي جابر ),"2,400,000",سيدي جابر (دوران سيدي جابر ),200,متر²,3,2
3888978,للبيع شقه 215 م موقع مميز جدا – سيدي جابر الاسكندريه كود 606,"4,000,000",سيدي جابر,215,متر²,2,2
3877316,شقة للبيع  - سيدي جابر sk- مساحة 215 متر,"3,400,000",الاسكندريه  سيدي جابر,215,متر²,3,2
3909935,شقة للبيع 215م بــــ سيدي جـابر شارع بورسعيد الرئيسي  (بالاسكندرية),"3,600,000",سيدي جابر شارع بورسعيد,215,متر²,3,2
3991662,شقة للبيع في سيدي جابر علي الـــبـــحــر مــبـاشــــر 130م,"3,500,000","شارع سيدي جابر, سيدي جابر",130,متر²,2,2
4010431,شقة للبيع اول سكن  150م بــ سيدي جابر علي الترام مطلات مفتـوحة (بالاسكندرية),"3,500,000",سيدي جابر علي التــــــــرام,150,متر²,3,2
3893212,شقة للبيع 140م بـــ ســـيدي جابر شارع المشير مباشرة (بالاسكندرية),"2,500,000",سيدي جابر شارع المشير الرئيسي,140,متر²,3,2
3880735,شقة للبيع 155م بـــ سيدي جابر خطوات من البحر مطلات مفتوحة (بالاسكندرية),"2,200,000",سيدي جابر خطوات من البحر,155,متر²,3,2
3877650,شقة للبيع 140 م سيدي جابر (ش المشير),"2,500,000",ش  المشير,140,متر²,2,2
3924396,سيدى جابر,"2,200,000",شارع المشير أحمد إسماعيل، سيدي جابر,155,متر²,1,1
3957618,شقة للبيع 165م بسيدى جابر  (تاني نمرة من شارع ابو قير),"2,500,000",Abou Quer St - El Horeya Rd، Sidi Gaber,165,متر²,3,1
3929670,شقة للبيع 155م بـــــ سيدي جـــابر خطــــوات من البحر,"2,300,000",سيدي جابر خطوات من البحر,155,متر²,3,2
3887867,شقة للبيع 155م بـــــ سيدي جــــابر بين التـرام والبحــــر (بالاسكندرية),"2,300,000",سيدي جابر بين الترام والبحر,155,متر²,3,2
3880575,شقة للبيع بالدواليب والتكيفات 140م بــ ســـيدي جابر شارع المشير مباشرة (بالاسكند,"2,500,000",سيدي جابر شارع المشير الرئيسي,140,متر²,3,2
4086732,شقق للبيع بسيدي جابر الاسكندرية ١٤٥ م,"1,850,000",سيدي جابر,145,متر²,3,2
4020659,شقق للبيع فى شارع بور سعيد,"4,000,000",شارع بور سعيد، سيدي جابر,125,متر²,3,2
3965025,شقة للبيع 110م سيدي جابر (أبراج سيدي جابر),"1,390,000",سيدي جابر (أبراج سيدي جابر),110,متر²,2,1
4040993,سيدى جابر,"800,000",سيدى جابر موازى شارع المشبر,80,متر²,2,1
3859754,شقة للبيع 155 م سيدي جابر (متفرع من ش المشير),"1,900,000",سيدي جابر (متفرع من ش المشير),155,متر²,3,2
3831874,سيدى جابر مساحه130م واول نمره على البحر ومرخصه,"3,500,000",سيدى جابر,130,متر²,2,2
3888421,شقه 135م للبيع بمصطفي كامل بالقرب من كيروسيز مول,"1,750,000",مصطفي كامل - سيدي جابر بالقرب من كيروسيز مول,135,متر²,2,1
3832344,شقه للبيع 120 م سيدي جابر (متفرع من ش ابو قير) - 44,"1,500,000",متفرع من ش ابو قير,120,متر²,3,1
3982314,للبيع شقة فى سيدى جابر تصلح لجميع الاغراض تشطيب سوبر لوكس,"1,650,000",11 شارع البطليوسى سيدى جابر,130,متر²,3,1
