id,title,price,location,size,size_unit,bedrooms,bathrooms
4067080,شقة للبيع,"750,000",شدس، الاسكندرية,92,متر²,1,1
4000362,شقه  155م للبيع في ش اسحاق - شدس,"2,700,000",ش اسحاق على بعد خطوات من مسجد الصحابه - شدس,155,متر²,3,2
3945439,شقة للبيـع 125م بـــ شدس بالقرب من مدرسة الامريـــكــان (بالاسكندرية),"950,000",شدس بالقرب من مدرسة الامريكان,125,متر²,3,2
4131449,شقة للبيع بالاسكندرية شدس 100 متر,"500,000",الاسكندرية شدس,100,متر²,3,1
4127905,شقة الترا لوكس للبيع 115 م بشدس خطوات من الترام,"1,100,000",شدس الاسكندرية,115,متر²,3,1
4124780,شقه دوبلكس للبيع شوتش شارع بن هانى,"800,000",شوتش,220,متر²,5,2
4122620,شقه١٤٠ متر للبيع,"1,000,000",شدس,140,متر²,3,1
4117212,شقه للبيع 125 متر,"1,350,000",الاسكندرية - شدس,125,متر²,3,2
4122347,شقة 100 متر على طوب على محطة ترام شدس,"550,000",الاسكندريه شدس,100,متر²,2,1
4112620,شقة  للبيع 115م,"600,000",الاسكندريه_شدس,115,متر²,3,2
4092914,شقة للبيع المساحة 125 م 3غ+ ريسبشن2ق+ 2 حمام +مطبخ,"1,350,000",اسكندريه /شدس/خطوات من الترام,125,متر²,3,2
4069420,شقة للبيع سوبر لوكس آخر شارع مرتضى منطقة صفر مساحة 125 متر دور 5 والعمارة 12,"1,500,000",الاسكندريه - شدس,125,متر²,3,1
4069342,شقه ٤٥متر غرفة ورسبشن بها عداد الكهرباء والماء قديم تشطيب سوبر لوكس الدور الأرضي,"235,000",الاسكندريه - شدس,45,متر²,1,1
4085429,شقه للبيع 95 م ب شارع ترعه مردومه,"370,000",شدس الاسكندرية,95,متر²,2,1
4045252,شقة للبيع في شدس تشطيب سوبر لوكس,"850,000",شدس,110,متر²,2,1
4040174,شقه للبيع دور ثامن وليس الاخير عداد نور والغاز لغيت الدور الخامس والمياه مشترك,"260,000",الاسكندريه - باكوس,70,متر²,3,1
4039988,شقه شارع الباشا مول اول الشارع واخر الشارع عند سامي للكترونيات,"270,000",الاسكندريه - باكوس,70,متر²,2,1
4039987,شقه للبيع ف شارع الباشا مول اول الشارع واخر الشارع عند سامي للكترونيات,"420,000",الاسكندريه - باكوس,70,متر²,2,1
4069562,شقه للبيع   قريبه من محطه شدس بجانب عمارة الباشا مول   ٧٥م,"420,000",الاسكندريه - شدس,75,متر²,2,1
4023694,وحدة سكنية للبيع 125م في صفر (ش مرتضي),"1,550,000",الاسكندريه شدس,125,متر²,3,2
3938926,شقه 125مترللبيع,"280,000",شدس، الاسكندرية,125,متر²,3,1
3913694,شقه للبيع 95 م شدس,"1,400,000","شدس, الإسكندرية",95,متر²,3,1
3863292,شقه للبيع 110 متر,"1,150,000",الاسكندريه شدس,110,متر²,3,2
3870833,شقة للبيع شارع مرتضي شدس,"1,500,000",شارع مرتضي شدس,185,متر²,3,1
3842554,شقة للبيع شارع مرتضي شدس,"1,500,000",شارع مرتضي شدس,185,متر²,3,2
3824115,شقة للبيع شارع مرتضي شدس 185م ك م غ 3غرف 4ريسبشن 2حمام مطبخ تراس,"1,500,000",اسكندريه \شدس\شارع مرتضى,185,متر²,3,2
4037219,شقه للبيع بشدس,"750,000",شدس,100,متر²,3,1
3986719,شقة في منتطقة شدس,"500,000",شدس,100,متر²,3,1
3944702,شقة في منتطقة شدس,"500,000",شدس,100,متر²,3,1
4044426,ستوديو للبيع 35 م بشدس,"140,000",شدس الاسكندرية,35,متر²,1,1
3877459,شقه للبيع,"520,000",الاسكندريه شدس,120,متر²,3,1
3848787,١٨٥ م ٣غرف ٤رسبشن مطبخ ٢حمام تراس الدور السادس عشر مطلات مفتوحة الغرف والرسبشن,"1,550,000",الاسكندريه شدس,185,متر²,3,2
4052881,شقة تمليك  3غرف للبيع بشدس ٩٠ متر الدور التامن اسانسير وليس الاخير,"825,000",الاسكندريه - شدس,90,متر²,3,1
4028298,شقه للبيع 115 متر,"620,000",الاسكندريه بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,115,متر²,3,2
4000935,100متر دور تانى امام محطة ترام شدس تصلح سكنى و ادارى للبيع,"900,000",شدس-اسكندرية,100,متر²,3,1
3986741,شارع الهواري - شدس تآني نمرة من الترام - ٥ دقايق لشارع أبو قير ٨٠م الدور الثامن,"700,000",الاسكندريه شدس,80,متر²,2,1
3974545,شقة للبيع  مساحه كبيره  عزبةعاشور على قمة الشارع الباشا مول بين الترام شدس,"250,000",الاسكندريه - شدس,65,متر²,3,1
3964801,شقه للبيع بمساحه 115 متر صافي بل قرب من زيزينا عند محطه ترام صفر  عند شارع سيف,"620,000",الاسكندريه شدس,115,متر²,3,2
3926343,شقه للبيع,"280,000",الاسكندريه شدس خلف مدرسة المراسلين الامريكان,75,متر²,2,1
3857054,فرصة شقه١٠٠م خطوات من محطه ترام شدس أمام مجمع اركيديا ..  فيو فندق سان ستيفنو,"900,000",الاسكندريه شدس,100,متر²,3,1
3821597,شقه فاخره للبيع,"1,250,000",الاسكندريه - شدس,165,متر²,3,1
3822713,شقة اوضتين وصاله,"155,000",الاسكندريه - شدس,70,متر²,2,1
4079676,شقه للبيع بموقع متميز بشدس الدور الثاني رخصة  مساحتها حوالي 120م  و بها 3 غرف,"700,000",الاسكندريه - شدس,120,متر²,3,1
3991200,شقه للبيع لقطه,"300,000",شدس، الاسكندرية,80,متر²,2,1
3951700,شقه للبيع بمساحه 115 متر صافي بل قرب من زيزينا عند محطه ترام صفر  مكونه من 3 اوض,"580,000",الاسكندريه شدس,115,متر²,3,1
3942557,شقه دوبلكس دورين بسلم داخلى مساحة 220متر 5غرف و 2حمام رسيبشن 3قدور خامس وسادس,"850,000",الاسكندريه شدس,220,متر²,5,2
3913712,شقه للبيع 80 متر,"450,000",الاسكندريه شدس,80,متر²,2,1
3873389,شقة ايجار قديم  في منطقة  شدس,"230,000",الاسكندريه شدس,60,متر²,2,1
3994334,للبيع كاش,"300,000",شدس، الاسكندرية,75,متر²,2,1
3984652,شقة للبيع في شدس 125 م – بالقرب من محطة ترام شدس,"1,150,000",شدس,125,متر²,3,2
3948879,شقة في شدس,"750,000",الاسكندريه شدس,100,متر²,2,1
3931225,شقه للبيع دور ارضى مرتفع مساحه 90متر,"450,000",الاسكندريه - شدس,90,متر²,3,1
3882378,شقه ١٢٥ ريسيبشن ٣غرف بالدور الرابع اسانسير سوبر لوكس جميع العدادات بها رخصه لدور,"920,000",شدس,125,متر²,3,1
4036918,شقة تمليك فى شدس,"700,000",فى شدس على الترام,120,متر²,3,1
3830262,شقة للبيع ف شوتس,"240,000",شوتس فى ضهر المساكن,57,متر²,2,1
3950123,شقه للبيع ٦٥ متر  رسيبشن 3 قطع,"300,000",الاسكندريه - سدش,65,متر²,1,1
3905052,شقة تمليك سوبرلوكس,"450,000",الاسكندريه - شدس,72,متر²,2,1
3863287,شقه للبيع موقع متميز سوبر لوكس70 متر,"420,000",الاسكندريه شدس,70,متر²,2,1
3854677,شقه للبيع  تشطيب الترا لوكس من المالك مباشرة  ٨٥ متر صافي,"350,000",الاسكندريه - شدس,85,متر²,2,1
4036911,شقة راوعة بسعر خرافي,"900,000",فى شدس على الترام مباشر,135,متر²,3,1
