id,title,price,location,size,size_unit,bedrooms,bathrooms
4128786,امتلك وحدتك داخل كومبوند صوارى,"4,582,000",منطقه صوارى داخل الاسكندريه,158,متر²,3,3
4130323,امتلك وحدتك داخل كومبوند صوارى,"4,582,000",منطقه صوارى داخل الاسكندريه,158,متر²,4,3
4130364,امتلك وحدتك داخل كومبوند صوارى,"3,232,000",منطقه صوارى داخل الاسكندريه,101,متر²,2,2
4118183,كومبوند ديفا بداخل صوارى,"4,466,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4113022,كومبوند ديفا بداخل صوارى,"4,273,500",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4104857,كومبوند ديفا بداخل صوارى,"4,235,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4098868,كومبوند ديفا بداخل صوارى,"4,466,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4091937,كومبوند ديفا بداخل صوارى,"4,312,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4092330,كومبوند ديفا بداخل صوارى,"4,205,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4065871,شقة 145م للبيع داخل كومبوند ديفا بصواري,"4,277,500",كومبوند ديفا صواري الأسكندرية,145,متر²,3,2
4130371,شقه101 م للبيع داخل كمبوند صوارى,"3,282,500",منطقه صوارى داخل الاسكندريه,101,متر²,2,2
4123819,كومبوند ديفا بداخل صوارى,"7,424,600",منطقه صوارى داخل الاسكندريه,268,متر²,3,3
4118813,كومبوند ديفا بداخل صوارى,"4,060,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4104516,كومبوند ديفا بداخل صوارى,"4,060,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4076826,كومبوند ديفا بداخل صوارى شقة للبيع,"5,258,250",منطقه صوارى داخل الاسكندريه,171,متر²,3,3
4104625,كومبوند ديفا بداخل صوارى,"5,796,700",منطقه صوارى داخل الاسكندريه,182,متر²,4,3
4087178,كومبوند ديفا بداخل صوارى,"6,131,800",منطقه صوارى داخل الاسكندريه,279,متر²,3,2
4090039,بدون فؤائد احجز شقتك فى صواري وامتلك اكثر الشقق تميزا بأفضل سعر للمتر / p15,"4,100,000",صواري,164,متر²,3,3
4075128,كومبوند ديفا بداخل صوارى,"5,796,700",منطقه صوارى داخل الاسكندريه,182,متر²,3,3
4076247,كومبوند ديفا بداخل صوارى,"4,350,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4094161,كومبوند ديفا بداخل صوارى,"2,707,100",منطقه صوارى داخل الاسكندريه,131,متر²,1,1
4062601,كومبوند ديفا بداخل صوارى,"5,386,500",منطقه صوارى داخل الاسكندريه,171,متر²,3,3
4065588,شقة 154م للبيع داخل كومبوند ديفا بصواري,"4,235,000",كومبوند بصواري الأسكندرية,154,متر²,3,2
3623727,شقة 143م للبيع في الفرات سكوير - صواري,"5,012,221",صواري,143,متر²,3,2
3781873,شقة  226م للبيع في ڤي صواري - اسكندرية,"7,232,000",الاسكندرية,226,متر²,1,1
4042351,كومبوند ديفا بداخل صوارى,"6,131,800",صوارى الاسكندريه,155,متر²,3,3
4131819,شقة للبيع 145م  صوارى (كومباوند صوارى),"4,422,500",صوارى (كومباوند صوارى),145,متر²,3,2
4127755,شقة للبيع في صواري فيو البحيرة  184 متر إستلام فوري TMZ7324,"2,300,000",صواري,184,متر²,3,3
4128806,امتلك وحدتك داخل كومبوند صوارى,"3,232,000",منطقه صوارى داخل الاسكندريه,101,متر²,2,2
4128863,امتلك وحدتك داخل كومبوند صوارى,"4,740,000",منطقه صوارى داخل الاسكندريه,158,متر²,3,3
4127662,كومبوند ديفا بداخل صوارى,"4,466,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4125519,كومبوند ديفا بداخل صوارى,"4,060,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4125467,كومبوند ديفا بداخل صوارى,"4,466,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4123808,كومبوند ديفا بداخل صوارى,"5,343,750",منطقه صوارى داخل الاسكندريه,171,متر²,3,3
4123802,كومبوند ديفا بداخل صوارى,"4,060,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,3
4123744,كومبوند ديفا بداخل صوارى,"4,466,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,3
4120437,شقة للبيع 170م  (كومباوند صوارى),"4,250,000",(كومباوند صوارى),170,متر²,3,3
4113053,كومبوند ديفا بداخل صوارى,"4,205,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4116921,كومبوند ديفا بداخل صوارى,"4,235,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4113041,كومبوند ديفا بداخل صوارى,"5,258,250",منطقه صوارى داخل الاسكندريه,171,متر²,3,3
4112934,كومبوند ديفا بداخل صوارى,"3,345,000",منطقه صوارى داخل الاسكندريه,150,متر²,1,1
4094144,كومبوند ديفا بداخل صوارى,"6,131,800",منطقه صوارى داخل الاسكندريه,279,متر²,3,2
4098899,كومبوند ديفا بداخل صوارى,"4,277,500",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4106068,كومبوند ديفا بداخل صوارى,"4,235,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4105144,كومبوند ديفا بداخل صوارى,"6,131,800",منطقه صوارى داخل الاسكندريه,279,متر²,3,2
4104824,كومبوند ديفا بداخل صوارى,"5,258,250",ديفا صوارى,171,متر²,3,3
4106160,كومبوند ديفا بداخل صوارى,"2,707,100",منطقه صوارى داخل الاسكندريه,131,متر²,1,1
4091305,اشتري الان شقه سكنيه مميزه بكبموند صواري 171م تشطيب سوبر لوكس بمقدم10%,"4,200,000",كمبوند صواري,171,متر²,3,3
4091195,شقه 186م للبع في كمبوند صواري بتسيهلات تصل الي 5 سنوات,"6,045,000",كمبوند صواري,186,متر²,3,3
4090066,بدون فؤائد احجز شقتك فى صواري وامتلك اكثر الشقق تميزا بأفضل سعر للمتر,"4,100,000",صواري,164,متر²,3,3
4098949,كومبوند ديفا بداخل صوارى,"4,205,000",منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4098944,كومبوند ديفا بداخل صوارى,"4,235,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4098929,كومبوند ديفا بداخل صوارى,"5,796,700",منطقه صوارى داخل الاسكندريه,182,متر²,3,3
4089338,كومبوند ديفا بداخل صوارى,"5,258,250",منطقه صوارى داخل الاسكندريه,171,متر²,3,3
4063568,كمبوند ديفا بصواري شقة للبيع,"4,422,500",كمبوند ديفا صواري الأسكندرية,145,متر²,3,3
4089665,شقة 171م بأفضل موقع في كمبوند صواري أقل مقدم و اطول فترة سداد,"5,301,000",كمبوند صواري,171,متر²,3,3
3991392,شقه 155 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"4,433,000",الاسكندرية - صواري - كمبوند ديفا - غرب كارفور,155,متر²,3,3
4087164,كومبوند ديفا بداخل صوارى,"4,312,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
3993864,شقه 145 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"4,060,000",الاسكندرية - صواري - كمبوند ديفا - غرب كارفور,145,متر²,3,3
4065558,كومبوند ديفا بصواري شقة للبيع,"4,422,500",كومبوند بصواري الأسكندرية,145,متر²,3,3
4078458,كومبوند ديفا بداخل صوارى,"4,312,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4078663,كومبوند ديفا بداخل صوارى,"5,258,250",منطقه صوارى داخل الاسكندريه,171,متر²,3,3
4076398,كومبوند ديفا بداخل صوارى,"4,235,000",منطقه صوارى داخل الاسكندريه,154,متر²,3,2
4078156,شقه 151م للبيع في كمبوند صواري اسكندريه بمقدم 15%,"5,475,000",كمبوند صواري,151,متر²,3,3
4076274,كومبوند ديفا بداخل صوارى,"4,060,000",ديفا منطقه صوارى داخل الاسكندريه,145,متر²,3,2
4064335,كومبوند ديفا بصواري شقة للبيع,"5,343,750",كومبوند بصواري الأسكندرية,171,متر²,3,3
4075178,كومبوند ديفا بداخل صوارى,"4,262,500",منطقه صوارى داخل الاسكندريه,155,متر²,3,3
4063822,كمبوند ديفا بصواري شقة للبيع,"4,235,000",كمبوند بصواري الأسكندرية,154,متر²,3,2
4066139,بدون فوايد اشترى شقتك بأقل سعر متر  واطول فترة سداد في صواري  - p60,"4,018,000",صواري الاسكندرية,164,متر²,3,3
4065979,اشتري شقتك السكنيه بسعر يشمل باكية الجراج في كمبوند صواري 119م,"3,751,000",كمبوند صواري,119,متر²,2,2
4065398,كومبوند ديفا بصواري,"5,796,700",كومبوند بصواري الأسكندرية,182,متر²,3,3
4065624,كومبوند ديفا بصواري شقة 155م للبيع,"4,665,500",كومبوند بصواري الأسكندرية,155,متر²,3,3
4065658,شقق سكنية بكومبوند ديفا بصواري,"4,446,000",كومبوند بصواري الأسكندرية,156,متر²,3,1
4065694,كومبوند ديفا بصواري,"5,386,500",كومبوند بصواري الأسكندرية,171,متر²,3,3
4065762,شقة 186م للبيع داخل كومبوند ديفا بصواري,"6,045,000",كومبوند صواري الأسكندرية,186,متر²,3,3
4062120,كومبوند ديفا بداخل صوارى,"4,665,500",منطقه صوارى داخل الاسكندريه,155,متر²,3,3
4062129,كومبوند ديفا بداخل صوارى,"2,707,100",منطقه صوارى داخل الاسكندريه,66,متر²,1,1
4048679,كومبوند ديفا بداخل صوارى,"7,424,600",منطقه صوارى داخل الاسكندريه,186,متر²,3,3
4020805,شقه للبيع 148 م للبيع فى صوارى,"4,218,000",صوارى الاسكندرية,148,متر²,3,2
4048835,كومبوند ديفا بداخل صوارى,"4,422,500",منطقه صوارى داخل الاسكندريه,145,متر²,3,3
4048846,كومبوند ديفا بداخل صوارى,"5,343,750",منطقه صوارى داخل الاسكندريه,171,متر²,3,3
4022828,شقه 126 م للبيع داخل كمبوند ديفا - صواري بمقدم 0%,"3,843,000",منطقه صوارى داخل الاسكندريه,126,متر²,3,2
3993824,شقه 171 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"5,301,000",الاسكندرية - صواري - كمبوند ديفا - غرب كارفور,171,متر²,3,3
3991303,شقه 171 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"5,407,875",الاسكندرية - صواري - كمبوند ديفا - غرب كارفور,171,متر²,3,3
3981042,شقه للبيع 171 م صوارى,"5,407,000",صوارى الاسكنرية,171,متر²,3,3
4020786,شقه للبيع 148 م للبيع فى صوارى,"4,218,000",صوارى,148,متر²,3,2
3990280,شقه 145 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"4,205,000",Diva Sawari Compound - Abo Zahra Development، Compounds in Sawary,145,متر²,3,3
4001976,بدون فوائد امتلك شقتك فى  صوارى بفيو مفتوح  علي الكومباوند  بالكامل,"4,325,000",صوارى,173,متر²,3,3
4001944,بدون فوائد امتلك شقتك فى  صوارى بفيو مفتوح  علي الكومباوند  بالكامل,"4,325,000",صوارى,173,متر²,3,3
3930371,شقة للبيع  او للاستثمار 250 م بكموبند بوليفارد بصوارى تقسيط على 6 سنوات,"5,980,945",Boulevard,250,متر²,4,3
3993736,شقه 182 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"5,705,700",الاسكندرية - صواري - كمبوند ديفا - غرب كارفور,182,متر²,3,2
3993700,شقه 154 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"4,312,000",الاسكندرية - صواري - كمبوند ديفا - غرب كارفور,154,متر²,3,2
4001889,بدون فوائد امتلك شقتك فى  صوارى بفيو مفتوح  علي الكومباوند  بالكامل,"4,325,000",صوارى,173,متر²,3,3
3971094,شقه 209 م للبيع فى صوارى,"6,479,000",صوارى,209,متر²,4,3
3930370,شقه للبيع 208م بكمبوند بوليفارد صواري بمقدم 6% و اقساط  علي 3 سنين و تصل الى  5 سنين,"5,574,400","بوليفارد صواري - لوران, كمبوند بالأسكندرية",208,متر²,3,3
3972937,شقه 119م غرفتين للبيع في كمبوند صواري بسعر يشمل باكية الجراج,"3,513,000",صواري اسكندريه,119,متر²,2,1
3991258,شقه 186 م للبيع داخل كمبوند ديفا صواري بمقدم 5%,"5,933,400",الاسكندرية - صواري - كمبوند ديفا - غرب كارفور,186,متر²,3,3
3958316,للبيع في كمبوند صواري شقه 143م بمقدم 20%,"4,576,000",كمبوند صواري اسكندريه,143,متر²,3,2
4040530,للبيع في كمبوند صواري بخصم 4% علي فترة سداد 3 سنوات فقط شقه 145م,"4,422,500",كمبوند صواري,145,متر²,3,3
4040690,امتلك وحدتك السكنيه في كمبوند صواري 171م بمقدم 10%,"5,514,750",كمبوند صواري,171,متر²,3,3
