id,title,price,location,size,size_unit,bedrooms,bathrooms
4127824,شقة للبيع 90 متر في النخيل \ الأسكندرية متشطبة  بحري,"410,000",النخيل الاسكندرية ش1,90,متر²,2,1
3941977,طريق اسكندرية مطروح امام دودى للفطائر,"800,000",طريق اسكندرية مطروح، الاسكندرية,95,متر²,3,1
4130740,شقه للبيع 115 متر,"600,000",الاسكندرية - ميدان الهانوفيل على الرئيسي مباشره طريق اسكندريه مطروح,115,متر²,2,1
4124479,شقه للبيع 155 متر,"350,000",الاسكندرية - طريق اسكندرية مطروح,155,متر²,3,1
4113400,طريق اسكندرية مطروح الرئيسي   #مرخصه     المســـــــــــاحه:١١٠ متر,"650,000",طريق اسكندرية مطروح,110,متر²,2,1
4107804,شقه للبيع 145 متر,"350,000",الاسكندرية - 3 نمرة من طريق اسكندرية مطروح ابو يوسف قبلي,145,متر²,3,1
4083081,شقه للبيع 100 متر,"550,000",الاسكندرية - طريق اسكندرية مطروح,100,متر²,3,1
4069969,شقة للبيع 240 متر,"700,000",الاسكندرية -  العجمي طريق اسكندريه مطروح,240,متر²,3,1
4060659,شقه للبيع 90 متر,"200,000",الاسكندرية - طريق اسكندرية مطروح - امام مدرسة ابويوسف الخاصه,90,متر²,2,1
4050673,شقه للبيع 130 متر,"550,000",الاسكندرية - على الشارع الرئيسي اسكندريه مطروح,130,متر²,3,1
4037898,شقه للبيع سكنيه ومصيفيه بسعر لؤطه بالهانوفيل,"165,000",الاسكندرية - طريق اسكندرية مطروح,80,متر²,2,1
4036855,شقه للبيع 80 متر ابو يوسف  اول شارع الفرن امام الملاهي بحري 2 نمري من اسكندريه,"200,000",الاسكندريه - العجمي,80,متر²,2,1
4031208,شقه للبيع  طريق اسكندرية مطروح ابو يوسف,"450,000",طريق اسكندرية مطروح ابو يوسف,90,متر²,2,1
4024221,شقه للبيع شارع البستان قريبه جدا من الشارع الرئيسي البيطاش العجمي..,"260,000",الاسكندريه - العجمي,140,متر²,4,1
4022749,شقة  للبيع 140م,"820,000",العجمي_البيطاش,140,متر²,3,1
4008917,شقه للبيع في الهانوفيل,"430,000",الاسكندرية - الهانوفيل - شارع اسكندريه مطروح أبراج الزهراء,90,متر²,2,1
4006796,شقه للبيع  العجمي البيطاش,"240,000",العجمي البيطاش,80,متر²,2,1
4000002,شقة للبيع بالاسكندرية  مطروح 130 متر,"500,000",الاسكندرية  مطروح,130,متر²,3,1
3996407,شقه للبيع 135متر,"520,000",الاسكندرية - طريق اسكندرية مطروح - بجوار موقف كيلاسك,135,متر²,3,1
4023865,شقه للبيع في البيطاش ١٢٥متر,"550,000",البيطاش طريق اسكندريه مطروح,125,متر²,3,1
3984802,شقة للبيع 120متر,"480,000",الاسكندرية - البيطاش - شارع البستان رابع عمارة من الشارع الرئيسي اسكندريه مطروح,120,متر²,3,1
3983721,شقة للبيع مساحة 120م,"450,000",الاسكندريه العجمي بجوار مستشفى عباس حلمي شارع البستان,120,متر²,3,1
3978739,سوبر ديلوكس مع مدخل خاص العجمي بوابه ٨ كامله العدادات,"650,000",اسكندريه/طريق اسكندريه مطروح صف تاني امام مستشفي فاطمه الزهراء,400,متر²,4,2
3984307,شقه للبيع في العجمي الهناوفيل شارع الجمعيه,"220,000",الاسكندريه - العجمي,90,متر²,4,1
3984322,قة للبيع تمليك دور تانى ٤ اوض وصالة وبلكونة كبييرة تشطيبات قديمة مبانى سنة  ٩١ ف,"260,000",الاسكندريه - العجمي,135,متر²,4,1
3983864,شقه للبيع مساحه 85 متر,"250,000",الاسكندرية - البيطاش - طريق اسكندرية مطروح بجوار عجمي ستار مول,85,متر²,2,1
3983715,شقة للبيع مساحة 100م,"350,000",الاسكندريه البيطاش  خلف عجمي ستار موال,100,متر²,2,1
3940811,شقة للبيع بالاسكندرية مطروح135 متر,"520,000",الاسكندرية مطروح,135,متر²,3,1
3923412,شقه+في+مساكن+اسكندريه+دور+رابع+بالارضي+مساحه+54+مت,"300,000",الاسكندرية,54,متر²,2,1
3885784,شقة للبيع طريق اسكندرية مطروح 100متر,"650,000",الاسكندريةالبيطاش,100,متر²,3,1
