id,title,price,location,size,size_unit,bedrooms,bathrooms
4116788,شقة للبيع 160 م فلمنج (ش الفتح- على الترام مباشرة),"2,500,000",فلمنج (ش الفتح- على الترام مباشرة),160,متر²,3,1
3863459,فليمنج شقة للبيع,"1,700,000",فلمنج  شارع الطيار,190,متر²,3,2
3888156,شقة للبيع 175م بــــ فلمنج علي التـرام  واجهه بحرية (عمارة براند) (بالاسكندرية),"2,200,000",فلمنج علي الترام,175,متر²,3,2
3995832,شقة للبيع دوبلكس 170م بــــ فلمنج شارع مصطفي كامل (بالاسكندرية),"1,600,000",فلمنج شارع مصطفي كامل,170,متر²,3,2
3871366,شقة  للبيع - فلمنج bh- مساحة 330 متر,"2,300,000",فلمنج,330,متر²,4,3
3981204,شقة للبيع 168م بــــــ بوكلي خطوات من لافيزون واجهه بحرية (بالاسكندرية),"2,050,000",بوكلي خطوات من لافيزون,168,متر²,3,2
4121144,شقة خطوات من محطة ترام فلمنج,"1,700,000",فلمنج ترام شارع طمازين,140,متر²,3,1
3981228,شقة مرخصه للبيع 150م بفليمنج,"1,800,000",فليمنج  شارع ابوقير,150,متر²,2,1
3923061,شقة  للبيع - فلمنجbh - مساحة 240 متر,"1,890,000",فلمنج,240,متر²,2,3
3918339,شقة للبيع 160م  بـــــ فلمنج احمد باشا ترك (بالاسكندرية),"1,550,000",فلمنج شارع احمد باشا ترك,160,متر²,3,1
4095262,شقه للبيع,"380,000",ش ابن الوليد فلمنج,60,متر²,2,1
4082305,شقة تمليك للبيع,"1,300,000",خلف 79 شارع الفتح فلمنج بجوار بيت السجاد,120,متر²,3,1
4037683,فلمنج شقة للبيع,"1,300,000",شارع مصطفي فهمي، فلمنج,130,متر²,2,1
3836780,شقة للبيع 275م فلمنج (علي الترام مباشرة),"2,200,000",فلمنج (علي الترام مباشرة),275,متر²,3,2
3911192,شقة للبيع اول سكن  130م بــــ فلمنج خطــــوات من التـــــرام (بالاسكندرية),"1,350,000",فلمنج خطوات من الترام,130,متر²,3,1
3888354,شقة للبيع 140م  بــــ فلمنج بجوار كلية التربية الرياضية (بالاسكندرية),"1,600,000",فلمنج بجوار كلية تربية رياضية,140,متر²,3,2
4062214,شارع الفتح فلمنج اسكندرية شقة للبيع,"2,350,000",شارع الفتح فلمنج امام مستشفى البترول وفوق بنك مصر,185,متر²,3,2
3986525,,"1,500,000",La Vison St، Fleming,105,متر²,3,2
3981769,شقة للبيع خلف 79 شارع الفتح,"1,350,000",شارع الفتح، فلمنج,120,متر²,3,1
3976504,شقة للبيع في فلمنج,"450,000",شارع القنواتي فلمنج,70,متر²,2,1
4013652,شقة من المالك أمام البنك الأهلى  بفلمنج,"850,000",فلمنج شارع مصطفى كامل أمام البنك الأهلى,100,متر²,2,1
4021333,شقة للبيع 100م بـــ فلمنج متفرع من مصطفي كامل مطلات مفتوحة  (بالاسكندرية),"850,000",فلمنج مصطفي كامل,100,متر²,2,1
3954418,للبيع - شقق 95 متر² سوبر لوكس,"350,000",شارع أحمد باشا ترك، فلمنج,95,متر²,3,1
3920787,شقة للبيع - بولكلي ms  - مساحة 110متر,"900,000",شقق للبيع بالاسكندريه بولكلي ms  - مساحة 110متر,110,متر²,2,1
4132052,شقة  للبيع 90م,"850,000",فلمنج_شارع الطيار,90,متر²,2,1
4131832,شقه لقطه للبيع,"1,550,000",اسكندريه فلمنج,110,متر²,2,1
4124515,شقه للبيع 100 متر,"1,600,000",الاسكندرية - فلمنج - أمام دير الرحمه بين ترام فلمنج و شارع ابوقير,100,متر²,2,1
4129584,شقة للبيع 90 متر صافي في المنتصف بين محطة قطار الظاهرية ومستشفي مبرة فلمنج,"330,000",فلمنج,90,متر²,4,1
4129463,شقه للبيع ف فليمنج  امام دير الرحمه بين ترام فليمنج,"1,800,000",فلمنج,110,متر²,2,1
4128043,شقة للبيع بالاسكندرية فلمنج 90 متر,"850,000",الاسكندرية فلمنج,90,متر²,2,1
4124312,شارع لافيزون برج الادهم,"500,000",الاسكندريه العجمي,75,متر²,2,1
4126353,شقة سوبر لوكس 110 م غير مجروحة نهائي أمام دير الرحمة فى فلمنج,"1,600,000","فلمنج, الإسكندرية",110,متر²,2,1
4126342,شقة للبيع 100 م فلمنج (خطوات من فتح الله ش مصطفي كامل),"1,150,000","فلمنج, الإسكندرية",100,متر²,2,1
4126360,شقة تمليك 150م فى منطقة فلمنج خطوات من شارع مصطفى كامل,"1,650,000","فلمنج, الإسكندرية",150,متر²,3,2
4126328,شقة مقسمة إلى وحدتين للبيع 155 م بعد مستشفى إبراهيم ندا بفلمنح,"1,500,000","فلمنج, الإسكندرية",155,متر²,4,2
4126327,شقه لقطه للبيع في فلمنج مساحه 130م ثاني نمره من شارع عبد الفتاح الطويل,"1,650,000","فلمنج, الإسكندرية",130,متر²,3,2
4126315,شقة للبيع دوبلكس 300م بــ فلمنج علي التـرام مطلات مفتوحة,"2,500,000","فلمنج, الإسكندرية",300,متر²,4,3
4126341,شقة تمليك 320 م فى منطقة فلمنج خطوات من تربية رياضية,"3,600,000","فلمنج, الإسكندرية",320,متر²,5,3
4122258,شقة للبيع بالاسكندرية فلمنج 110 متر,"1,800,000",الاسكندرية فلمنج,110,متر²,2,1
4122666,شقة فى الدور التانى مساحة 100 متر 3 غرف وصاله كبيرة مطباخ وحمام تشطيب سوبر لوكس,"280,000",اسكندريه / اخر شارع الكامل فلمنج/ قريبه من شارع مصطفى كامل ومن قطار ابو قير ومن المحموديه,100,متر²,3,1
4124335,شقة كاملة التشطيب للبيع لشارع لافيزون,"1,600,000",الاسكندريه فلمنج,140,متر²,3,1
4121717,للبيع 210م ش ابو قير فلمنج 4غرف فيو مفتوح,"2,500,000",فلمنج-اسكندرية,210,متر²,4,2
4126364,شقة للبيع 180 م في فلمنج اسكندرية قريبة من فتح الله سعر مميز جدا,"2,100,000","فلمنج, الإسكندرية",180,متر²,3,3
4126336,شقة للبيع 175 م فلمنج - ع الترام مباشرة (فيو مفتوح),"2,300,000","فلمنج, الإسكندرية",175,متر²,3,2
4126335,شقة للبيع 160 م فلمنج (ش الفتح- على الترام مباشرة),"2,500,000","فلمنج, الإسكندرية",160,متر²,3,1
4124546,شقة فى الدور التانى مساحة 100 متر 3 غرف وصاله كبيرة مطباخ وحمام تشطيب سوبر لوكس,"280,000",اسكندريه / فلمنج /قريبه من شارع مصطفى كامل ومن قطار ابو قير ومن المحمودي,100,متر²,3,1
4121724,شقة للبيع 168م متفرع من ش لافيزون فلمنج,"2,000,000",فلمنج-اسكندرية,168,متر²,3,2
4105264,شقة للبيع بالاسكندرية فلمنج 90متر,"850,000",الاسكندرية فلمنج,90,متر²,2,1
4110824,شقة تمليك 185 م فى منطقة فلمنج علي الترام مباشرة,"2,300,000","فلمنج, الإسكندرية",185,متر²,3,2
4110816,شقة 300 م بفلمنج علي الترام تصلح لجميع الأغراض سكني او إداري,"3,800,000","فلمنج, الإسكندرية",300,متر²,3,2
4110865,شقه للبيع 275 م فلمنج ( شارع ابو قير ),"3,700,000","فلمنج, الإسكندرية",275,متر²,6,3
4110825,Appartment / office 195 m near to tram station,"2,750,000","فلمنج, الإسكندرية",195,متر²,3,2
4105801,تم تنزيل السعر لسرعة البيع  شقة للبيع في فلمنج ش القنواتي متفرع من ش مصطفى كامل,"385,000",فلمنج,70,متر²,2,1
4103322,شقة للبيع 120م  فلمنج (شارع مصطفى كامل - خطوات من كلية تربية رياضية),"1,300,000",فلمنج-اسكندرية,120,متر²,2,1
4103310,شقة للبيع خلف مبرة فلمنج,"330,000",فلمنج-اسكندرية,80,متر²,4,1
4093143,شقه للبيع بفلمنج بشارع متفرع من شارع مصطفى كامل,"865,000",الاسكندرية - فلمنج بشارع متفرع من شارع مصطفى كامل,90,متر²,2,1
4110894,شقه للبيع 105 م علي شارع مصطفي كامل فلمنج اعلي فتح الله ماركت,"1,300,000","فلمنج, الإسكندرية",105,متر²,2,1
4110888,شقة ادارى للبيع 118 م فلمنج ( ش مصطفى كامل ),"800,000","فلمنج, الإسكندرية",118,متر²,3,1
4103325,للبيع 210م ش ابو قير فلمنج 4غرف فيو مفتوح,"2,500,000",فلمنج-اسكندرية,210,متر²,4,2
4082578,شقة في فلمنج 90 متر غرفتين و ريسبشن 3 قطع,"865,000",فلمنج,90,متر²,2,1
4084719,شقه ١٢٥ متر للبيع  فلمنج,"1,250,000",فلمنج,125,متر²,3,1
4083996,شقة  للبيع 125م,"1,250,000",الاسكندريه_فلمنج,125,متر²,3,1
4064240,شقة للبيع.. فلمنج بحري مصطفي كامل بجوار البنك الاهلي شارع سد.. الدور الرابع سلم,"450,000",الاسكندريه - فلمنج,78,متر²,2,1
4066938,شقة للبيع فلمنج بحري مصطفي كامل,"450,000",فلمنج,78,متر²,2,1
4079796,شقه للبيع,"350,000",الاسكندريه  شارع مصطفي كامل  بجوار البنك الاهلي بين باكوس وفلمنج,78,متر²,2,1
4079739,"شقة للبيع تصلح سكني أو إداري 123م فلمنج ( خطوات من الترام ) بسعر ( 1,150,000ج /ك","1,150,000",فلمنج,123,متر²,3,1
4052390,شقه في فلمنج تانى نمرة من الترام ورا مستشفى الفتح 120م 3غرف ورييبشن 2قطعه,"1,300,000",الاسكندريه فلمنج,120,متر²,3,1
4083687,تم تنزيل السعر لسرعة البيع.. 350 الف كاش ولا يوجد تقسيط... قريبة من جميع الخدمات,"350,000",الاسكندريه - فلمنج,78,متر²,2,1
4052384,شقة فلمنج شارع مصطفي كامل بجوار البنك الاهلي بحري الطريق.. الدور الرابع,"450,000",الاسكندريه فلمنج,78,متر²,2,1
4064830,شقه فلمنج شارع عبد الفتاح الطويل  دور اول علوى تصلح سكنى وادارى  ١٣٠ متر ٣ غرف,"1,200,000",الاسكندريه - فلمنج,130,متر²,3,1
4049717,للبيع شقة فلمنج شارع مصطفي كامل,"450,000",فلمنج شارع مصطفي كامل,78,متر²,2,1
4049107,شقه ١٦٠م٢ فلمنج الاسكندرية سوبر لوكس,"2,600,000",الاسكندريه فلمنج,160,متر²,3,1
4044445,شقة ٨٠متر للبيع فى فلمنح دور ارضى منزل السبعينات,"450,000","فلمنج, الإسكندرية",80,متر²,2,1
4037567,للبيع شقة 122 متر,"1,350,000",الاسكندرية -محطة ترام فلمنج,122,متر²,2,1
4002357,شقه للليع ١٠٥ متر صافي مكونه من ٣ حجرات نوم,"1,500,000",بولكلي,105,متر²,3,2
3995717,شقه للبيع فلمنج شارع ابن فرناس,"1,275,000",الاسكندريه - باكوس,135,متر²,3,1
4067414,شقه متفرعه من شارع الكامل غرفتين,"180,000",فلمنج، الاسكندرية,55,متر²,2,1
4049061,شقة للبيع 125م فلمنج - ع الترام مباشرة,"1,800,000",الاسكندريه فلمنج,125,متر²,2,1
3948002,شقة للبيع 100 م ب حجر النواتية,"420,000","فلمنج, الإسكندرية",100,متر²,3,1
4009581,دوبلكس للبيع ١٦٠ متر,"1,650,000",الاسكندريه - جناكليس,160,متر²,3,2
4006031,شقة للبيع بفليمنج ش تكلا بك,"800,000",ش تكلا بك,100,متر²,3,1
4050050,شقه ١٣٥م بالقرب من فتح الله فلمنج مصطفي كامل,"1,300,000",فلمنج,135,متر²,3,1
4049143,شقة للبيع 120 م في وينجت بموقع مميز,"800,000",الاسكندريه ونجت,120,متر²,2,1
4039606,شقة للبيع بفلمنج ترام خلف المسجد السيني امام مستشفى البترول  __,"700,000",فلمنج,85,متر²,2,1
4021834,للبيع شقه اخر شارع الكامل فلمنج,"230,000",شارع الكامل فلمنج,85,متر²,2,1
4007247,للبيع بأرقى ابراج فلمنج عالترام,"1,850,000",الاسكندرية - فلمتج عالترام,160,متر²,3,2
4002144,شقة بالدور الأول ٣ غرف وصاله وحمام,"1,000,000",فلمنج,100,متر²,3,1
3995415,شقه فلمنج جانبى من شارع عبد الفتاح الطويل,"870,000",الاسكندريه - فلمنج,116,متر²,3,1
3995298,شقق سوبر لوكس فى شارع نبيل منصور,"2,000,000",الاسكندريه تانى عمارة من شارع ابوقير و ترام الوزارة,165,متر²,3,1
3944753,شقه للبيع,"550,000",ونجت,130,متر²,3,1
3940015,شقة  للبيع 120م,"1,200,000",فلمنج,120,متر²,2,1
3934313,شقه للبيع,"600,000",الاسكندريه عند محطه ترام صفر في ضهر شارع 11,115,متر²,3,2
3931098,٢٠٠م شقة للبيع فلمنج الترام,"2,500,000",فلمنج-اسكندرية,200,متر²,4,2
3921271,شقه للبيع فلمنج شارع بن الوليد,"350,000",فلمنج شارع بن الوليد,90,متر²,4,1
3910735,شقه للبيع شارع بن الوليد فلمنج ٨٠م,"350,000",الاسكندريه - فلمنج,80,متر²,4,1
3910655,شقه للبيع  شارع بن الوليد فلمنج,"350,000",شارع بن الوليد فلمنج,80,متر²,4,1
3897199,شقة للبيع 80 متر صافي,"350,000",فلمنج شارع بن الوليد,80,متر²,2,1
3909331,شقه  للبيع اخر شارع الكامل ٨٥م,"220,000",الاسكندريه - فلمنج,85,متر²,2,1
3830025,شقه دوبلكس,"6,500,000",الاسكندريه - فلمنج,400,متر²,5,4
4049060,شقة 170 م للبيع - فلمنج - خطوات من الترام.,"1,200,000",الاسكندريه فلمنج,170,متر²,3,1
