id,title,price,location,size,size_unit,bedrooms,bathrooms
4127741,كومباوند مدينة فيكتوريا الجديدة برج الياقوت الدور الأول,"500,000",كومباوند مدينة فيكتوريا الجديدة ش ابو سليمان متقاطعه مع ش الترعة المردومة,85,متر²,2,1
4119493,فرصة كبيرة للجادين,"500,000",تقاطع شارع احمد ابو سليمان مع محمد نجيب,85,متر²,2,1
4126013,شقة للبيع 95 م فيكتوريا  (شارع جمال عبد الناصر),"1,200,000",شارع جمال عبد الناصر,95,متر²,2,1
4014884,شقة للبيع 220 م فيكتوريا (شارع الجلاء - خطوات من شارع ابوقير الرئيسي ),"2,250,000",فيكتوريا (شارع الجلاء - خطوات من شارع ابوقير الرئيسي ),220,متر²,3,2
4021036,شقق سوبر لوكس للبيع فى شارع ملك حفني,"800,000",شارع ملك حفني، فيكتوريا,85,متر²,1,1
3953821,شقة للبيع دوبلكس في سيدي بشر – 270 م TMZ6502,"3,500,000",سيدي بشر,270,متر²,3,3
3987488,شقة للبيع 165 م2 فيكتوريا  ( شارع الملك حفني),"1,300,000",فيكتوريا شارع الملك حفني,165,متر²,3,2
3820869,للبيع شقة بفيكتوريا 100م,"1,025,000",No 3 St.، Victoria,100,متر²,2,1
3962386,شقة للبيع بميدان الساعة,"775,000",شارع احمد ابن حنبل - ميدان الساعة _ فيكتوريا,110,متر²,2,1
3823283,شقه فى شارع السيوف للبدل بشقة في القاهرة,"800,000",Al Sayouf St.، Victoria,100,متر²,2,1
3842149,شقه ارضى للبيع بجوار شارع على هيبه,"450,000",بجوار شارع على هيبه شارع السمكين متفرع من جمال عبد الناصر,70,متر²,2,1
3971140,شقة  للبيع - فيكتوريا bh ( شارع الجلاء ),"1,500,000",شقة  للبيع - فيكتوريا bh ( شارع الجلاء ),260,متر²,2,2
3938613,شقة للبيع- فيكتوريا af- بمساحة  180متر,"1,100,000",الاسكندريه فيكتوريا,180,متر²,4,2
4076466,شقة للبيع - ثالث نمرة من الجلاء - فيكتوريا - تشطيب سوبر لوكس,"950,000",شارع الجلاء، فيكتوريا,125,متر²,3,1
3855172,شقة للبيع في الاسكندرية الدور11 ب575 ألف,"575,000",فيكتوريا متمفرع من شارع جمال عبد الناصر,70,متر²,2,1
3964781,شارع ابن عقيل متفرع من شارع ابن سلامة الجزيرة الخضراء,"520,000",شارع إبن عقيل، فيكتوريا,100,متر²,2,1
4033414,من المالك مباشره شقة للبيع اول سكن فيكتوريا (متفرع من شارع الجلاء),"1,500,000",شارع الجلاء، فيكتوريا,135,متر²,1,1
3840329,شقة3 غرف وريسيبشن قطعتين ومطبخ وحمام  مساحة الشقة 100 متر على شارع الجلاء مباشرة,"450,000",شارع الجلاء فيكتوريا,100,متر²,3,1
3727588,شقه فكتوريا سيبويه,"350,000",شارع الجلاء، فيكتوريا,70,متر²,2,1
3856812,39 ش ملك حقنى على القطر على طول بجوار تامينات و كازيون,"650,000",٣٩ ملك حفنى,85,متر²,2,1
4063304,"?شقة لؤؤؤطة فى فيكتوريا ش الجلاء
?من المالك مباشرة","880,000",شارع الجلاء، فيكتوريا,150,متر²,4,1
