id,title,price,location,size,size_unit,bedrooms,bathrooms
4091570,شقة للبيع 140 م كامب شيزار (ثاني نمرة من البحر),"2,700,000",ثاني نمرة من البحر كامب شزار,140,متر²,3,2
4080744,شقة للبيع  130 م كامب شيزار (على الترام مباشرة ),"2,250,000",كامب شيزار (على الترام مباشرة ),130,متر²,3,2
4079478,شقة للبيع 210 م كامب شيزار (على البحر مباشره) / 11,"7,000,000",على البحر مباشره,210,متر²,4,2
4042394,شقة للبيع 140 م كامب شيزار (ثاني نمرة من البحر) / p44,"2,700,000",ثاني نمرة من البحر,140,متر²,3,2
4044094,شقة للبيع في كامب شيزار– صف أول علي البحر - 145م,"4,400,000",كامب شيزار,145,متر²,2,2
3989267,شقة للبيع 210 م كامب شيزار (على البحر مباشره),"7,000,000",كامب شيزار,210,متر²,4,2
4024683,كامب شيزار شقة للبيع,"2,500,000",شارع عمر لطفي، كامب شيزار,250,متر²,4,2
3944285,شقة للبيع في كامب شيزار– صف أول علي البحر - 145م  TMZ6898,"4,400,000",كامب,145,متر²,2,2
3980399,شقة مرخصة للبيع 230م (أول سكن) بكامب شيزار علي ترام مباشرة.,"4,600,000",كامب شيزار علي ترام مباشرة.,230,متر²,3,3
4010114,شقة للبيع 210 م  كامب شيزار (علي البحر مباشرة  ),"7,000,000",كامب شيزار (علي البحر مباشرة  ),210,متر²,4,2
3929329,شقة للبيع 190م بـــ كامب شيزار علي الترام (عمارة براند) (بالاسكندرية),"4,400,000",كامب شيزار ع التـــــرام,190,متر²,3,2
4054554,شقة للبيع 130 م كامب شيزار ( على الترام مباشرة ),"2,050,000",كامب شيزار على الترام مباشرة,130,متر²,3,2
3980875,شقه للبيع بكامب شيزار بفيو بحر مباشرا 217م – رخصه برج شيك,"6,800,000",كامب شيزار طريق الجيش,172,متر²,3,3
3977372,شقة للبيع 195 م كامب شيزار ( على الترام مباشرة),"3,705,000",كامب شيزار ( على الترام مباشرة),195,متر²,3,2
3895907,شقة للبيع 145 م كامب شيزار (على البحر مباشرة),"3,900,000",كامب شيزار على البحر مباشرة,145,متر²,3,3
3890852,كامب شيزار شقة للبيع,"5,500,000",طريق الجيش، كامب شيزار,206,متر²,1,1
4046673,كامب شيزار,"3,300,000",كامب شيزار على بحر,125,متر²,3,1
3980426,شقة مرخصة للبيع 190م (أول سكن) بكامب شيزار علي ترام مباشرة.,"3,800,000",كامب شيزار علي ترام مباشرة.,190,متر²,3,2
3834472,"شقة للبيع 145م كامب شيزار (علي البحر مباشرة)   - 3,900,000 ج كاش","3,900,000",El-Gaish Rd، Camp Cesar,145,متر²,3,3
3968173,شقة للبيع 150 م كامب شيزار (شارع المكتبات),"1,850,000",Abou Quer St، Camp Cesar,150,متر²,3,2
4009779,شقة للبيع 200م بـــــ كامب شيـــزار خطوات من كلية الهندسة (بالاسكندرية),"3,000,000",كامب شيزار خطوات من كلية الهندسة,200,متر²,3,2
4042425,شقة للبيع 140 م كامب شيزار (ثاني نمرة من البحر),"2,700,000",ثاني نمرة من البحر,140,متر²,3,2
4131230,شقه للبيع,"3,500,000",شارع فاموس كامب شيزار,160,متر²,3,2
3977750,شقة للبيع في كامب شيزار علي الترام - 145م – بالقرب من كوبري الجامعة  TMZ6906,"2,500,000",كامب شيزار,145,متر²,3,2
3742237,بنتهاوس للبيع - كامبشيزار - فيو مفتوح بالكامل وتري البحر,"6,250,000",دوبلكس للبيع - كامبشيزار - فيو مفتوح بالكامل وتري البحر,600,متر²,5,5
3898015,شقة للبيع في كامب شيزار TMZ6906 علي الترام - 145م,"2,500,000",كامب شيزار,145,متر²,3,1
4044743,شقة للبيع 120م بــــ كامب شيزار متفرع من شارع المكتبات,"1,500,000",كامب شيزار متفرع من شارع المكتبات,120,متر²,2,1
3904641,شقة للبيع 250م بـــــ كامب شيزار خطوات من البحــر مطلات مفتوحة بالاسكندرية),"3,000,000",كامب شيزار خطوات من البحر,250,متر²,4,2
4064791,كامب شيزار على الكورنيش شقة للبيع,"13,000,000",طريق الجيش، كامب شيزار,332,متر²,1,1
3925335,شقة للبيع 140م بـــــ كامب شيزار علي البحر مباشرة (بالاسكندرية),"4,250,000",كامب شيزار علي البحر,140,متر²,3,1
3920831,شقة للبيع 165 م كامب شيزار (ثاني نمرة من البحر) /4,"2,850,000",ثاني نمرة من البحر,165,متر²,3,2
3851820,شقة للبيع 180م بـــ كامب شيــــزار شارع ممفيس (بالاسكندرية),"2,100,000",كامب شيزار شارع ممفيس,180,متر²,3,1
3937039,شقة للبيع 150م بــــ كامب شيــزار بين بورسعيد والبحر (بالاسكندرية),"2,000,000",كامب شيزار بين بورسعيد والبحر,150,متر²,3,2
3880470,شقة للبيع 200م بــــــ كامب شيزار شارع عبد المنعم سند (بالاسكندرية),"2,000,000",كامب شيزار شارع عبد المنعد سند,200,متر²,3,2
3825283,شقة للبيع 150م بـــ  كـــــامب شيــــزار خطوات من البحــــر (بالاسكندرية),"2,000,000",كامب شيزار خطوات من البحر,150,متر²,3,2
4037655,شقة للبيع 200 م كامب شيزار (على الترام مباشره),"2,750,000",على الترام مباشره,200,متر²,3,1
4023244,شقة للبيع 80 م كامب شيزار ( شارع عبد المنعم سند ),"1,250,000",كامب شيزار شارع عبد المنعم سند,80,متر²,2,1
3916665,شقة للبيع 225 م كامب شيزار (ش بورسعيد الرئيسى),"3,150,000",ش بورسعيد الرئيسى,225,متر²,3,2
3822721,شقة للبيع 150 م كامب شيزار (شارع المكتبات),"1,750,000",كامب شيزار (شارع المكتبات),150,متر²,3,2
3988915,شقة لقطة في كامب شيزار خطوات من الترام و كوبري الجامعه,"700,000",شارع عبد المنعم سند، كامب شيزار,55,متر²,1,1
3957213,شقة للبيع في كامب شيزار شارع بور سعيد الرئيسي,"4,500,000",شارع بور سعيد الرئيسي,230,متر²,3,2
3918373,شقق للبيع بكامب شيزار ١٠٠ م,"1,350,000",كامب شيزار,100,متر²,3,1
4024070,شقه للبيع كامب شيزار علي الترام مباشرتا,"2,250,000",35 شارع عمر لطفي كامب شيزار,130,متر²,3,2
3966832,كامب شيزار ( 6 شارع الجيزة متفرع من شارع مستشفي الانبا تكلا) بدون ا,"800,000",كامب شيزار ( 6 شارع الجيزة متفرع من شارع مستشفي الانبا تكلا) بدون اسانسير,85,متر²,2,1
4028817,84شارع بور سعيد كامب شيزار,"1,350,000",شارع عبد المنعم سند، كامب شيزار,80,متر²,2,1
3905252,١٦ فاقوس كامب شيزار,"2,000,000",شارع فاموس، كامب شيزار,125,متر²,3,2
