id,title,price,location,size,size_unit,bedrooms,bathrooms
4030075,شقة للبيع ٣ غرف وصالة كرموز,"450,000",كرموز، الاسكندرية,109,متر²,1,1
4131289,شقه١١٠ متر للبيع,"500,000",كرموز,110,متر²,3,1
4129146,شقه للبيع 75 متر,"185,000",الاسكندرية - كرموز - شارع الفنون خلف مدرسة ابراهيم نجيب,75,متر²,2,1
4130324,شقه للبيع 80 متر,"280,000",الاسكندرية - كرموز - أمام عمود السواري,80,متر²,2,1
4129165,شقه للبيع 80 متر,"350,000",الاسكندرية - كرموز - شارع عبد الحميد شبل غيط العنب,80,متر²,3,1
4122207,شقه للبيع 70 متر,"210,000",الاسكندرية - كرموز - شارع محي الدين متفرع من راغب,70,متر²,3,1
4119001,شقه للبيع,"280,000",الاسكندريه كرموز شارع النيل الرئيسي,65,متر²,2,1
4101361,شقة للبيع بالاسكندرية كرموز 80متر,"400,000",الاسكندرية كرموز,80,متر²,3,1
4098861,شقه للبيع مساحتها ٨٠ م,"370,000",الاسكندرية - كرموز - ش عبدالحميد شبل غيط العنب بجوار كنيسه ماريجرجس غيط العنب,80,متر²,3,1
4103092,شقة للبيع بكرموز علي الترام مباني قديمه 4 غرف و صاله,"550,000",كارموز,110,متر²,4,1
4087813,شقة للبيع بالاسكندرية كرموز 105متر,"700,000",الاسكندرية كرموز,105,متر²,3,1
4095554,شقه للبيع 80 متر,"450,000",الاسكندرية - كرموز - شارع النيل,80,متر²,2,1
4071721,شقه للبيع في كرموز سعر لقطه لسرعة البيع,"250,000",كرموز,61,متر²,3,1
4070241,شقة للبيع بكرموز علي الترام مباني قديمه,"550,000",الاسكندرية - كرموز على الترام,110,متر²,4,1
4068807,شقة للبيع 85 متر,"270,000",الاسكندرية - كرموز - عامود السواري,85,متر²,2,1
4067718,شقة للبيع بالاسكندرية كرموز 85 متر,"270,000",الاسكندرية كرموز,85,متر²,2,1
4057622,شقه للبيع  في كرموز,"215,000",كرموز,85,متر²,2,1
4056772,شقة للبيع بالاسكندرية كرموز 85 متر,"380,000",الاسكندرية كرموز,85,متر²,2,1
4045669,شقه للبيع 105 متر,"625,000",الاسكندرية - كرموز - شارع النيل الرئيسي بجوار قهوه الفلاح,105,متر²,3,1
4044052,شقة بكرموز عند عامود السوارى,"270,000",كرموز,85,متر²,2,1
4040009,شقه في ش النيل الرئيسي,"620,000",الاسكندرية - كرموز - شارع النيل الرئيسي,105,متر²,3,1
4037398,شقه ارضى ٣ غرف وصالة ٢ حمام ومطبخ  ٩٠متر,"560,000",الاسكندرية - كرموز ٦شارع القيامة متفرع من شارع النيل بجانب مصنع الحلاوة,90,متر²,3,2
3992777,شقه للبيع,"1,050,000",";vl,. برج المصري على محور مباشرة المحمودية في راغب بجوار كوبري راغب سابقا فوق خالد الحلواني اسكندرية",135,متر²,3,1
3962534,شقة للبيع -كرموز علي الترام,"380,000",كرموز,80,متر²,3,1
3962510,شقه للبيع بشارع ٨,"210,000",شارع ٨ - كرموز,75,متر²,2,1
3924995,شقة للبيع في كرموز علي ترام,"380,000",كرموز علي ترام,80,متر²,3,1
3910558,شقة للبيع  شارع الشيعه,"400,000",شارع الشيعه,90,متر²,2,1
3922068,شقة دوبلكس للبيع بمنطقة غيط العنب شارع الريف,"525,000",غيط العنب شارع الريف,150,متر²,3,1
4061073,شقه للبيع 110 متر,"450,000",الاسكندرية - كرموز - شارع البهي متفرع من شارع 12,110,متر²,3,1
3859735,شقة للبيع بغيط العنب شارع الطابيه الرئيسى,"440,000",الاسكندرية,95,متر²,3,1
3856888,شقة للبيع100متر,"500,000",بشارع اسوان متفرع من ش راغب تاني نمره من الشارع أمام مكتب بريد راغب,100,متر²,3,1
3850659,شقه للبيع ٨٥متر,"260,000",شارع محي الدين ثالث نمره من شارع ١٢ العمومي بجوار صيدليه النقاء,85,متر²,2,1
4039974,للبيع شقة 100 متر,"500,000",الاسكندرية - كرموز,100,متر²,3,1
3841470,شقة للبيع ١٠٠ متر ٣ غرف وصالة قطعتين وحمام ومطبخ وعدادت كهرباء غاز و مياه,"330,000",الاسكندريه كرموز,100,متر²,3,1
3824374,شقه للبيع بشارع اسوان,"500,000",شارع اسوان متفرع من ش راغب تاني نمره من الشارع أمام مكتب بريد راغب,100,متر²,3,1
3974315,شقة 100م للبيع,"750,000",شارع الجزائر الرئيسي اللبان عمارة ابو طلعت الحلواني,100,متر²,3,1
4026927,شقه للبيع كرموز متفرع من شارع 8,"250,000",كرموز متفرع من شارع 8,120,متر²,4,1
