id,title,price,location,size,size_unit,bedrooms,bathrooms
4097023,كفر عبده,"2,200,000",كفر عبده شارع سكينة بنت الحسين,135,متر²,3,2
4128462,شقة راقية للبيع في كفر عبدو,"6,500,000",كفر عبده سانت جين,250,متر²,5,3
3861257,شقق للبيع بالاسكندرية كفر عبده ١٦٥ م,"3,550,000",كفر عبده,165,متر²,3,2
3876837,كفر عبده- شقق 165 متر²- سوبر لوكس,"3,550,000",شارع سانت جين، كفر عبده,165,متر²,3,2
3907053,شقة للبيع بالاسكندرية كفر عبده ١٦٥ م,"3,350,000",كفر عبده,165,متر²,3,2
4131668,شقة للبيع 190م كفر عبده (شارع معروف الرصافى ),"4,600,000",كفر عبده (شارع معروف الرصافى ),190,متر²,3,2
4129151,شقة للبيع 275م كفر عبده (شارع سكينة بنت الحسين),"4,200,000",كفر عبده (شارع سكينة بنت الحسين),275,متر²,3,4
4117487,شقة للبيع 190م كفر عبده ( شارع معروف الرصافي),"4,750,000",كفر عبده شارع معروف الرصافي,190,متر²,3,2
4108599,كفر عبده,"3,500,000",كفر عبده شارع خليل الخياط,150,متر²,3,2
4113592,كفر عبده,"4,000,000",كفر عبده سانت جينى,185,متر²,3,2
4102300,شقه للبيع فى كفر عبده 285 متر TMZ6433,"4,500,000",كفر عبده,285,متر²,3,3
4102264,شقه للبيع فى كفر عبده 285 متر,"4,500,000",كفر عبده,285,متر²,3,3
4106649,شقة للبيع 240 م كفر عبده (ش سكينة بنت الحسين),"4,800,000",ش سكينة بنت الحسين,240,متر²,3,3
4074170,شقة للبيع فى كفر عبده - الاسكندرية,"4,600,000",Kafr Abdou St.، Kafr Abdo,185,متر²,3,2
4080911,شقة للبيع في كفر عبده  180 متر – بالقرب من ميدان سانت جيني TMZ7294,"3,850,000",كفر عبده,180,متر²,3,3
3673328,شقه راقيه جدا 270م  بكفرعبده و برج فاخر جداااا,"5,900,000",شقه راقيه جدا 270م  بكفرعبده و برج فاخر جداااا,270,متر²,4,3
3981746,شقة دوبلكس للبيع بكفر عبده الاسكندرية 245 م,"6,500,000",كفر عبده,245,متر²,4,3
4085564,شقة + باكية جراج  للبيع  150 م كفر عبده (ش خليل الخياط),"2,500,000",كفر عبده (ش خليل الخياط),150,متر²,3,2
4053810,شقة للبيع 167 م مصطفى كامل (ش ابراهيم شريف - امام كيروسيز مول),"3,000,000",مصطفى كامل (ش ابراهيم شريف - امام كيروسيز مول),167,متر²,3,2
4047416,شقة للبيع فى كفر عبده - مطلات مفتوحه,"5,300,000",Abd El Monaem Ryad St.، Kafr Abdo,255,متر²,3,3
4085542,شقة + باكية جراج  للبيع  150 م كفر عبده (ش خليل الخياط) /44,"2,500,000",ش خليل الخياط,150,متر²,3,2
4045623,شقه شيك جداا للبيع كفرعبده شارع سكينه بنت الحسين 225متر – رخصه وبرج شيك,"4,300,000",كفر عبده,225,متر²,4,3
4041005,للبيع - شقق سوبر لوكس فى شارع خليل باشا,"2,500,000",كفر عبده شارع سكينة بنت الحسين,180,متر²,4,2
4006360,كفرعبده شارع الاسماعيليه,"6,500,000",كفر عبده,270,متر²,3,3
4006322,كفرعبده شارع الاسماعيليه شقة للبيع,"5,000,000",كفر عبده شارع الاسماعيلية,200,متر²,3,3
4003309,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه كفر عبده,"4,300,000",كفر عبده,288,متر²,4,3
3978349,شقه للبيع 315 م كفر عبده (ش قرداحى),"4,500,000",ش قرداحى,315,متر²,7,2
3948221,شقة للبيع 275 م كفر عبده خطوات من مستشفي المالكي (بالاسكندرية),"4,200,000",كفر عبده خطوات من المستشفي المالكي,275,متر²,3,3
3925436,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه كفر عبده,"7,000,000",كفر عبده,305,متر²,4,2
3996048,شقة للبيــــع بالدواليب  215م بــــ كفر عبده خطوات من ســـانت جيني,"4,250,000",كفر عبده سانت جيني,215,متر²,3,3
4005524,شقة للبيع 270 م كفر عبده (ش الإسماعيلية),"6,000,000",كفر عبده (ش الإسماعيلية),270,متر²,3,3
3932500,شقه للبيع فى كفر عبده 180م TMZ6709,"3,250,000",كفرعبده,180,متر²,3,2
3932487,شقه للبيع فى كفر عبده 285 متر TMZ6432,"4,500,000",كفر عبده,285,متر²,3,3
3932494,شقه للبيع فى كفر عبده 285 متر TMZ6433,"4,500,000",كفر عبده,285,متر²,3,3
