id,title,price,location,size,size_unit,bedrooms,bathrooms
4127568,ستوديو لقطه للبيع  على الــبـحــر مــبـاشــر – 90متر – رخصه وحصه عقاريه,"1,500,000",كليوباترا,90,متر²,1,1
4098284,بدون مناور فيو مفتوح سيستم كاميرات كامل تشطيب رائع,"2,300,000",شارع عبد العزيز فهمي كليوباترا,168,متر²,3,2
4110743,شقة للبيع 150 م كليوباترا (ثانى نمره من البحر) / 7,"2,900,000",ثانى نمره من البحر,150,متر²,3,1
4081187,شقة للبيع في كليوباترا – 120  متر - بالقرب من شارع ابو قير,"1,850,000",كليوباترا,120,متر²,3,1
4063938,شقة للبيع في كليوباترا - 210 متر – بحر مباشرة TMZ7191,"7,000,000",كليوباترا,210,متر²,3,3
4068269,كليوبترا,"3,350,000",كليوبترا  الحمامات,165,متر²,3,2
4069176,كليوبترا,"1,800,000",كليوبترا  جانبى البحر,115,متر²,3,1
4016297,كليوبترا,"2,900,000",كليوبترا  جانبى البحر,148,متر²,3,1
4042037,شقه للبيع بكليوباتر 3 نمره بحر وتري بحر جانبى – رخصه وبرج شيك,"2,900,000",كليوباترا بحر,140,متر²,3,1
4054387,شقة للبيع 170 م كليوباترا (رابع نمرة من البحر),"2,200,000",كليوباترا (رابع نمرة من البحر),170,متر²,3,2
4023748,شقة للبيع في كليوبترا - 170 متر – رابع نمرة بحر TMZ7264,"2,250,000",كليوباترا,170,متر²,3,2
3978985,شقه للبيع بكليوباتر 3 نمره بحر وتري بحر جانبى – رخصه وبرج شيك,"2,750,000",كليوباترا,140,متر²,3,1
3884329,شقة للبيع في كليوباترا TMZ7191 بحر مباشرة - 210 متر,"7,000,000",كليوباترا,210,متر²,3,3
3948124,شقة للبيع 180م بـــ كليوباترا شارع ابوقيرمباشره (بالاسكندرية),"3,200,000",كليوباترا شارع ابوقير,180,متر²,3,2
3950528,شقة للبيع 200 م كليوباترا (علي البحر مباشرة)/31,"6,500,000",علي البحر مباشرة,200,متر²,3,3
3929362,شقة للبيع 150م صافي بـــ كليوباترا خطـــوات من البحـر مطلات مفتوحة (بالاسكندرية),"2,400,000",كليوباترا شارع ارمنت,150,متر²,3,2
3937306,شقة للبيع 150م صافي بـــ كليوباترا خطـــوات من البحـر مطلات مفتوحة (بالاسكندرية),"2,400,000",كليوباترا خطوات من البحر,150,متر²,3,2
3821130,كليوباترا بحر مباشر,"3,500,000",كليوباترا,130,متر²,2,2
4042010,شقه 160م كليوباترا مطلات مفتوحه تري نادى سبورتينج -رخصه,"2,300,000",شقه 160م كليوباترا مطلات مفتوحه تري نادى سبورتينج -رخصه,160,متر²,3,1
3887668,شقة للبيع 200 م كليوباترا (علي البحر مباشرة),"6,500,000",كليوباترا,200,متر²,3,3
3830398,شقه مسجله بالشهر العقارى للبيع 300 م صافى كليوباترا (على الترام مباشره),"3,600,000",على الترام مباشره,300,متر²,4,3
4010495,شقة للبيع اول سكن 170م صافي  بـــ كليوباترا خطوات من البحر (بالاسكندرية),"2,300,000",كليوباترا خطوات من البحر,170,متر²,3,2
4034903,شقة للبيع بالأسكندرية بكيلوباترا اول نمره بحر 380م,"5,500,000",كيلوباترا طريق الجيش,380,متر²,3,3
3854488,شقه للبيع كليوباترا بحر مباشر,"3,400,000",طريق الجيش، كليوباترا,130,متر²,1,1
3852732,شقة للبيع كليوباترا شارع شيبوب,"1,370,000",كليوبترا  شارع شيبوب,130,متر²,3,1
3837469,شقة للبيع 175م بــ كليوباترا بين بورسعيد والبحر (بالاسكندرية),"2,100,000",كليوباترا بين بورسعيد والبحـر,175,متر²,3,2
3948439,شقة للبيع 140م بــــ كليوباترا بين بورسعيد والبحـر   (بالاسكندرية),"2,200,000",كليـوباترا بين بورسعيد والبحر,140,متر²,3,2
3851570,شقة للبيع 125م  بـــ كليوباترا بين الترام وبورسعيد (بالاسكندرية),"1,600,000",كليوباترا بين الترام وبورسعيد,125,متر²,3,1
4008708,شقة على البحر من المالك مباشره,"1,750,000",طريق الجيش سيدي جابر,73,متر²,2,1
3879709,للبيع شقة سوبر لوكس  كليوباترا /الكورنيش الإسكندرية,"2,100,000",طريق الجيش,125,متر²,2,1
4041866,شقه للبيع كــــيـلـوبـاتـرا 130م تــري الـــبـحر جانبي بوضوح – رخصه وحصه عقاريه,"1,750,000",كــــيـلـوبـاتـرا,130,متر²,3,1
4004627,شقة للبيع 170 م كليوباترا  ( خطوات من البحر)  ( تري البحر ),"2,300,000",كليوباترا,170,متر²,3,2
3899912,كليوباترا بحر مباشر,"2,000,000",كليوباترا,100,متر²,2,1
4069069,١٤ شارع بني نوفل كليوباترا المحطة,"600,000",شارع إبن نوفل، كليوباترا,85,متر²,1,1
4043670,شقه سوبر لوكس بكليوباترا فرصه,"2,250,000",١٨ طه حمادي كليوباترا,170,متر²,3,2
4042690,كليوباترا شارع شيبوب شقة للبيع,"1,500,000",شارع شيبوب، كليوباترا,110,متر²,3,1
4033401,شقة سوبر لوكس تانى نمرة من على الترام بكيلوباترا,"2,500,000",الاسكندرية كيلوباترا,130,متر²,3,2
4014039,شقة للبيع كليوباترا شارع بور سعيد,"3,100,000",شارع بورسعيد، كليوباترا,250,متر²,3,2
4036088,شقه بشارع طه حمادي سوبر لوكس فرصه,"2,250,000",١٨ طه حمادي,170,متر²,3,2
3981304,شقة للبيع 110م بــــ كليــوباترا خطوات من التــــرام (بالاسكندرية),"1,350,000",كليوباترا شارع شيبوب,110,متر²,3,1
3873327,كليوباترا عند الدير ترى البحر,"1,250,000",كليوباترا,90,متر²,2,1
3894166,كليوبترا الصغري شارع محمود التريني,"1,100,000",كليوبترا الصغري شارع محمود التريني,105,متر²,2,1
3919983,شقة ١٧٠م للبيع,"2,700,000",١٨ طه حمادي,170,متر²,3,2
4131172,شقه للبيع 85 م في كليوبترا حمامات,"600,000",كليوباترا الاسكندرية,85,متر²,2,1
4122323,شقه كليوباترا شارع شيبوب,"1,300,000",الاسكندريه كليوبترا,135,متر²,3,1
4117094,ستوديو للبيع بمنطقه كيلوباترا زنانيري,"170,000",كيلوباترا زنانيري,30,متر²,1,1
4103077,فرصة مميزة شقة للبيع ١٤٠ م ٣ غرف ريسبشن ٣ قطع,"1,250,000",كليوباترا,140,متر²,3,1
4109613,شقه للبيع 155 متر,"880,000",الاسكندرية - كليوباترا زنانيري,155,متر²,3,2
4088215,شقة للبيع  كيلوباترا بحر اول نمره,"2,600,000",كيلوباترا,135,متر²,2,1
4108063,شقة للبيع - 120 م الدور الــ 6 3 غرف + ريسبشن قطعتين +  حمام  + مطبخ,"1,850,000",اسكندريه/ كليوباترا - خطوات من شارع ابوقير,120,متر²,3,1
4073694,شقة 162م سوبر لوكس بكليوبترا قريبة من شارع ابوقير,"3,240,000",كليوباترا الاسكندرية,162,متر²,3,2
4110568,شقه للبيع مساحه ١٥٥ م مباني ٢٠٠٠  ٣ غرف نوم ٣ قطع ريسيبشن ٢ حمام,"880,000",اسكندريه/ كليوباترا زنانيري,155,متر²,3,2
4095208,شقة  للبيع 155م,"880,000",كليوبترا زنانيري,155,متر²,3,2
4071539,شقه للبيع كليوباترا حمامات بالقرب من الترام  مساحه 165 متر دور 3  مبانى 2010,"3,350,000",الاسكندريه - كليوبترا,165,متر²,3,2
3999225,شقة بكيلوباترا فيو تحفة علي البحر مباشرة,"3,500,000",كليوباترا,130,متر²,3,2
3844775,شقة 110م للبيع بكليوباترا حمامات,"1,100,000",كليوباترا حمامات,110,متر²,3,1
4039675,شقه تلات غرف نوم ورسبشن قطعتين وحام ومطبخ كبير الدور التاني,"1,250,000",كليوباترا,100,متر²,3,1
4043169,الغرفتين بيهم تكيف شقة كاملة التشطيب على الفرش,"1,000,000",كليوباترا,90,متر²,2,1
4040184,شقه للبيع بكيلوباترا,"1,250,000",كليوباترا-اسكندرية,100,متر²,3,1
4026494,شقه لقطه مميزه وش بحر ميه145 متر,"3,500,000",كليوباترا الاسكندرية,145,متر²,3,1
4023759,شقه للبيع بكيلوباترا,"1,250,000",الاسكندريه كليوبترا,100,متر²,3,1
4011339,شقة للبيع في كليوباترا الصغيره غرفتين وصاله كلها على الشارع,"1,050,000",كليوباترا-اسكندرية,90,متر²,2,1
3988474,شقة للبيع تمليك  الدور التالت ٣ غرف ريسيبشن مطبخ و حمام المساحة ١١٠ متر صافى,"1,100,000",اسكندريه كيلو باترا بحرى محطة القطر سيدى جابر  ش طارق,110,متر²,3,1
3984378,للبيع شقة مساحة 90متر كامله العدادات مايه وغاز وكهرباء وبها تليفون ارضي وواي فاي,"950,000",كليوباترا-اسكندرية,90,متر²,2,1
3927857,شقة للبيع  ش ابو قير الرئيسى الدور التانى سكنى . إدارى نفق كليوباترا,"2,870,000",كليوباترا-اسكندرية,180,متر²,3,2
3903347,كليوباترا ثاني نمره من البحر ترى البحر  140متر صافي  3 غرف نوم وممكن غلق غرفة,"2,700,000",اسكندريه \كليوباترا ثاني نمره من البحر ترى البحر,140,متر²,3,2
3841451,شقة تمليك - دور اول (ميزانين) -  أرضيات باركية وخشب سويد - ١٠٥ متر مربع,"1,100,000",الاسكندريه كليوباترا,105,متر²,3,1
3927840,شقه 125 متر للبيع في كليوبترا الاسكندريه اول سكن,"940,000",كليوباترا-اسكندرية,125,متر²,3,1
3977441,شقه للبيع,"1,000,000",كليوباترا، الاسكندرية,95,متر²,3,1
4026573,شقه ٨٠م للبيع بكليوبترا شارع بوباستس,"800,000",الاسكندرية كليوباترا,80,متر²,2,1
4024281,شقه 90 متر .,"1,200,000",كليوباترا 12 شارع الدير متفرع م البحر بعد فندق الحرم,90,متر²,2,1
3984426,شقة للبيع بالاسكندرية كليوباترا 110 متر,"1,000,000",الاسكندرية كليوباترا,110,متر²,3,1
3984114,شقه بكيلوباترا للبيع,"1,250,000",كليوباترا-اسكندرية,100,متر²,3,1
