id,title,price,location,size,size_unit,bedrooms,bathrooms
4055326,شقة مسجلة للبيع 245م بلوران شارع عبد السلام عارف ( لوران),"3,600,000",لوران  شارع عبد السلام عارف,245,متر²,3,3
4089388,شقة للبيع فى لوران - مطلات مفتوحه على البحر,"15,000,000",El-Gaish Rd، Lauran,480,متر²,4,3
4082611,شقة 280 متر لوران اكسترا سوبر لوكس,"5,000,000",لوران شارع بورسعيد,280,متر²,3,3
3970576,دوبلكس + تراس للبيع فى لوران - الاسكندرية,"5,000,000",Ibrahim Naseer St.، Lauran,340,متر²,6,3
4082483,شقة ألترا لوكس باطلالات مفتوحة على 3 واجهات,"4,000,000",لوران شارع أبوقير,200,متر²,3,3
4041996,شقه للبيع لــــــوران شــارع ابوقير الرئيسي – 180 متر -رخصه وبرج شيك,"2,250,000",لوران,180,متر²,3,2
3990026,شقة للبيع 240 م2 ثروت  (شارع عبد الحميد الديب ),"3,250,000",ثروت شارع عبد الحميد الديب,240,متر²,3,2
4132535,لوران,"1,850,000",لوران شارع عز العرب,140,متر²,2,1
4125913,شقه للبيع لوران شارع ابوقير الرئيسي 200 متر صــافي – رخصه,"3,300,000",شقه للبيع لوران شارع ابوقير الرئيسي 200 متر صــافي – رخصه,200,متر²,3,3
4125850,شقه للبيع لوران شارع ابوقير الرئيسي 200 متر صــافي – رخصه,"4,000,000",شقه للبيع لوران شارع ابوقير الرئيسي 200 متر صــافي – رخصه,200,متر²,3,3
4123136,شقة للبيع في لوران – بين شارع ابو قير و الترام 720 متر TMZ5933,"7,000,000",لوران,720,متر²,4,3
4117088,لوران,"2,200,000",لوران,176,متر²,3,2
4101426,شقة للبيع في لوران 275 م - خطوات من ابو قير  TMZ6847,"3,650,000",لوران,275,متر²,3,2
4099326,لوران,"5,000,000",لوران,200,متر²,3,2
4106882,شقة للبيع 280م لوران ( عمارة سيف- خطوات من ش ابوقير ),"6,300,000",لوران ( عمارة سيف- خطوات من ش ابوقير ),280,متر²,3,4
