id,title,price,location,size,size_unit,bedrooms,bathrooms
4058141,شقة فاخرة للتمليك بمحرم بيك,"1,600,000",شارع محرم بك، محرم بك,100,متر²,2,1
4040477,شقه لقطه لدواعى السفر,"1,800,000",شارع الابعاديه محرم بك,107,متر²,3,1
4117114,شقة للبيع شارع قناة السويس مباشرة,"1,100,000",شارع قنال السويس,70,متر²,4,1
4019660,الاسكندراني محرم بيك,"2,500,000",الاسكندراني محرم بيه,130,متر²,2,1
4124969,استلم شقه في بالم هيلز اسكندرية بمقدم 5% بسعر القديم 151م²,"6,166,000",اسكندريه,151,متر²,3,2
4072431,شقة للبيع 202م صواري (المصرية السعودية),"6,100,000",Suez Canal Rd، Moharram Bey,202,متر²,3,3
4105360,محرم بك,"1,700,000",محرم بك  متفرع من  الترام,125,متر²,3,1
4074259,شقه مميزه داخل كمبوند صواري 145م تطل علي فيوهات مختلفه تقسيط علي 5 سنوات,"4,205,000",كمبوند صواري,145,متر²,3,2
4061567,بدون فوائد امتلك وحدتك السكنيه في صواري بمقدم 10%,"4,235,000",كمبوند صواري,154,متر²,3,2
4045274,شقة للبيع 170 م محرم بك (شارع الظافر)  / p 65,"1,700,000",شارع الظافر,170,متر²,3,1
4045221,شقة للبيع 170 م محرم بك (شارع الظافر) / p65,"1,700,000",شارع الظافر,170,متر²,3,1
4045919,خطوات من ميدان الرصافه وفتح الله بفيو مفتوح محرم بيك,"1,500,000",محرم بيك - ميدان الرصافه,105,متر²,3,1
3970964,شقة تمليك فيو استاد اسكندرية TMZ7222,"3,200,000",محرم بيك,152,متر²,3,2
4031932,شقة للبيع 209 م  بالم هيلز (كومباوند بالم هيلز اسكندرية بالقرب من كارفور سيتي),"8,346,000",Suez Canal Rd، Moharram Bey,209,متر²,4,4
4003478,شقه للبيع 222 متر كلها على الشارع بسعر استثمارى,"2,300,000",المحمودية,222,متر²,3,3
3983119,شقة للبيع 145 م محرم بك (ش قناة السويس),"1,750,000",محرم بك (ش قناة السويس),145,متر²,2,1
4029540,شقة للبيع 90 م محرم بك  ( شارع راغب باشا ),"600,000",شارع راغب باشا,90,متر²,2,1
4011289,شقة 222 متر للبيع كلها على المحمودية,"2,300,000",المحمودية الرئيسى,222,متر²,3,3
4029472,مكتب للبيع 90 م محرم بيك  ( شارع راغب باشا ),"650,000",محرم بيك  ( شارع راغب باشا ),90,متر²,2,1
4097120,المحمودية من جهة شارع العمدة شقة للبيع,"1,100,000",شارع قنال المحمودية البحري، محرم بك,110,متر²,3,1
4041434,للبيع - شقق 155 متر² _super_lux,"1,800,000",شارع البلينا، محرم بك,155,متر²,1,1
3845598,شقة للبيع 120م  محرم بك (علي الترام مباشره),"1,700,000",محرم بك (علي الترام مباشره),120,متر²,3,1
3851599,شقة للبيع 180م بــــ محرم بيك علي محور المحمودية (بالاسكندرية),"1,650,000",محرم بيك ع محور المحمودية مباشر,180,متر²,3,2
3825408,شقة للبيع بالدواليب والتكيفات145م بــ محرم بيك تاني نمرة علي الترام (بالاسكندرية,"1,700,000",محرم بيك تاني نمرة م الترام,145,متر²,3,2
3877724,شقة للبيع,"1,300,000",شارع المامون محرم بك,100,متر²,3,1
4105923,شقه سوبر لوكس,"1,300,000",شارع الرصافة، محرم بك,87,متر²,1,1
3896552,موقع مميز محرم بك خطوات من ميدان الرصافه ومستشفى حساب,"1,690,000",ش جرين محرم بك,125,متر²,3,1
3886950,شقق فى شارع قنال المحمودية البحري 140 متر² super_lux للبيع,"950,000",شارع قنال المحمودية البحري، محرم بك,140,متر²,3,1
4029659,للبيع بارقي منطقة محرم بك من المالك ٩٠٠ الف كاش,"900,000",شارع الرصافة، محرم بك,70,متر²,9,1
4049818,شقة للبيع,"600,000",ش بوالينو محرم بك اسكندرية,90,متر²,2,1
3903094,شقة للبيع تقاطع شارع قنال السويس مع قنال المحمودية,"900,000",2 شارع قنال السويس - محرم بك,90,متر²,3,1
3982122,شقة 3 غرف على قناة السويس مباشرة,"750,000",شارع قناة السويس محرم بك,100,متر²,3,1
3978444,شقة لقطه الترا سوبر لوكس غير مجروح محرم بك طريق المحمودية,"800,000",شارع المهدى العباسى بجوار مدرسة الجزائر عند بطلس للكوتش,110,متر²,3,1
4029542,للبيع ارقي منطقة محرم بك من المالك ٩٠٠ الف كاش,"900,000",شارع الرصافة، محرم بك,70,متر²,9,1
3811122,شقة 124م بدون تشطيب بمحرم بك,"1,000,000",طريق المحمودية / محرم بك,124,متر²,3,1
3929505,شقة للبيع 100 م محرم بك (كومباوند اوريا سيتي بجوار محرم باشا),"1,100,000",محرم بك (كومباوند اوريا سيتي بجوار محرم باشا),100,متر²,3,1
3836767,شقة للبيع 100 م محرم بك (كومباوند اوريا سيتي بجوار محرم باشا),"1,100,000",محرم بك (كومباوند اوريا سيتي بجوار محرم باشا),100,متر²,3,1
3934492,للبيع - شقق 160 متر² سوبر لوكس,"1,400,000",شارع قنال المحمودية البحري، محرم بك,160,متر²,4,2
3844599,شارع عبدالغفار متفرع من شارع بوالينو محرم بك,"250,000",بوالينو شارع عبد الغفار  مجرم بك,58,متر²,2,1
3847914,شقة لقطه الترا سوبر لوكس غير مجروح محرم بك طريق المحمودية,"800,000",محرم بك طريق المحمودية,110,متر²,3,1
3839231,شقه للبيع بمحرم بك شارع اسكندرانى,"550,000",حسن الاسكندرانى,80,متر²,3,1
3832728,شقه للبيع بمحرم بك شارع اسكندرانى,"550,000",حسن الاسكندرانى,80,متر²,3,1
4060073,شقق 130 متر² للبيع فى شارع محرم بك,"650,000",شارع محرم بك، محرم بك,130,متر²,3,1
4016158,3 غرف محرم بك موقع متميز (واجهتين) حصة في الأرض دور تاني مالك أول,"650,000",شارع أمين الرافعي,95,متر²,3,1
3907973,شقة بشارع الناصر محمد عند كوبري مشاه قناة السويس وجه بحري ٣ غرف وريسيبشن قطعتين أمام مساكن قناة السويس برج السعد,"1,000,000",شارع محرم بك، محرم بك,105,متر²,3,1
4020681,شارع الابعدية,"750,000",شارع الرصافة، محرم بك,80,متر²,2,1
3989880,شقة لقطة للبيع او للايجار بمحرم بيك,"690,000",ش محسن أمام عبد العال حسن موبيليا,110,متر²,3,1
3861060,شقه تمليك للبيع,"250,000",شارع عبد الغفار متفرع من شارع بوالينو محرم بك,58,متر²,2,1
3963671,شقة لللبيع,"400,000",شارع الزاهر متفرع من مسجد حجاج,80,متر²,2,1
4133076,شقة للبيع 70 متر,"450,000",الاسكندرية - محرم بك - شارع ابن قصير اخر بوالينو المقابل لعرفان,70,متر²,2,1
4132777,شقق سوبر لوكس فى شارع قنال المحمودية البحري,"1,170,000",الاسكندريه محرم بك الرصافة البر القبلى  محور المحمودية مباشر عند الملف اعلى صيدلية نور ومكتب سارة للسياحة والرحلات,140,متر²,3,1
4131173,شقه للبيع,"900,000",الاسكندريه محرم بك متفرع من شارع عرفان,90,متر²,2,1
4131317,شقه ٨٠متر للبيع الدور الاخير,"400,000",محرم بك,80,متر²,3,1
4129323,شقه للبيع في محرم بك -الرصافه,"800,000",محرم بك,90,متر²,2,1
4128464,شقه لقطه للبيع,"550,000",اسكندريه محرم بك,80,متر²,2,1
4123390,شقة مساحة 130 م2 محرم بيك شارع موازى لشارع اسكندرانى,"1,200,000",محرم بيك,130,متر²,2,1
4123383,شقة مساحة 140متر غير مجروحة بحرى متشطبة بالكامل,"1,650,000",محرم بيك,140,متر²,3,1
4122541,شقتين مفتوحين على بعض ٢٠٠م  للبيع من المالك مباشر,"2,800,000",محرم بيك,200,متر²,3,2
4122363,شقه للبيع  ٩٠م ٢ غرفة و ريسبشن قطعتين وحمام ومطبخ دور ١٣ وليس الاخير,"900,000",اسكندريه /محرم بك متفرع من شارع عرفان برج اللوتس,90,متر²,2,1
4122542,للبيع شقة ١٤٠ متر تشطيب كامل ٣غرف نوم/ صالة ٣غرف/ ٢حمام,"1,350,000",محرم بيك,140,متر²,3,2
4121221,شقة للبيع بالاسكندرية محرم بك 90متر,"900,000",الاسكندرية محرم بك,90,متر²,2,1
4117387,شقة للبيع بالاسكندرية محرم بك 85 متر,"530,000",الاسكندرية محرم بك,85,متر²,2,1
4119399,شقه للبيع  120 متر الدور التاني عماره 11 دور الدور شقه واحده 3 غرف كبار جدا,"750,000",اسكندريه/محرم بك متفرعه من عرفان واسكندراني والمحور شارع الامير مصطفي شارع اولو عرفان الرئيسي,120,متر²,3,1
4123411,شقة تمليك بحصة عقارية في الارض الدور الثالث وليس الاخير,"260,000",محرم بيك,65,متر²,2,1
4122687,شقة لقطة للبيع بمحرم بيك,"650,000",محرم بيك,110,متر²,3,1
