id,title,price,location,size,size_unit,bedrooms,bathrooms
4126513,شقة بمحطة الرمل  شارع صفية زغلول,"1,750,000",شارع صفية زغلول، محطة الرمل,76,متر²,1,1
4076382,عمارات الشرطة محطة الرمل شقة للبيع,"1,800,000",عمارات الشرطة شارع سليمان يسرى من صفية زغلول العطارين,110,متر²,2,1
4132448,شقة للبيع 125 م الازاريطه (بجانب كليه طب),"1,350,000",بجانب كليه طب محطة الرمل,125,متر²,4,1
4053754,شقة للبيع 140 م محطة الرمل (متفرع من صفية زغلول  ),"2,300,000",محطة الرمل متفرع من شارع صفية زغلول,140,متر²,3,1
4021034,محطة الرمل شقة للبيع تصلح سكني او اداري 130م بــــ محطة الرمل شارع النبي دانيال,"1,600,000",محطة الرمل شارع النبى دنيال,130,متر²,3,2
3992076,شقة دوبلكس للبيع 230 م محطة الرمل (متفرع من ش عمر لطفي),"3,200,000",محطة الرمل شارع عمر لطفى,230,متر²,2,3
3982456,شقة للبيع 200م بالحي اللاتيني( شارع السلطان حسين ),"4,050,000",الحي اللاتيني( شارع السلطان حسين ),200,متر²,3,2
3981563,شقة متفرع من السلطان حسين  ثاني نمرة,"1,700,000",شارع زاوية سلطان، محطة الرمل,110,متر²,2,1
3918058,شقة للبيع 200م صافي بــــ محطة الرمل خطوات من البحر مطلات مفتوحة (بالاسكندرية),"3,300,000",محطة الرمل  خطوات من البحر,200,متر²,3,2
3837740,شقة للبيع 260م بــــ  تاني نمرة من السلطان حسين (بالاسكندرية),"3,600,000",السلطان حسين,260,متر²,3,3
4125606,شقه في شارع فؤاد,"9,000,000",شارع فؤاد، محطة الرمل,300,متر²,4,3
4035081,شقة للبيع خطوات لمحطة الرمل ومنشية تاني نمره من البحر,"3,200,000",محطة الرمل,175,متر²,3,2
4003689,محطه الرمل ش السلطان حسين,"1,700,000",محطه الرمل,100,متر²,2,1
3880549,شقة للبيع 130م بــــ محطة الرمل شارع فؤاد (بالاسكندرية),"2,600,000",محطة الرمل شارع فؤاد الرئيسي,130,متر²,3,2
3996206,شقة للبيع 130م بـــ محطة الرمل خطوات من مدرسة سان شارل الالمــانية (بالاسكندرية),"1,650,000",محطة الرمل خطوات من مدرسة سان شارل,130,متر²,4,1
3911912,شقة للبيع -  شارع فؤاد  em-  مساحة 175 متر,"2,000,000",شقق للبيع بالاسكندريه  شارع فؤاد  em-  مساحة 175 متر,175,متر²,3,1
4125616,apartment in fouad street / شاقة في شارع فواد 250 م,"4,800,000",شارع فؤاد الاسكندرية,250,متر²,4,3
4105682,شقق فى شارع السفارة الإيطالية 130 متر² سوبر لوكس للبيع,"1,600,000",الاسكندريه محطه الرمل  بشارع صلاح الدين,130,متر²,3,1
4071381,شقه للبيع 120م,"600,000",الاسكندرية - أبو سليمان - شارع عمر,120,متر²,3,1
3926498,شقه للبيع في محطه الرمل,"2,500,000",محطه الرمل- اسكندرية,100,متر²,3,1
3926338,شقة للبيع محطة الرمل بجوار سينما مترو,"5,000,000",محطه الرمل- اسكندرية,250,متر²,5,3
3962814,من المالك مباشرة شقة بالرمل الميرى الدور ال6 و الاخير .... 123 متر,"475,000",الاسكندريه محطه الرمل,123,متر²,3,1
3962624,للبيع شقة بالرمل الميرى,"475,000",الرمل الميرى,123,متر²,3,1
3960346,شقه للبيع,"475,000",الاسكندريه  بمنطقة الرمل شارع مدرسة الجيل الجديد,123,متر²,3,1
4049478,شقه للبيع 70 متر,"200,000",الاسكندرية - أبو سليمان,70,متر²,3,1
4012323,شقة للبيع 181 م محطة مصر ( أبراج الياسمين - ابراج الشرطة ) محطة الرمل,"2,625,000",محطه الرمل- اسكندرية,181,متر²,3,2
3995378,شقه للبيع,"1,600,000",الاسكندريه محطه الرمل  بشارع صلاح الدين,130,متر²,3,1
3949279,شقة بمحطة الرمل شارع صفية زغلول مباشرة بجانب Alexa tower,"1,750,000",محطة الرمل,176,متر²,4,2
3856854,شقه للبيع  في كوم الدكه,"650,000",في كوم الدكه,60,متر²,2,1
3863515,شقة 110 متر صافي بمنطقة كوم الدكة خلف شركة المياه ريسيبشن 3 قطع,"650,000",اسكندريه \محطه الرمل\بمنطقة كوم الدكة خلف شركة المياه خطوات من شارع فؤاد,110,متر²,2,1
3855108,شقة للبيع رمل الميري بجوار مدرسه الجيل الجديد,"400,000",محطه الرمل- اسكندرية,123,متر²,3,1
3846314,للبيع من المالك شقه فى الغرفه التجارية على الترام أعلي مكتب البريد 5ريسبشن 3غرفة,"2,150,000",اسكندريه \محطه الرمل\لغرفه التجارية على الترام أعلي مكتب البريد,179,متر²,3,1
3765294,شقه للبيع فى كوبرى الناموس على محور المحموديه العمومى,"620,000",كوبرى الناموس عند الكوبرى بالظبط شارع مدرسه كورونا برج المدينه المنورة,100,متر²,3,1
4012315,شقة مميزة بجوار مدرسة سان شارل الألمانية 130 متر تصلح إداري أو سكني,"1,550,000",محطه الرمل- اسكندرية,130,متر²,3,1
4002856,ستوديو للبيع  في الرمل الميري,"270,000",الاسكندريه الرمل الميري,65,متر²,1,1
3973956,شقه فى الغرفه التجارية  179م صافي  5ريسبشن 3غرفة مطبخ وحمام كاملة العدادات,"2,250,000",اسكندريه/محطه الرمل/ الغرفه التجارية على الترام أعلي مكتب البريد,179,متر²,3,1
3977841,شقة بمحطة الرمل شارع صفيه زغلول,"2,500,000",الاسكندرية,120,متر²,3,1
3930452,شقه عريس من المالك ثلاث غرف وصاله تشطيب سوبر لوكس الدور الثالث,"185,000",شارع 4 من شارع مستشفى النهار والصحه يمين والموازي لشارع 20 بمنطقه ابو سليمان,65,متر²,3,1
3915969,شقه للبيع,"680,000",الاسكندريه محطه الرمل متفرع من شارع فؤاد,110,متر²,2,1
4012308,شقة دوبلكس في محطة الرمل تشطيب الترا سوبر لوكس,"3,200,000",محطه الرمل- اسكندرية,230,متر²,2,3
4126513,شقة بمحطة الرمل  شارع صفية زغلول,"1,750,000",شارع صفية زغلول، محطة الرمل,76,متر²,1,1
4076382,عمارات الشرطة محطة الرمل شقة للبيع,"1,800,000",عمارات الشرطة شارع سليمان يسرى من صفية زغلول العطارين,110,متر²,2,1
4132448,شقة للبيع 125 م الازاريطه (بجانب كليه طب),"1,350,000",بجانب كليه طب محطة الرمل,125,متر²,4,1
4053754,شقة للبيع 140 م محطة الرمل (متفرع من صفية زغلول  ),"2,300,000",محطة الرمل متفرع من شارع صفية زغلول,140,متر²,3,1
4021034,محطة الرمل شقة للبيع تصلح سكني او اداري 130م بــــ محطة الرمل شارع النبي دانيال,"1,600,000",محطة الرمل شارع النبى دنيال,130,متر²,3,2
3992076,شقة دوبلكس للبيع 230 م محطة الرمل (متفرع من ش عمر لطفي),"3,200,000",محطة الرمل شارع عمر لطفى,230,متر²,2,3
3982456,شقة للبيع 200م بالحي اللاتيني( شارع السلطان حسين ),"4,050,000",الحي اللاتيني( شارع السلطان حسين ),200,متر²,3,2
3981563,شقة متفرع من السلطان حسين  ثاني نمرة,"1,700,000",شارع زاوية سلطان، محطة الرمل,110,متر²,2,1
3918058,شقة للبيع 200م صافي بــــ محطة الرمل خطوات من البحر مطلات مفتوحة (بالاسكندرية),"3,300,000",محطة الرمل  خطوات من البحر,200,متر²,3,2
3837740,شقة للبيع 260م بــــ  تاني نمرة من السلطان حسين (بالاسكندرية),"3,600,000",السلطان حسين,260,متر²,3,3
4125606,شقه في شارع فؤاد,"9,000,000",شارع فؤاد، محطة الرمل,300,متر²,4,3
4035081,شقة للبيع خطوات لمحطة الرمل ومنشية تاني نمره من البحر,"3,200,000",محطة الرمل,175,متر²,3,2
4003689,محطه الرمل ش السلطان حسين,"1,700,000",محطه الرمل,100,متر²,2,1
3880549,شقة للبيع 130م بــــ محطة الرمل شارع فؤاد (بالاسكندرية),"2,600,000",محطة الرمل شارع فؤاد الرئيسي,130,متر²,3,2
3996206,شقة للبيع 130م بـــ محطة الرمل خطوات من مدرسة سان شارل الالمــانية (بالاسكندرية),"1,650,000",محطة الرمل خطوات من مدرسة سان شارل,130,متر²,4,1
3911912,شقة للبيع -  شارع فؤاد  em-  مساحة 175 متر,"2,000,000",شقق للبيع بالاسكندريه  شارع فؤاد  em-  مساحة 175 متر,175,متر²,3,1
4125616,apartment in fouad street / شاقة في شارع فواد 250 م,"4,800,000",شارع فؤاد الاسكندرية,250,متر²,4,3
4105682,شقق فى شارع السفارة الإيطالية 130 متر² سوبر لوكس للبيع,"1,600,000",الاسكندريه محطه الرمل  بشارع صلاح الدين,130,متر²,3,1
4071381,شقه للبيع 120م,"600,000",الاسكندرية - أبو سليمان - شارع عمر,120,متر²,3,1
3926498,شقه للبيع في محطه الرمل,"2,500,000",محطه الرمل- اسكندرية,100,متر²,3,1
