id,title,price,location,size,size_unit,bedrooms,bathrooms
4109854,حى اللاتينى,"9,000,000",حى اللاتيني جنب الإستاد,475,متر²,4,4
3852450,شقة 125 متر محور المحمودية حجر النواتية للبيع,"850,000",محور المحمودية - حجر النواتية,125,متر²,3,1
4111334,شقة 100 متر للبيع,"650,000",وينجت، مناطق فرعية بالأسكندرية,100,متر²,2,1
4047504,شقة للبيع 174م الحى اللاتينى (متفرع من شارع فؤاد ),"5,250,000",الحى اللاتينى (متفرع من شارع فؤاد ),174,متر²,3,3
3981255,الحى اللاتينى شقة ٥٠٠ متر بالحى اللاتينى امام الاستاد مباشرة,"15,000,000",الحى اللاتينى، مناطق فرعية بالأسكندرية,500,متر²,1,1
3909888,شقه للبيع 260 م الحى اللاتينى (ش البطالسه),"6,500,000",ش البطالسه,260,متر²,3,3
3903124,شقة متشطبة سوبر لوكس جاهزة للسكن,"800,000",وينجت، مناطق فرعية بالأسكندرية,120,متر²,1,1
4004925,شقة للبيع الورديان تشطيب سوبر لوكس,"600,000",الورديان خفاجا,140,متر²,5,1
3836040,شقة للبيع فى السلطان حسين - الاسكندرية,"6,500,000",Latin Neighborhood، Other Neighborhoods In Alexandria,275,متر²,3,3
4042319,وينجت شقة للبيع,"950,000",وينجت، الأسكندرية,160,متر²,1,1
4006910,فيلا دوبلكس للبيع علي استاد اسكندريه مباشرة,"9,000,000",شارع باتريس لومببا أمام استاد اسكندريه,475,متر²,4,4
3963885,شقة للبيع في منطقة ابوسليمان,"450,000",العوايد، مناطق فرعية بالأسكندرية,140,متر²,1,1
3871858,شقة في كومباوند سيانو سيتي برج اللوتس,"900,000",الاسكندرية,150,متر²,3,1
4099261,شقه للبيع بالإسكندرية,"380,000",شاطيء الصفا,130,متر²,3,1
3972107,فيلا دوبلكس للبيع علي استاد اسكندريه مباشرة,"9,000,000",شارع باتريس لومببا أمام استاد اسكندريه,475,متر²,4,4
3810982,دور شقتين للبيع,"350,000",الورديان شارع شداد نمره ٩ الإسكندرية,170,متر²,5,2
3820068,شقة تمليك للبيع,"350,000",العوايد,84,متر²,2,1
4042914,شقق لوكس للبيع فى مناطق فرعية بالأسكندرية,"230,000",ميدان الساعة، فيكتوريا,85,متر²,3,1
4111153,الحى الاتينى بشارع فؤاد بجوار مجمع القنصليات,"1,200,000",الحى الاتينى بشارع فؤاد بجوار مجمع القنصليات,100,متر²,3,1
3945849,شقه ١٧٢  للبيع في الحي اللتيني,"6,000,000",منطقه الفرعنه بالحي الا تيني,172,متر²,3,3
3682335,محور الاسكندريه كوبري الناموس شارع المواسير جانوتي خلف شركة الصرف الصحي امام موبليات الخراشي,"280,000",كوبرى الناموس,120,متر²,2,1
3890823,شقه 70 متر,"250,000",الاسكندريه - فيكتوريا,70,متر²,2,1
3987476,شقة متشطبة ناصية للبيع بال٥٠٠ بجوار مطعم كيمو,"395,000",ر مطعم كيمو، العوايد، الاسكندرية,120,متر²,3,1
4024679,كوم الدكة شقة للبيع,"750,000",كوم الدكة بالقرب من شارع فؤاد,145,متر²,4,1
3820076,شقق للبيع فى العطارين,"600,000",El Attarin، Other Neighborhoods In Alexandria,112,متر²,2,1
3822165,شقة لقطة في كوم الدكة متفرع من شارع فؤاد,"450,000",كوم الدكة الاسكندريه متفرع من شارع فؤاد,80,متر²,2,1
3820205,شقة في كوم الدكة خلف شركة المياه,"650,000",شارع العروسي خلف شركة المياه. كوم الدكة,110,متر²,3,1
3917904,العجمى ك21 منطقه المهندسين الزراعين,"155,000",شارع أكتوبر النخيل، شاطئ النخيل - ٦ اكتوبر,75,متر²,2,1
3828419,شقة مصيفية بالعجمى,"155,000",الكيلو 21,80,متر²,2,1
4131917,شقه للبيع سوبر لوكس,"290,000",اسكندريه الكيلو 21,80,متر²,2,1
4133448,شقه للبيع خلف شركة سيكلام,"400,000",خلف شركة سيكلام,90,متر²,3,1
4131076,- شقه للبيع  3غرف بجوار حمام سباحه دانا بلازا-,"465,000",6 اكتوبر,115,متر²,3,1
4131032,شقة مميزة 4 غرف بالكيلو 21 الساحل الشمالي,"420,000",الكيلو 21 الساحل الشمالي,135,متر²,4,2
4131164,شقه للبيع,"480,000",الاسكندريه العوايد الرحمة خورشيد بجوار محور المحمودية الجديد,120,متر²,3,1
4130949,- شقه للبيع  بجوار شارع بوابه رقم 2 ((بـــــشاطي النخيل العجمي ))-,"470,000",6 اكتوبر,105,متر²,2,1
4130853,"- شقه  بجوار , شارع بوابه 2- ((بـــــشاطي النخيل العجمي ))-","365,000",6 اكتوبر,115,متر²,2,1
4130839,شقة للبيع تشطيب سوبر لوكس يوجد جميع المرافق,"400,000",21,90,متر²,2,1
4129994,شقه لقطه للبيع,"330,000",اسكندريه الكيلو 21,80,متر²,2,1
4128705,أمتلك شقة بالروڤ اول سكن,"470,000",اسكندريه العجمي,180,متر²,2,1
4128746,شقه لقطه للبيع,"480,000",اسكندريه الكيلو 21,100,متر²,2,1
4128773,أمتلك شقة اول سكن من المالك مباشرة,"560,000",اسكندريه الكيلو 21,140,متر²,3,2
4128757,شقة للبيع بالاسكندرية العوايد 100 متر,"110,000",الاسكندرية العوايد,100,متر²,3,1
4129577,شقة للبيع بالاسكندرية الكيلو 21 80متر,"310,000",الاسكندرية الكيلو 21,80,متر²,3,1
4129687,شقه لقطه بحري شرقي غرفتين حمام ريسبشن قطعتين مساحه 110 متر,"450,000",اسكندريه / كيلو 21 شاطئ النخيل 6 كتوبر ضباط القوات المسلحة,110,متر²,2,1
4125158,شقه ف العجمي اسكندريه الكيلو 21 منطقة الزراعيين,"280,000",اسكندريه الكيلو 21,80,متر²,2,1
4128616,شقة تمليك بارقى مناطق,"700,000",اسكندريه الورديان,120,متر²,3,1
4114296,شقة للبيع بالاسكندرية الكيلو   21 130 متر,"420,000",الاسكندرية الكيلو 21,130,متر²,4,1
4124758,للبيع شقه بالعطارين,"570,000",العطارين,100,متر²,2,1
4123900,شقة  للبيع 110م,"950,000",الاسكندريه_وينجت,110,متر²,3,1
4122439,شقة رقم ٤٥ في عمارة رقم ٤٩ برج الفيروز عمارة خوازيق وأساسات سليمة,"390,000",عوايد,95,متر²,2,1
4121210,شقة للبيع بالاسكندرية العطارين 255 متر,"2,000,000",الاسكندرية العطارين,255,متر²,4,2
4118895,شقه للبيع,"1,050,000",الاسكندريه الورديان علي الشارع العمومى,90,متر²,2,1
4114502,شقه تمليك للبيع,"220,000",اسكندريه الكيلو 21,75,متر²,2,1
4114442,شقه لقطه للبيع,"250,000",اسكندريه الكيلو 21,100,متر²,3,1
4122686,للبيع شقه ف ال٢١ شارع الفادي أمام شارع التأمين,"350,000",الكيلو 21,140,متر²,3,1
4122272,شقه للبيع 85 متر مكونه من غرفتين نوم  ريسبشن   حمام مطبخ  تشطيب  سوبر لوكس,"190,000",اسكندريه /فالكيلو 21 الزراعيين,85,متر²,2,1
