id,title,price,location,size,size_unit,bedrooms,bathrooms
4127777,للبيع بعمارات ظباط مصطفي كامل  بالاسكندرية شقة 150 متر مربع,"2,200,000",منطقة مصطفي كامل، الاسكندرية,150,متر²,3,1
4119968,شقة للبيع 400 م مصطفي كامل  ( شارع ابو قير ),"11,000,000",مصطفي كامل شارع ابو قير,400,متر²,4,4
4094522,شقة للبيع في مصطفي كامل  - 120 متر – مساكن الظباط - بالقرب من البحر  TMZ7307,"1,650,000",مصطفى كامل,120,متر²,2,1
4054545,شقة للبيع 167 م مصطفى كامل (ش ابراهيم شريف - امام كيروسيز مول),"3,500,000",مصطفى كامل (ش ابراهيم شريف - امام كيروسيز مول),167,متر²,3,2
4007818,مصطفى كامل شارع ابوقير الرئيسي  بحرى شارع ابوقير,"3,500,000",مصطفى كامل,170,متر²,3,2
4004120,شقة للبيع 180 م مصطفي كامل (واجهة بحرية - ش ابو قير),"2,950,000",واجهة بحرية - ش ابو قير,180,متر²,3,2
3901780,شقة للبيع  مصطفى كامل 151 م (عمارات الضباط),"2,250,000",عمارات الضباط,151,متر²,3,1
3981098,مصطفى كامل شارع ابوقير الرئيسي  بحرى شارع ابوقير,"2,750,000",مصطفى كامل شارع ابوقير الرئيسي  بحرى شارع ابوقير,170,متر²,3,2
3982286,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه مصطفى كامل,"2,750,000",مصطفى كامل,170,متر²,3,2
3959225,شقه للبيع 150م بــــ مصطفي كامل ش شارع ابوقير مباشره (بالاسكندرية),"2,000,000",مصطفي كامل شارع ابوقير,150,متر²,3,2
4030406,شقة للبيع في مصطفى كامل,"5,000,000",خليل الخياط,150,متر²,3,2
4116645,للبيع شقه في محطه ترام صفر,"770,000",ترام صفر شارع مصطفى كامل,110,متر²,2,1
4115824,شقة للبيع قريبة من مصطفي كامل,"400,000",قريبة من مصطفي كامل,90,متر²,2,1
4107833,شقه ٧٥ متر متشطبه الدور ثامن والاخير اوضه كبيره جدا اوضتين مفتوحين ع بعض,"200,000",اسكندريه /شارع البحريه من مصطفى كامل,75,متر²,2,1
4082870,شقه للبيع  150 متر دور تاسع مباني 2004 بعيد عن أي مخالفات 3 غرف ورسيبشن كبير,"1,200,000",اسكندريه/ سيدى بشر /مصطفي كامل عند معرض اسكندريه الدولي,150,متر²,3,1
4110198,للبيع مساحة ١٥٠ متر صافي ٣ اوض كبار وريسبشن ٣ قطع دور كامل,"780,000",اسكندريه / سيرا  على شارع مصطفى كامل,150,متر²,3,1
4087484,شقة عريس للبيع لقطة,"150,000",اسكندريه البحريه,60,متر²,1,1
4047048,للبيع شقه عروسه متشطبة ٤٠ شارع الطيار احمد سعود,"350,000",٤٠ شارع الطيار احمد سعود  - مصطفي كامل,65,متر²,2,1
4073735,شقة للبيع 150 م في حي مصطفى كامل,"4,000,000","مصطفي كامل, الإسكندرية",150,متر²,3,2
4030555,شقه للبيع رابع نمره من شارع مصطفى كامل,"550,000",شارع مصطفى كامل,120,متر²,3,1
