id,title,price,location,size,size_unit,bedrooms,bathrooms
4092983,متفرعه من شارع خالد ابن الوليد الرئيسي,"1,790,000",متفرعه من شارع خالد ابن الوليد الرئيسي,115,متر²,2,2
4086039,شقة للبيع  130م ميامي الجديدة (ابراج ميجا تاورز),"1,710,000",ميامي الجديدة (ابراج ميجا تاورز),130,متر²,2,1
3956847,شقة للبيع 280 م ميامي الجديدة (كموباوند اليكس واي),"2,400,000",ميامي الجديدة (كموباوند اليكس واي),280,متر²,6,3
3994121,شقه للبيع  ميامي الجديده شارع اسكوت,"900,000",اسكوت,120,متر²,2,1
4026150,شقة غرفتين تشطيب سوبر لوكس,"600,000",شارع مدرسة القدس، ميامي الجديدة,70,متر²,2,1
3989107,للبيع شقة كومباوند الاطباء بشارع اسكوت ميامى الجديدة,"520,000",شارع خمسة و أربعين، ميامي,105,متر²,3,1
4026127,شقة سوبر لوكس ، شارع مدارس القدس,"600,000",شارع مدرسة القدس، ميامي الجديدة,70,متر²,2,1
3990562,شقق للبيع فى شارع مصطفي كامل,"330,000",ميامي الجديدة شارع الشامي,75,متر²,2,1
3784276,شقة 110م للبيع في كمبوند ميجا تاورز - الاسكندرية,"1,320,000",الإسكندرية,110,متر²,2,1
3784289,شقة 185م للبيع في كمبوند ميجا تاورز - الاسكندرية,"1,850,000",الإسكندرية,185,متر²,1,1
3784262,شقة 110م للبيع في كمبوند ميجا تاورز - الاسكندرية,"1,100,000",الإسكندرية,110,متر²,2,1
3875656,شقة للبيع فى ميامي الجديدة,"325,000",ميامي الجديدة، الاسكندرية,60,متر²,1,1
4073802,شقة 3 غرف للبيع سوبر لوكس,"275,000",شارع البحرية متفرع من شارع مصطفي كامل . الاسكندرية,95,متر²,3,1
4007833,شقه١١٠متر ف ميامي جديده,"550,000",ميامي الجديده جنب مدرسه القدس,110,متر²,3,1
3998100,شقه للبيع فى الاسكندرية 120 متر ميامى الجديدة,"850,000",ميامى الجديدة/ الاسكندرية,120,متر²,3,1
3887704,شقة للبيع في ميامي الجديدة مدينة الاطباء,"800,000",مدينة الاطباء ميامي الجديدة شارع المدارس,118,متر²,3,1
3818342,شقه مع سطح,"290,000",شارع 45، العصافرة,110,متر²,4,1
3924952,الاسكندريه،ميامي الجديده،شارع المدارس الدوليه ،ماركت رزق,"500,000",الاسكندريه،ميامي الجديده،شارع المدارس الدوليه الخاصه،قمة السوق ماركيت رزق,80,متر²,3,1
