id,title,price,location,size,size_unit,bedrooms,bathrooms
4132346,شقة للبيع في ميامي - 220 متر بحر مباشر TMZ7253,"7,000,000",ميامي,220,متر²,2,2
3994117,شقة للبيع ميامى العيسوى رئيسي,"2,300,000",شارع محمود العيسوي، ميامي,170,متر²,3,1
4105326,شقة للبيع بمنطقة ميامي بمكان مميز جدا,"1,500,000",شارع السباعي متفرع من اسكندر ابراهيم عمارة العشماوي,120,متر²,3,1
4128088,شقة للبيع بأحدث التشطيبات والديكورات بأرقي أبراج خالد بن الوليد,"1,500,000",ختلد,160,متر²,3,2
4130925,الأسكندرية - ميامي - ش عبد السلام عارف أول خالد الوليد من جهة البحر,"750,000",ميامي، شارع عبد السلام عارف ، أو شارع متفرع من ش خالد ابن الوليد على بعد ٣٠٠ متر من شاطئ ميامي,120,متر²,3,1
4069100,العيسوي شارع جلال حماد امام مستشفي مارى مرقص,"2,250,000",شارع محمود العيسوي، ميامي,220,متر²,3,2
4108418,شقة علي شارع اسكندر ابراهيم العمومي عالبحر لهواة الزوق الرفيع من المالك,"1,800,000",شارع اسكندر ابراهيم عمومي بجوار السنترال,100,متر²,3,1
4108285,شقة ثاني نمرة من البحر خلف أبراج أمون علي بعد خطوات من شارع خالد بنرالوليد,"1,400,000",خلف أبراج أمون ، ميامي,130,متر²,3,1
3963627,شقة للبيع 180 م ميامي ( شارع خالد ابن الوليد ),"1,900,000",شارع خالد ابن الوليد,180,متر²,3,2
4065522,شقه للبيع,"2,550,000",العيسوى,170,متر²,3,3
4113418,شقة للبيع  فى ميامى على البحر  100م TMZ6712,"2,100,000",ميامي,100,متر²,2,1
4114258,شقة للبيع في المندرة 105 م شارع سيدى كمال TMZ6504,"900,000",ميامي,105,متر²,2,1
4110604,شقة للبيع 250 م ميامى (على البحر مباشرة),"5,200,000",على البحر مباشرة,250,متر²,3,2
4053480,شقه للبيع على العيسوي الرئيسي,"900,000",العيسوي الرئيس بالقرب من اسكندر ابراهيم,100,متر²,2,1
4095888,ميامى,"3,000,000",ميامى على البحر,340,متر²,6,3
4054153,شقة للبيع  154 م ميامي ( ش اسكندر ابراهيم - ثالث نمرة من البحر),"1,850,000",ميامي ( ش اسكندر ابراهيم - ثالث نمرة من البحر),154,متر²,3,2
4001775,شقة للبيع 110م تصلح سكني وإداري ميامي (شارع العيسوي ),"1,650,000",ميامي شارع العيسوي,110,متر²,2,1
