id,title,price,location,size,size_unit,bedrooms,bathrooms
4057175,شقة سوبر لوكس للبيع الدخيلة على البحر مباشر,"2,100,000",ميناء الدخيلة، الاسكندرية,230,متر²,1,1
4010335,للبيع - شقق سوبر لوكس فى ميناء الدخيلة,"1,200,000",ميناء الدخيلة، الاسكندرية,200,متر²,1,1
3919341,شقه علي البحر مباشرةً امام نادي الشرطة + باكيه جراج,"1,400,000",علي كورنيش الدخيلة امام نادي الشرطة وسي جل الدخيلة,152,متر²,3,1
3936456,شقق للبيع فى ميناء الدخيلة شارع الجيش كود M9038,"9,900,000",Port Of El Dekheila، Alexandria,300,متر²,4,4
3972300,شقة علي العضم للبيع التعامل مع المالك مباشرا دون عمولات او نسب,"300,000",الدخيله شارع رئيسي امام شركة اللوجيتسية و قاعات المجمع الملكي,130,متر²,3,1
4128029,شقة للبيع بالاسكندرية الدخيلة 120 متر,"650,000",الاسكندرية الدخيلة,120,متر²,3,1
4124205,شقه بلدخيله علي البحر,"600,000",الاسكندريه الدخليه,110,متر²,4,1
4107799,الريسيشن بانوراما علي البحر تشطيب ايجيبل كاتم للصوت. و   جميع الغرف مطلاتها علي,"2,400,000",الدخيله,250,متر²,4,1
4095887,شقة للبيع في الدخيلة الشارع الموازي للبحر مساحة 110 م برج سيف الدين أعلى فرع اور,"800,000",الدخيله,110,متر²,2,2
4093797,للبيع شقه في العجمي الدخيله,"400,000",العجمي الدخيله,140,متر²,3,1
4093758,شقه للبيع فى  الدخيله قبل مسجد سناني,"280,000",الدخيله,80,متر²,2,1
4081965,شقه للبيع ١٢٥ متر,"900,000",الدخيله,125,متر²,3,1
4069737,شقة للبيع بالاسكندرية الدخيلة 90متر,"350,000",الاسكندرية الدخيلة,90,متر²,2,1
4059894,شقة للبيع بالاسكندرية الدخيلة 120 متر,"380,000",الاسكندرية الدخيلة,120,متر²,3,1
4054726,شقه غرفتين وصاله للبيع,"240,000",الاسكندريه الدخيله  بشارع عيد الطلخاوي الموازي لفضه بعد هيبر فتحالله,85,متر²,2,1
4044681,شقة بين الدخيلة و وادي القمر امام نادي سي جاردن لظباط الشرطة 110 متر,"530,000",بين الدخيلة و وادي القمر امام نادي سي جاردن لظباط الشرطة,110,متر²,2,1
4044205,للبيع شقه بالدخيلة علي البحر,"1,900,000",الدخيلة,170,متر²,3,2
4039917,يوجد شقة للبيع بالعجمي الدخيلة البحرية الدور الأول علوي مساحة 95 متر,"290,000",الاسكندرية - العجمي الدخيلة البحرية,95,متر²,3,1
4056202,شقه لؤطه تنفع عريس,"240,000",اسكندريه الدخيله,80,متر²,2,1
4023944,للبيع شقة 110 متر,"630,000",الاسكندرية - الدخيلة البحرية شارع مسجد ابو ناجي,110,متر²,3,1
4013531,للبيع شقه في الدخيله,"650,000",الدخيله,120,متر²,3,2
4036608,شقه للبيع  الدخيله البحريه,"280,000",الدخيله البحريه,90,متر²,3,1
4036605,للبيع شقه في الدخيله البحريه,"255,000",الدخيله البحريه,80,متر²,2,1
4026677,شقه بمنطقه الدخيله اول نمره بحر جميع المطلات على المياه مباشر 135م,"1,500,000",الاسكندرية -  الدخيله اول نمره بحر جميع المطلات على المياه مباشر,135,متر²,3,1
3987381,شقة للبيع الدخيلة شارع الجيش,"200,000",الدخيلة شارع الجيش,70,متر²,2,1
4021249,شقة للبيع من المالك مباشرة - الدخيله امام مستشفى قصر الشفا,"420,000",الدخيله,110,متر²,3,1
