id,title,price,location,size,size_unit,bedrooms,bathrooms
4051872,شقة للبيع 330 م  وابور المياه,"4,200,000",وابور المياه,330,متر²,4,3
4043604,شقق للبيع فى وابور المياه,"2,200,000",وابورمياه شارع جلال دسوقي,150,متر²,4,1
4085961,شقة للبيع  270 م وابور المياة (ش جلال الدين الدسوقي)/44,"4,000,000",ش جلال الدين الدسوقي,270,متر²,3,2
4075138,للبيع - شقق سوبر لوكس فى شارع الشهيد جلال الدسوقي,"2,750,000",وابورمياه ٢ نمره شارع جلال دسوقي,126,متر²,3,1
4060835,شقة فاخرة رائعة في وابور الماية ، الإسكندرية,"4,000,000",Waboor El Mayah، Other Neighborhoods In Alexandria,220,متر²,3,3
4049834,شقة للبيع في وابور المياه كمبوند البركة 190متر فيو الترام TMZ6838,"3,900,000",وابور المياة,190,متر²,3,2
4035272,شقة للبيع في كمبوند فيوتشر سيتي مساحة 200م,"4,000,000",شارع جلال الدسوقي كميوند المستقبل سيتي,200,متر²,4,2
3976231,وابورمياه شقة للبيع,"2,750,000",وابورمياه كامباوند البركه,150,متر²,3,2
3929444,شقة للبيع في وابور المياه كمبوند البركة 190متر فيو الترام و جلال الدسوقي TMZ6838,"3,900,000",وابور المياة,190,متر²,3,3
3894199,شقة للبيع فى وابور المياة  ( ش جلال الدسوقى  ),"4,100,000",وابور المياة,215,متر²,3,3
3858568,شقة للبيع في الاسكندرية في وبور المياه كمبوند فيوتشر ستي,"3,600,000",وبور المياه محرم بك كمبوند فيوتشر سيتى,200,متر²,3,2
3849839,شقة 175 م كمباوند وابو المياه,"3,000,000",وابور المياه,175,متر²,3,2
3934050,شقة للبيع في كومباوند البركة امتداد وابور المياه 145 متر TMZ7197,"2,500,000",وابور المياة,145,متر²,3,2
3843561,شقة 160 م ابراج الشرطة فيو مفتوح,"3,000,000",وابور المياه,160,متر²,3,2
3939122,شقة للبيع 200 م وابور المياه (خطوات من ميدان زويل),"2,800,000",خطوات من ميدان زويل وابور المياه,200,متر²,3,2
3825452,شقة للبيع بالدواليب 155م بـــ وابور المياه شارع جلال الدين الدسوقي(بالاسكندرية),"2,000,000",وابور المياه شارع جلال الدين الدسوقي,155,متر²,3,2
3918820,شقة للبيع 200م بــ وابور الميـــــاه خطوات من بنك CIB مطلات مفتوحة (بالاسكندرية),"2,800,000",وابور المياه خطوات من بنك CIB,200,متر²,3,2
4042720,شارع الشهيد جلال الدسوقي شقة للبيع,"3,000,000",شارع الشهيد جلال الدسوقى,176,متر²,3,2
4031743,شقة للبيع في وابور المياه الاسكندرية,"2,750,000",El Shaheed Galal El Desouky St.، Waboor El Mayah,126,متر²,3,1
3981749,شقة للبيع بوابور المياه الاسكندرية اكسترا سوبر لوكس,"2,750,000",وابو المياه,200,متر²,3,3
3915583,شقة للبيع في كومباوند البركة وابور المياة TMZ7193,"2,100,000",وابور المياة,145,متر²,3,1
3874059,شقة مرخصة للبيع وابور المياه 200م علي خطواط من ميدان زويل,"3,400,000",Waboor El Mayah، Other Neighborhoods In Alexandria,200,متر²,3,3
3911420,شقة للبيع في وابور المياه كمبوند البركة 150 متر,"2,250,000",وابور المياه,150,متر²,3,1
3951467,شقة لقطة للبيع في وابور المياه,"2,500,000",شارع الشهيد جلال الدسوقي، وابور المياه,180,متر²,3,2
3822646,‎ شقة بالدور الاول للبيع من المالك مباشرة بجوار  كمبواند البركة على الترام مباشرة,"620,000",شارع الشهيد جلال الدسوقي، الحضرة,100,متر²,2,1
4111154,شقة 120م 3 غرف,"1,400,000",الاسكندرية الحضرة,120,متر²,3,1
4012028,للبيع شقة ١٤٥متر,"1,700,000",الاسكندرية - وابور المياة -  شارع جلال الدسوقي امام رنين بجوار كمباوند البركة,145,متر²,3,1
3900256,شقة للبيع امتداد وابور المياة شارع جلال الدسوقي,"1,200,000",امتداد وابور المياة شارع جلال الدسوقي,145,متر²,3,1
3871144,شقه سكنيه للبيع,"4,500,000",وابور المياه,225,متر²,4,3
3894537,للبيع شقة ١٤٥متر امتداد وابور المياة,"1,200,000",شارع جلال الدسوقي,145,متر²,3,1
3896041,للبيع شقة ١٤٥متر امتداد وابور المياة,"1,200,000",الاسكندرية وابور المياه,145,متر²,3,2
3871140,شقة مرخصة للبيع وابور المياه 200م علي خطواط من ميدان زويل,"3,400,000",وابور المياه,200,متر²,3,2
4024936,للبيع شقة ١٤٥متر امتداد وابور المياة شارع جلال الدسوقي امام رنين,"1,150,000",الاسكندريه وابور المياه,145,متر²,2,1
4107368,شقه للبيع 143 متر,"3,000,000",الاسكندرية - وابور المياه - كمبوند ريتاج,143,متر²,3,2
4060700,شقة للبيع قريبة من استاد الإسكندرية وشركة المياه,"450,000",قريبة من استاد الإسكندرية وشركة المياه,80,متر²,2,1
3827817,شقه للبيع,"1,300,000",وابور المياه,165,متر²,4,1
3906886,شقة  للبيع 160م,"1,440,000",وابور المياه_بجوار كومباوند البركه,160,متر²,3,2
4051872,شقة للبيع 330 م  وابور المياه,"4,200,000",وابور المياه,330,متر²,4,3
4043604,شقق للبيع فى وابور المياه,"2,200,000",وابورمياه شارع جلال دسوقي,150,متر²,4,1
4085961,شقة للبيع  270 م وابور المياة (ش جلال الدين الدسوقي)/44,"4,000,000",ش جلال الدين الدسوقي,270,متر²,3,2
4075138,للبيع - شقق سوبر لوكس فى شارع الشهيد جلال الدسوقي,"2,750,000",وابورمياه ٢ نمره شارع جلال دسوقي,126,متر²,3,1
4060835,شقة فاخرة رائعة في وابور الماية ، الإسكندرية,"4,000,000",Waboor El Mayah، Other Neighborhoods In Alexandria,220,متر²,3,3
4049834,شقة للبيع في وابور المياه كمبوند البركة 190متر فيو الترام TMZ6838,"3,900,000",وابور المياة,190,متر²,3,2
4035272,شقة للبيع في كمبوند فيوتشر سيتي مساحة 200م,"4,000,000",شارع جلال الدسوقي كميوند المستقبل سيتي,200,متر²,4,2
3976231,وابورمياه شقة للبيع,"2,750,000",وابورمياه كامباوند البركه,150,متر²,3,2
3929444,شقة للبيع في وابور المياه كمبوند البركة 190متر فيو الترام و جلال الدسوقي TMZ6838,"3,900,000",وابور المياة,190,متر²,3,3
3894199,شقة للبيع فى وابور المياة  ( ش جلال الدسوقى  ),"4,100,000",وابور المياة,215,متر²,3,3
3858568,شقة للبيع في الاسكندرية في وبور المياه كمبوند فيوتشر ستي,"3,600,000",وبور المياه محرم بك كمبوند فيوتشر سيتى,200,متر²,3,2
3849839,شقة 175 م كمباوند وابو المياه,"3,000,000",وابور المياه,175,متر²,3,2
3934050,شقة للبيع في كومباوند البركة امتداد وابور المياه 145 متر TMZ7197,"2,500,000",وابور المياة,145,متر²,3,2
3843561,شقة 160 م ابراج الشرطة فيو مفتوح,"3,000,000",وابور المياه,160,متر²,3,2
3939122,شقة للبيع 200 م وابور المياه (خطوات من ميدان زويل),"2,800,000",خطوات من ميدان زويل وابور المياه,200,متر²,3,2
3825452,شقة للبيع بالدواليب 155م بـــ وابور المياه شارع جلال الدين الدسوقي(بالاسكندرية),"2,000,000",وابور المياه شارع جلال الدين الدسوقي,155,متر²,3,2
3918820,شقة للبيع 200م بــ وابور الميـــــاه خطوات من بنك CIB مطلات مفتوحة (بالاسكندرية),"2,800,000",وابور المياه خطوات من بنك CIB,200,متر²,3,2
4042720,شارع الشهيد جلال الدسوقي شقة للبيع,"3,000,000",شارع الشهيد جلال الدسوقى,176,متر²,3,2
4031743,شقة للبيع في وابور المياه الاسكندرية,"2,750,000",El Shaheed Galal El Desouky St.، Waboor El Mayah,126,متر²,3,1
3981749,شقة للبيع بوابور المياه الاسكندرية اكسترا سوبر لوكس,"2,750,000",وابو المياه,200,متر²,3,3
