,id,title,price,location,size,size_unit,bedrooms,bathrooms,location_region
0,4066943,شقة مصيفية للبيع,240000,ابو تلات - العجمي - الإسكندرية,80,متر²,2,1,أبو تلات
1,4042924,روف علي البحر مباشره,300000,شارع ابو تلات علي شاطئ ابوتلات,250,متر²,4,1,أبو تلات
2,4061623,شقة لقطة للبيع لظروف السفر,490000,ابو تلات ، كمباوند جاسمين ٤ ، شارع الزنكلوني المتفرع من شارع الأهرام,85,متر²,2,1,أبو تلات
3,3887581,شقه للبيع غرفتين وصاله,250000,ابو تلات,70,متر²,2,1,أبو تلات
4,4073780,الكيلو 23 أبو تلات طريق الساحل الشمالي,120000,الكيلو 23 أبو تلات طريق الساحل الشمالي أمام مظلوم للسيراميك الكيلو 23 شارع الدكتور محمد خفاجي,55,متر²,1,1,أبو تلات
5,3835610,ستديو في ابو تلات الاسكندرية - تالت صف علي البحر,120000,ش الاهرام بجوار نقطة حي ابو تلات,56,متر²,1,1,أبو تلات
6,4133124,شقه ٨٠ متر للبيع علي الطوب,150000,شاطئ الصفا بجوار فيلا ابراهيم نافع,80,متر²,2,1,أبو تلات
7,4127913,شقه دوبلكس 160 م سوبر لوكس بالعفش,950000,"أبو تلات, الإسكندرية",160,متر²,3,2,أبو تلات
8,4120943,شقة للبيع,175000,الاسكندريه ابو تلات,80,متر²,2,1,أبو تلات
9,4121862,لسرعة البيع بسعر لقطة شقة اول صف علي البحر,550000,الاسكندريه أبوتلات,100,متر²,2,1,أبو تلات
10,4121849,اشترى واستلم فورا من المالك شقة مصيفية او سكنية للبيع,175000,الاسكندريه أبوتلات,80,متر²,2,1,أبو تلات
11,4097431,شقة للبيع ابو تلات الاسكندرية من المالك مباشر,300000,ابو تلات,85,متر²,2,1,أبو تلات
12,4097437,- ادفع مقدم 176الف واستلم فورا شقة مصيفية سوبر سوبر لوكس اقوي عروض الساحل الشمال,350000,ابو تلات,76,متر²,2,1,أبو تلات
